 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, rowcost
Bb major blues (2b), 1, 3, 2, 2, 4, 0, 1, 2, 1, 2, 1, 2, 1, 2, 2, 3, 3, 2, 2, 3, 3, 2, 1, 45
D major blues (2#), 3, 3, 2, 2, 5, 2, 1, 3, 2, 2, 1, 3, 2, 2, 3, 2, 3, 2, 3, 2, 3, 2, 1, 54
G minor blues (2b), 1, 4, 3, 2, 4, 0, 1, 2, 1, 2, 1, 2, 1, 2, 2, 3, 3, 2, 2, 3, 3, 2, 1, 47
B minor blues (2#), 3, 3, 2, 2, 4, 2, 1, 3, 2, 2, 1, 3, 2, 2, 3, 2, 3, 2, 3, 2, 3, 2, 1, 53
Bb dorian (2b), 1, 3, 2, 2, 4, 0, 1, 2, 1, 2, 1, 2, 1, 2, 2, 2, 3, 2, 2, 2, 3, 2, 1, 43
D dorian (2#), 3, 2, 1, 1, 3, 2, 1, 2, 1, 1, 1, 2, 1, 1, 3, 1, 1, 1, 3, 1, 1, 1, 1, 35
Bb phrygian (2b), 2, 3, 1, 2, 4, 0, 1, 3, 1, 2, 1, 3, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 43
D phrygian (2#), 3, 3, 1, 1, 3, 1, 1, 3, 1, 1, 1, 3, 1, 1, 3, 1, 1, 2, 3, 1, 1, 2, 1, 39
Bb lydian (2b), 3, 4, 3, 2, 5, 1, 1, 3, 2, 2, 1, 3, 2, 2, 3, 2, 3, 2, 3, 2, 3, 2, 1, 55
D lydian (2#), 3, 4, 3, 2, 5, 1, 1, 3, 2, 2, 1, 3, 2, 2, 3, 2, 3, 2, 3, 2, 3, 2, 1, 55
Bb mixolydian (2b), 3, 3, 2, 1, 4, 1, 1, 3, 2, 1, 1, 3, 2, 1, 3, 1, 2, 2, 3, 1, 2, 2, 1, 45
D mixolydian (2#), 1, 4, 3, 2, 4, 0, 1, 2, 1, 2, 1, 2, 1, 2, 2, 2, 3, 2, 2, 2, 3, 2, 1, 45
Bb aeolian (2b), 3, 3, 2, 1, 4, 1, 1, 3, 2, 1, 1, 3, 2, 1, 3, 1, 2, 2, 3, 1, 2, 2, 1, 45
D aeolian (2#), 1, 4, 3, 2, 4, 0, 1, 2, 1, 2, 1, 2, 1, 2, 2, 2, 3, 2, 2, 2, 3, 2, 1, 45
Bb locrian (2b), 2, 3, 2, 2, 5, 0, 1, 3, 2, 2, 1, 3, 2, 2, 2, 2, 3, 2, 2, 2, 3, 2, 1, 49
D locrian (2#), 0, 3, 3, 1, 3, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 0, 26
Eb major (3b), 1, 4, 3, 2, 4, 0, 1, 2, 1, 2, 1, 2, 1, 2, 2, 2, 3, 2, 2, 2, 3, 2, 1, 45
A major (3#), 3, 3, 2, 1, 4, 1, 1, 3, 2, 1, 1, 3, 2, 1, 3, 1, 2, 2, 3, 1, 2, 2, 1, 45
C minor (3b), 1, 3, 3, 2, 4, 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 2, 3, 1, 2, 2, 3, 1, 1, 41
F# minor (3#), 2, 2, 2, 0, 2, 1, 0, 2, 2, 0, 0, 2, 2, 0, 2, 2, 1, 1, 2, 2, 1, 1, 0, 29
C minor mel (3b), 1, 2, 2, 1, 4, 0, 0, 2, 2, 1, 0, 2, 2, 1, 1, 1, 2, 1, 1, 1, 2, 1, 0, 30
F# minor mel (3#), 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 13
Eb major blues (3b), 2, 3, 2, 2, 5, 0, 1, 3, 2, 2, 1, 3, 2, 2, 2, 2, 3, 2, 2, 2, 3, 2, 1, 49
