 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, rowcost
C major (0), 4/2, 0/0, 3/1, 3/1, 4/2, 1/0, 5/3, 0/0, 4/2, 1/0, 1/0, 3/1, 3/0, 1/2, 1/0, 2/0, 4/1, 4/2, 0/0, 3/1, 3/1, 4/2, 1/0, 5/3, 0/0, 5/5, 4/4, 2/1, 6/2, 77/36
A minor (0), 5/2, 0/0, 3/3, 3/2, 4/2, 1/0, 5/2, 0/0, 5/4, 1/2, 1/0, 3/0, 3/1, 1/2, 1/0, 2/1, 4/3, 5/4, 0/0, 3/0, 3/2, 4/2, 1/0, 5/4, 0/0, 5/4, 4/3, 3/4, 7/4, 82/51
F major (1b), 2/1, 0/0, 3/0, 3/1, 3/1, 1/0, 4/1, 0/0, 2/1, 1/0, 1/0, 3/0, 2/0, 1/0, 1/0, 1/0, 3/1, 2/2, 0/0, 3/0, 3/1, 3/1, 1/0, 4/1, 0/0, 4/1, 2/1, 2/0, 3/2, 58/15
G major (1#), 5/2, 1/0, 2/3, 2/2, 3/2, 1/0, 3/3, 0/0, 5/1, 1/0, 1/0, 2/1, 3/1, 1/2, 1/0, 2/0, 3/3, 5/4, 1/0, 2/3, 2/2, 3/5, 1/1, 3/3, 0/0, 5/4, 3/4, 4/2, 5/3, 70/51
D minor (1b), 3/2, 0/0, 3/3, 2/2, 3/2, 1/0, 3/3, 0/0, 3/1, 1/0, 1/0, 3/1, 2/1, 1/2, 1/0, 1/0, 3/3, 3/4, 0/0, 3/3, 2/2, 3/2, 1/0, 3/3, 0/0, 4/3, 3/2, 3/2, 6/4, 62/45
E minor (1#), 6/3, 1/1, 2/0, 2/1, 3/0, 1/0, 4/1, 0/0, 6/3, 1/2, 1/0, 2/0, 3/0, 1/1, 1/0, 2/0, 3/0, 6/3, 1/1, 2/0, 2/1, 3/0, 1/0, 4/1, 0/0, 3/0, 3/1, 4/3, 6/4, 74/26
Bb major (2b), 1/1, 0/0, 2/0, 3/2, 2/0, 0/0, 3/1, 0/0, 1/1, 0/0, 0/0, 2/0, 1/0, 1/0, 1/0, 2/0, 3/2, 1/2, 0/0, 2/0, 3/2, 2/0, 0/0, 3/1, 0/0, 3/1, 2/0, 1/0, 2/2, 41/15
D major (2#), 5/2, 1/0, 1/3, 2/2, 3/3, 1/1, 2/3, 0/0, 5/4, 1/2, 1/5, 1/1, 3/2, 2/2, 0/0, 1/1, 2/1, 5/4, 1/1, 1/3, 2/2, 3/3, 1/1, 2/3, 0/0, 4/2, 3/3, 3/4, 6/5, 62/63
G minor (2b), 2/1, 0/0, 2/3, 2/1, 2/2, 0/0, 2/3, 0/0, 2/1, 0/0, 0/0, 2/2, 1/0, 1/2, 1/5, 2/1, 3/2, 2/3, 0/0, 2/3, 2/1, 2/2, 0/0, 2/3, 0/0, 4/3, 3/2, 2/1, 5/3, 46/44
B minor (2#), 4/3, 1/0, 1/0, 2/1, 3/0, 1/0, 3/1, 0/0, 4/3, 1/2, 1/0, 1/0, 3/0, 2/1, 0/0, 1/0, 2/0, 4/3, 1/0, 1/0, 2/1, 3/0, 1/0, 3/1, 0/0, 2/0, 3/0, 3/1, 5/2, 58/19
Eb major (3b), 1/0, 0/0, 2/0, 2/1, 1/0, 0/0, 3/1, 0/0, 1/1, 0/0, 0/0, 2/0, 0/0, 1/0, 1/0, 2/1, 2/1, 1/1, 0/0, 2/0, 2/1, 1/0, 0/0, 3/2, 0/0, 2/1, 1/0, 1/0, 1/2, 32/12
A major (3#), 6/4, 1/1, 1/0, 3/2, 2/2, 1/0, 3/2, 0/0, 6/4, 1/2, 1/0, 1/0, 2/1, 2/1, 0/0, 1/1, 1/1, 6/4, 1/1, 1/0, 3/2, 2/2, 1/0, 3/2, 0/0, 3/2, 2/3, 3/3, 6/4, 63/44
C minor (3b), 2/1, 0/0, 2/1, 1/2, 1/1, 0/0, 3/3, 0/0, 2/1, 0/0, 0/0, 2/1, 0/0, 1/0, 1/0, 2/0, 2/1, 2/3, 0/0, 2/1, 1/2, 1/1, 0/0, 3/3, 0/0, 3/2, 2/1, 1/0, 4/3, 38/27
F# minor (3#), 4/2, 1/0, 1/0, 3/1, 2/0, 1/0, 3/1, 0/0, 4/2, 1/2, 1/0, 1/0, 2/0, 1/0, 0/0, 1/0, 1/0, 4/2, 1/0, 1/0, 3/1, 2/0, 1/0, 3/1, 0/0, 1/0, 2/0, 3/0, 4/1, 52/13
Ab major (4b), 2/1, 0/0, 1/0, 2/1, 1/0, 0/0, 2/1, 1/0, 2/1, 1/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/1, 1/0, 2/3, 0/0, 1/0, 2/1, 1/0, 0/0, 2/1, 1/0, 1/1, 1/0, 0/0, 2/2, 28/13
E major (4#), 7/3, 1/1, 0/0, 3/1, 1/0, 0/0, 2/1, 1/0, 7/3, 2/2, 0/0, 0/0, 1/0, 2/1, 0/0, 1/0, 1/0, 7/3, 1/1, 0/0, 3/1, 1/0, 0/0, 2/1, 1/0, 1/0, 2/1, 2/3, 5/4, 54/26
F minor (4b), 2/2, 0/0, 1/0, 2/2, 1/0, 0/0, 2/1, 1/0, 2/2, 1/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/0, 1/1, 2/2, 0/0, 1/0, 2/2, 1/0, 0/0, 2/1, 1/0, 2/1, 1/0, 0/0, 2/3, 29/17
C# minor (4#), 5/2, 1/0, 0/0, 3/2, 1/0, 0/0, 2/1, 1/0, 5/2, 2/2, 0/0, 0/0, 1/0, 1/0, 0/0, 1/0, 1/0, 5/2, 1/0, 0/0, 3/2, 1/0, 0/0, 2/1, 1/0, 1/0, 2/0, 2/0, 3/1, 45/15
