 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, rowcost
C major (0), 4, 0, 3, 3, 4, 1, 5, 0, 4, 1, 1, 3, 3, 1, 1, 2, 4, 4, 0, 3, 3, 4, 1, 5, 0, 5, 4, 2, 6, 77
A minor (0), 5, 0, 3, 4, 3, 1, 5, 0, 5, 1, 1, 3, 2, 1, 1, 2, 3, 5, 0, 3, 4, 3, 1, 5, 0, 4, 3, 3, 6, 77
F major (1b), 2, 0, 3, 3, 3, 1, 4, 0, 2, 1, 1, 3, 2, 1, 1, 1, 3, 2, 0, 3, 3, 3, 1, 4, 0, 4, 2, 2, 3, 58
G major (1#), 5, 1, 2, 2, 3, 1, 3, 0, 5, 1, 1, 2, 3, 1, 1, 2, 3, 5, 1, 2, 2, 3, 1, 3, 0, 5, 3, 4, 5, 70
D minor (1b), 3, 0, 2, 2, 3, 1, 2, 0, 3, 1, 1, 2, 2, 2, 0, 0, 2, 3, 0, 2, 2, 3, 1, 2, 0, 3, 3, 2, 7, 54
E minor (1#), 7, 1, 1, 2, 2, 0, 3, 1, 7, 2, 0, 1, 2, 1, 1, 2, 3, 7, 1, 1, 2, 2, 0, 3, 1, 3, 3, 3, 5, 67
Bb major (2b), 1, 0, 2, 3, 2, 0, 3, 0, 1, 0, 0, 2, 1, 1, 1, 2, 3, 1, 0, 2, 3, 2, 0, 3, 0, 3, 2, 1, 2, 41
D major (2#), 5, 1, 1, 2, 3, 1, 2, 0, 5, 1, 1, 1, 3, 2, 0, 1, 2, 5, 1, 1, 2, 3, 1, 2, 0, 4, 3, 3, 6, 62
G minor (2b), 3, 1, 1, 1, 1, 0, 1, 0, 3, 0, 0, 1, 1, 1, 1, 2, 2, 3, 1, 1, 1, 1, 0, 1, 0, 4, 2, 3, 4, 40
B minor (2#), 3, 1, 1, 1, 2, 1, 2, 0, 3, 1, 1, 1, 2, 2, 0, 0, 1, 3, 1, 1, 1, 2, 1, 2, 0, 1, 2, 3, 5, 44
Eb major (3b), 1, 0, 2, 2, 1, 0, 3, 0, 1, 0, 0, 2, 0, 1, 1, 2, 2, 1, 0, 2, 2, 1, 0, 3, 0, 2, 1, 1, 1, 32
A major (3#), 6, 1, 1, 3, 2, 1, 3, 0, 6, 1, 1, 1, 2, 2, 0, 1, 1, 6, 1, 1, 3, 2, 1, 3, 0, 3, 2, 3, 6, 63
C minor (3b), 3, 0, 2, 2, 2, 0, 4, 0, 3, 0, 0, 2, 1, 1, 1, 3, 3, 3, 0, 2, 2, 2, 0, 4, 0, 4, 3, 1, 4, 52
F# minor (3#), 3, 0, 1, 3, 2, 1, 3, 0, 3, 1, 1, 1, 2, 1, 0, 2, 1, 3, 0, 1, 3, 2, 1, 3, 0, 1, 1, 2, 3, 45
Ab major (4b), 2, 0, 1, 2, 1, 0, 2, 1, 2, 1, 0, 1, 0, 0, 0, 1, 1, 2, 0, 1, 2, 1, 0, 2, 1, 1, 1, 0, 2, 28
E major (4#), 7, 1, 0, 3, 1, 0, 2, 1, 7, 2, 0, 0, 1, 2, 0, 1, 1, 7, 1, 0, 3, 1, 0, 2, 1, 1, 2, 2, 5, 54
F minor (4b), 3, 0, 2, 2, 2, 1, 3, 1, 3, 2, 1, 2, 1, 0, 0, 0, 1, 3, 0, 2, 2, 2, 1, 3, 1, 2, 1, 1, 3, 45
C# minor (4#), 5, 1, 0, 3, 1, 0, 2, 1, 5, 2, 0, 0, 1, 0, 0, 1, 1, 5, 1, 0, 3, 1, 0, 2, 1, 2, 2, 1, 2, 43
