 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, rowcost
D minor blues (1b), 0, 0, 0, 0, 0, 1, 0, 0, 1, 3, 1, 0,  , 1, 0, 1,  , 1, 1, 1, 0, 1, 4, 2, 0, 2, 2, 3, 0, 1, 5, 2, 4, 1, 0, 0, 0, 0, 5, 0, 4, 3, 0, 4, 5, 1, 3, 0, 3, 0, 66
E minor blues (1#), 0, 0, 0, 0, 0, 1, 0, 0, 1, 3, 1, 0,  , 1, 0, 1,  , 1, 1, 1, 0, 1, 3, 1, 0, 2, 2, 2, 0, 1, 4, 2, 4, 1, 0, 0, 0, 0, 2, 0, 2, 3, 0, 4, 4, 1, 2, 0, 2, 0, 54
F dorian (1b), 0, 0, 0, 0, 0, 1, 0, 0, 1, 3, 1, 0,  , 1, 0, 1,  , 1, 1, 1, 0, 1, 3, 1, 0, 2, 2, 2, 0, 1, 4, 2, 4, 1, 0, 0, 0, 0, 2, 0, 2, 3, 0, 4, 4, 1, 2, 0, 2, 0, 54
G dorian (1#), 0, 0, 0, 0, 0, 1, 0, 0, 1, 3, 1, 0,  , 1, 0, 1,  , 1, 1, 1, 0, 1, 3, 1, 0, 2, 2, 2, 0, 1, 4, 2, 4, 1, 0, 0, 0, 0, 2, 0, 2, 3, 0, 4, 4, 1, 2, 0, 2, 0, 54
F phrygian (1b), 0, 0, 0, 0, 0, 1, 0, 0, 1, 3, 1, 0,  , 1, 0, 1,  , 1, 1, 1, 0, 1, 3, 1, 0, 2, 2, 2, 0, 1, 4, 2, 4, 1, 0, 0, 0, 0, 2, 0, 2, 3, 0, 4, 4, 1, 2, 0, 2, 0, 54
G phrygian (1#), 0, 0, 0, 0, 0, 1, 0, 0, 1, 3, 1, 0,  , 1, 0, 1,  , 1, 1, 1, 0, 1, 3, 1, 0, 2, 2, 2, 0, 1, 4, 2, 4, 1, 0, 0, 0, 0, 2, 0, 2, 3, 0, 4, 4, 1, 2, 0, 2, 0, 54
F lydian (1b), 0, 0, 0, 0, 0, 1, 0, 0, 1, 3, 1, 0,  , 1, 0, 1,  , 1, 1, 1, 0, 1, 3, 1, 0, 2, 2, 2, 0, 1, 4, 2, 4, 1, 0, 0, 0, 0, 2, 0, 2, 3, 0, 4, 4, 1, 2, 0, 2, 0, 54
G lydian (1#), 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 1, 0,  , 0, 0, 1,  , 1, 1, 1, 0, 0, 2, 1, 0, 1, 1, 1, 0, 1, 2, 2, 4, 0, 0, 0, 0, 0, 3, 0, 1, 2, 0, 3, 3, 0, 1, 0, 1, 0, 38
F mixolydian (1b), 0, 1, 1, 1, 1, 2, 1, 1, 2, 4, 2, 0,  , 2, 1, 2,  , 2, 2, 2, 1, 1, 5, 2, 1, 3, 3, 2, 0, 2, 4, 3, 2, 2, 1, 1, 0, 1, 3, 0, 3, 4, 1, 5, 6, 2, 3, 1, 4, 0, 93
G mixolydian (1#), 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 1, 0,  , 0, 0, 1,  , 1, 1, 1, 0, 0, 3, 2, 0, 1, 1, 1, 0, 1, 4, 2, 3, 0, 0, 0, 0, 0, 6, 0, 1, 2, 0, 3, 4, 0, 2, 0, 2, 0, 47
F aeolian (1b), 0, 1, 1, 1, 1, 2, 1, 1, 2, 3, 2, 0,  , 4, 1, 2,  , 2, 2, 2, 1, 1, 6, 3, 1, 4, 3, 5, 0, 2, 4, 3, 3, 6, 1, 1, 0, 1, 6, 0, 6, 7, 1, 6, 6, 3, 3, 1, 6, 0, 118
G aeolian (1#), 0, 0, 0, 0, 0, 1, 0, 0, 1, 3, 1, 0,  , 1, 0, 1,  , 1, 1, 1, 0, 1, 3, 1, 0, 2, 2, 2, 0, 1, 4, 2, 4, 1, 0, 0, 0, 0, 2, 0, 2, 3, 0, 4, 4, 1, 2, 0, 2, 0, 54
F locrian (1b), 0, 0, 0, 0, 0, 1, 0, 0, 1, 3, 1, 0,  , 1, 0, 1,  , 1, 1, 1, 0, 1, 4, 2, 0, 2, 2, 3, 0, 1, 5, 2, 4, 1, 0, 0, 0, 0, 5, 0, 4, 3, 0, 4, 5, 1, 3, 0, 3, 0, 66
G locrian (1#), 0, 0, 0, 0, 0, 1, 0, 0, 1, 3, 1, 0,  , 1, 0, 1,  , 1, 1, 1, 0, 1, 4, 2, 0, 2, 2, 3, 0, 1, 5, 2, 4, 1, 0, 0, 0, 0, 5, 0, 4, 3, 0, 4, 5, 1, 3, 0, 3, 0, 66
Bb major (2b), 0, 0, 0, 0, 0, 1, 0, 0, 1, 3, 1, 0,  , 1, 0, 1,  , 1, 1, 1, 0, 1, 3, 1, 0, 2, 2, 2, 0, 1, 4, 2, 4, 1, 0, 0, 0, 0, 2, 0, 2, 3, 0, 4, 4, 1, 2, 0, 2, 0, 54
D major (2#), 0, 0, 0, 0, 0, 1, 0, 0, 1, 3, 1, 0,  , 1, 0, 1,  , 1, 1, 1, 0, 1, 4, 2, 0, 2, 2, 3, 0, 1, 5, 2, 4, 1, 0, 0, 0, 0, 5, 0, 4, 3, 0, 4, 5, 1, 3, 0, 3, 0, 66
G minor (2b), 0, 0, 0, 0, 0, 1, 0, 0, 1, 3, 1, 0,  , 1, 0, 1,  , 1, 1, 1, 0, 1, 3, 1, 0, 2, 2, 2, 0, 1, 4, 2, 4, 1, 0, 0, 0, 0, 2, 0, 2, 3, 0, 4, 4, 1, 2, 0, 2, 0, 54
B minor (2#), 0, 0, 0, 0, 0, 1, 0, 0, 1, 3, 1, 0,  , 1, 0, 1,  , 1, 1, 1, 0, 1, 3, 1, 0, 2, 2, 2, 0, 1, 4, 2, 4, 1, 0, 0, 0, 0, 2, 0, 2, 3, 0, 4, 4, 1, 2, 0, 2, 0, 54
G minor mel (2b), 0, 0, 0, 0, 0, 1, 0, 0, 1, 3, 1, 0,  , 1, 0, 1,  , 1, 1, 1, 0, 1, 3, 1, 0, 2, 2, 2, 0, 1, 4, 2, 4, 1, 0, 0, 0, 0, 2, 0, 2, 3, 0, 4, 4, 1, 2, 0, 2, 0, 54
