 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, rowcost
C major (0), 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 1/1, 0/0, 1/0, 0/0, 0/0, 0/0, 2/1, 0/0, 0/0, 0/0, 0/0, 0/0, 5/2
A minor (0), 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 1/1, 0/0, 1/1, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 4/2
F major (1b), 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 2/1, 0/0, 0/0, 0/0, 0/0, 0/0, 2/1, 0/0, 0/0, 0/0, 0/0, 0/0, 4/2
G major (1#), 1/0, 0/0, 1/0, 1/0, 1/0, 1/0, 1/0, 0/0, 1/1, 0/0, 1/1, 0/0, 1/0, 0/0, 1/0, 0/0, 1/1, 0/0, 1/0, 0/0, 12/3
D minor (1b), 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 2/1, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 3/1
E minor (1#), 1/0, 0/0, 1/0, 1/0, 1/1, 1/1, 1/0, 0/0, 1/1, 0/0, 1/1, 0/0, 1/1, 0/0, 1/0, 0/0, 1/1, 0/0, 1/0, 0/0, 12/6
Bb major (2b), 1/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 2/2, 1/0, 0/0, 1/0, 1/0, 0/0, 2/1, 1/0, 1/0, 0/0, 1/0, 0/0, 12/3
D major (2#), 1/0, 0/0, 1/0, 1/0, 1/0, 2/0, 1/0, 0/0, 0/0, 0/0, 2/1, 0/0, 1/1, 0/0, 0/0, 0/0, 1/0, 0/0, 1/0, 0/0, 12/2
G minor (2b), 1/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 2/1, 1/0, 0/0, 1/0, 1/1, 0/0, 1/0, 1/0, 1/1, 0/0, 1/0, 0/0, 11/3
B minor (2#), 1/1, 0/0, 3/2, 1/1, 1/2, 2/1, 1/1, 0/0, 0/0, 0/0, 2/1, 0/0, 1/1, 0/0, 0/0, 0/0, 1/1, 0/0, 2/1, 0/0, 15/12
