 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, rowcost
C major (0), 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 5
A minor (0), 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 9
F major (1b), 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 4
G major (1#), 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 12
D minor (1b), 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
E minor (1#), 2, 0, 2, 1, 1, 1, 1, 0, 1, 1, 2, 0, 1, 1, 2, 0, 1, 1, 1, 1, 20
Bb major (2b), 1, 0, 1, 0, 0, 0, 0, 0, 2, 1, 0, 1, 1, 0, 2, 1, 1, 0, 1, 0, 12
D major (2#), 1, 0, 1, 1, 1, 2, 1, 0, 0, 0, 2, 0, 1, 0, 0, 0, 1, 0, 1, 0, 12
G minor (2b), 2, 0, 2, 1, 1, 0, 1, 0, 2, 1, 0, 1, 2, 0, 1, 1, 2, 0, 2, 0, 19
B minor (2#), 1, 1, 3, 1, 2, 1, 2, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 2, 0, 21
Eb major (3b), 2, 1, 2, 0, 1, 0, 1, 1, 3, 2, 0, 1, 2, 1, 2, 1, 2, 1, 1, 0, 24
A major (3#), 1, 1, 1, 1, 2, 2, 2, 0, 0, 0, 2, 0, 2, 0, 0, 0, 2, 0, 1, 0, 17
C minor (3b), 1, 1, 1, 0, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 0, 21
F# minor (3#), 2, 1, 2, 0, 1, 2, 1, 0, 0, 1, 2, 1, 3, 0, 0, 1, 3, 0, 1, 0, 21
Ab major (4b), 3, 2, 3, 0, 2, 0, 2, 2, 3, 4, 1, 1, 2, 3, 1, 1, 2, 3, 1, 1, 37
E major (4#), 2, 1, 2, 1, 2, 2, 2, 0, 0, 1, 3, 0, 2, 1, 1, 0, 2, 1, 1, 1, 25
F minor (4b), 1, 1, 1, 0, 1, 0, 1, 1, 2, 2, 1, 0, 0, 2, 1, 0, 0, 2, 0, 1, 17
C# minor (4#), 2, 2, 4, 1, 3, 1, 3, 0, 1, 1, 2, 0, 3, 1, 1, 0, 3, 1, 2, 1, 32
Db major (5b), 4, 3, 4, 0, 3, 0, 3, 2, 3, 5, 2, 1, 3, 4, 2, 1, 3, 4, 1, 2, 50
B major (5#), 2, 2, 4, 1, 3, 1, 3, 1, 1, 2, 2, 0, 2, 2, 1, 0, 2, 2, 2, 1, 34
Bb minor (5b), 2, 1, 2, 0, 1, 0, 1, 0, 1, 2, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 22
G# minor (5#), 3, 1, 5, 1, 2, 1, 2, 1, 1, 3, 3, 0, 1, 3, 2, 0, 1, 3, 2, 2, 37
Gb major (6b), 4, 4, 4, 0, 4, 1, 4, 2, 2, 5, 3, 1, 4, 4, 2, 1, 4, 4, 1, 2, 56
F# major (6#), 3, 2, 3, 0, 2, 1, 2, 1, 1, 3, 2, 1, 3, 2, 1, 1, 3, 2, 1, 1, 35
Eb minor (6b), 2, 2, 2, 0, 2, 1, 2, 1, 2, 2, 1, 1, 3, 1, 2, 1, 3, 1, 1, 0, 30
D# minor (6#), 2, 4, 2, 0, 4, 1, 4, 2, 3, 3, 1, 1, 4, 2, 3, 1, 4, 2, 1, 0, 44
Cb major (7b), 3, 4, 5, 1, 5, 2, 5, 2, 2, 4, 4, 0, 3, 4, 2, 0, 3, 4, 2, 2, 57
C# major (7#), 3, 3, 3, 0, 3, 0, 3, 1, 2, 3, 1, 1, 4, 2, 1, 1, 4, 2, 1, 1, 39
Ab minor (7b), 2, 2, 4, 1, 3, 1, 3, 2, 2, 3, 2, 0, 1, 3, 1, 0, 1, 3, 2, 1, 37
A# minor (7#), 4, 2, 4, 0, 2, 0, 2, 0, 1, 4, 2, 2, 4, 2, 2, 2, 4, 2, 2, 2, 43
