 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, rowcost
C major (0), 4/2, 4/3, 3/1, 3/1, 3/2, 3/3, 3/1, 3/1, 3/2, 3/3, 3/1, 3/1, 4/2, 4/3, 3/1, 3/1, 4/3, 4/2, 3/2, 3/2, 4/3, 1/0, 2/3, 1/1, 3/2, 3/3, 3/1, 3/1, 4/2, 4/3, 3/1, 3/1, 5/4, 0/0, 105/62
A minor (0), 3/1, 3/2, 2/0, 2/0, 2/1, 2/2, 2/0, 2/0, 2/1, 2/2, 2/0, 2/0, 3/1, 3/1, 2/1, 2/1, 4/0, 3/1, 3/1, 3/1, 4/0, 1/0, 2/2, 1/0, 2/1, 2/2, 2/0, 2/0, 3/1, 3/1, 2/1, 2/1, 5/3, 0/0, 80/28
F major (1b), 3/2, 3/3, 2/1, 2/1, 3/2, 3/3, 3/2, 3/3, 3/2, 3/1, 3/1, 3/1, 3/2, 3/3, 2/1, 2/1, 4/4, 4/3, 3/3, 3/2, 4/1, 2/2, 3/0, 1/1, 3/2, 3/3, 3/2, 3/3, 3/2, 3/3, 2/1, 2/1, 4/4, 0/0, 94/66
G major (1#), 3/1, 3/1, 2/1, 2/1, 3/2, 3/3, 2/1, 2/1, 3/2, 3/3, 2/1, 2/1, 3/1, 3/1, 2/1, 2/1, 3/2, 3/2, 2/2, 2/2, 3/2, 0/0, 3/3, 0/0, 3/2, 3/3, 2/1, 2/1, 3/1, 3/1, 2/1, 2/1, 5/3, 0/0, 81/49
D minor (1b), 2/1, 2/2, 1/0, 1/0, 3/2, 3/3, 3/1, 3/1, 3/2, 3/3, 3/1, 3/1, 2/1, 2/1, 1/1, 1/0, 4/1, 3/1, 3/1, 3/1, 4/1, 2/0, 3/2, 1/1, 3/2, 3/3, 3/1, 3/1, 2/1, 2/1, 1/1, 1/0, 4/3, 0/0, 81/41
E minor (1#), 2/0, 2/0, 2/0, 2/0, 2/1, 2/2, 1/0, 1/0, 2/1, 2/2, 1/0, 1/0, 2/0, 2/0, 2/0, 2/0, 3/0, 2/0, 2/0, 2/0, 3/0, 0/0, 3/1, 0/0, 2/1, 2/2, 1/0, 1/0, 2/0, 2/0, 2/0, 2/0, 3/1, 0/0, 60/11
Bb major (2b), 3/2, 3/3, 3/1, 3/1, 2/2, 2/1, 2/1, 2/1, 2/1, 2/1, 2/1, 2/1, 3/2, 3/3, 3/1, 3/1, 3/0, 3/1, 2/0, 2/1, 3/0, 2/2, 2/0, 2/2, 2/1, 2/1, 2/1, 2/1, 3/2, 3/3, 3/1, 3/1, 4/3, 0/0, 83/43
D major (2#), 2/1, 2/1, 1/1, 1/1, 4/2, 4/3, 3/1, 3/1, 4/2, 4/3, 3/1, 3/1, 2/1, 2/1, 1/1, 1/1, 2/1, 2/1, 1/1, 2/1, 2/1, 0/0, 3/2, 1/2, 4/2, 4/3, 3/1, 3/1, 2/1, 2/1, 1/1, 1/1, 4/3, 1/0, 78/45
G minor (2b), 2/1, 2/2, 2/0, 2/0, 2/2, 2/3, 2/1, 2/1, 2/2, 2/3, 2/1, 2/1, 2/1, 2/2, 2/0, 2/0, 3/2, 3/1, 2/1, 2/1, 3/2, 2/0, 2/0, 2/2, 2/2, 2/3, 2/1, 2/1, 2/1, 2/2, 2/0, 2/0, 4/3, 0/0, 71/42
B minor (2#), 1/0, 1/0, 1/0, 1/0, 3/1, 3/2, 2/0, 2/0, 3/1, 3/2, 2/0, 2/0, 1/0, 1/0, 1/0, 1/0, 2/0, 2/2, 1/1, 2/1, 2/0, 0/0, 3/1, 1/0, 3/1, 3/2, 2/0, 2/0, 1/0, 1/0, 1/0, 1/0, 2/1, 1/0, 58/15
