 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, rowcost
C major (0), 2/1, 4/1, 1/0, 2/2, 2/0, 2/0, 1/0, 2/1, 1/1, 2/0, 1/0, 2/2, 1/1, 4/2, 2/0,  , 2/0, 1/0, 1/0, 33/11
A minor (0), 3/2, 4/2, 1/1, 3/1, 2/1, 2/0, 1/1, 3/1, 1/2, 2/3, 1/2, 2/1, 1/2, 4/4, 2/3,  , 2/5, 1/1, 1/1, 36/33
F major (1b), 2/1, 3/2, 1/0, 2/2, 1/0, 1/1, 1/0, 2/1, 0/0, 2/0, 1/0, 1/1, 0/0, 3/4, 2/1,  , 2/0, 1/0, 1/0, 26/13
G major (1#), 3/1, 3/1, 1/0, 2/2, 2/0, 1/0, 1/0, 3/2, 2/2, 3/0, 2/0, 3/2, 2/1, 3/2, 1/0,  , 3/0, 1/0, 1/0, 37/13
D minor (1b), 3/2, 3/1, 1/0, 2/2, 1/0, 1/0, 1/0, 2/1, 0/0, 2/2, 1/0, 1/1, 0/0, 3/2, 2/0,  , 2/2, 1/0, 1/0, 27/13
E minor (1#), 3/1, 3/3, 1/1, 3/3, 2/2, 1/2, 1/1, 4/1, 2/1, 3/3, 2/2, 3/3, 2/1, 3/5, 1/3,  , 3/3, 1/0, 1/0, 39/35
Bb major (2b), 1/1, 2/2, 0/0, 1/2, 0/0, 1/1, 0/0, 1/1, 0/0, 1/0, 0/0, 1/0, 0/0, 2/2, 1/0,  , 1/0, 0/0, 0/0, 12/9
D major (2#), 2/2, 4/1, 1/0, 1/1, 3/0, 2/0, 1/0, 2/1, 3/2, 4/3, 3/2, 3/1, 3/2, 4/2, 1/0,  , 4/2, 1/0, 1/0, 43/19
G minor (2b), 2/1, 2/1, 0/0, 1/2, 0/0, 1/0, 0/0, 1/1, 0/2, 1/0, 0/0, 1/2, 0/1, 2/2, 1/0,  , 1/0, 0/0, 0/0, 13/12
B minor (2#), 2/2, 4/1, 1/5, 2/1, 3/3, 2/1, 1/5, 3/2, 3/3, 4/3, 3/2, 3/2, 3/4, 4/1, 1/0,  , 4/2, 1/0, 1/0, 45/37
Eb major (3b), 1/1, 1/1, 0/0, 1/2, 0/0, 1/1, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 0/0, 1/2, 1/0,  , 0/0, 0/0, 0/0, 7/8
A major (3#), 3/2, 3/2, 2/0, 2/1, 3/1, 2/2, 2/0, 4/1, 3/1, 3/3, 3/2, 4/1, 3/1, 3/3, 1/0,  , 3/3, 1/0, 1/0, 46/23
C minor (3b), 1/1, 1/1, 0/0, 1/2, 0/0, 1/0, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 0/0, 1/2, 1/1,  , 0/0, 0/0, 0/0, 7/8
F# minor (3#), 3/2, 3/1, 2/5, 2/1, 3/0, 2/0, 2/5, 4/2, 3/4, 3/2, 3/0, 4/2, 3/4, 3/1, 1/0,  , 3/0, 1/0, 1/0, 46/29
Ab major (4b), 0/0, 1/0, 0/0, 2/2, 0/0, 1/0, 0/0, 2/1, 1/0, 0/0, 0/0, 0/0, 1/0, 1/2, 1/0,  , 0/0, 0/0, 0/0, 10/5
E major (4#), 2/2, 2/2, 1/5, 1/1, 2/3, 2/1, 1/5, 3/3, 4/6, 2/3, 2/2, 4/2, 4/6, 2/2, 0/0,  , 2/3, 0/0, 0/0, 34/46
F minor (4b), 0/1, 1/1, 0/0, 2/2, 0/0, 1/0, 0/0, 2/1, 1/2, 0/0, 0/0, 0/0, 1/2, 1/2, 1/0,  , 0/0, 0/0, 0/0, 10/11
C# minor (4#), 3/1, 2/1, 2/0, 1/1, 2/0, 2/0, 2/0, 4/3, 4/2, 2/0, 2/0, 4/1, 4/2, 2/0, 0/0,  , 2/0, 0/0, 0/0, 38/11
Db major (5b), 1/1, 0/0, 1/0, 2/4, 0/0, 0/0, 1/0, 3/3, 2/4, 0/0, 0/0, 1/0, 2/4, 0/0, 0/0,  , 0/0, 0/0, 0/0, 13/16
B major (5#), 2/2, 1/1, 1/5, 1/1, 1/3, 1/1, 1/5, 3/2, 3/4, 2/2, 2/1, 3/2, 3/4, 1/1, 0/0,  , 2/2, 0/0, 0/0, 27/36
Bb minor (5b), 1/1, 0/0, 1/0, 2/2, 0/0, 0/0, 1/0, 3/1, 1/0, 0/0, 0/0, 1/1, 1/0, 0/2, 0/0,  , 0/0, 0/0, 0/0, 11/7
G# minor (5#), 3/1, 1/1, 2/0, 3/2, 1/0, 1/0, 2/0, 6/4, 4/2, 2/2, 2/0, 3/1, 4/2, 1/1, 0/0,  , 2/2, 0/0, 0/0, 37/18
Gb major (6b), 3/2, 1/0, 2/10, 2/4, 1/0, 1/0, 2/10, 4/5, 3/4, 1/0, 1/0, 3/2, 3/4, 1/1, 0/0,  , 1/0, 0/0, 0/0, 29/42
F# major (6#), 2/2, 1/0, 1/5, 1/1, 1/0, 1/0, 1/5, 2/2, 2/4, 1/0, 1/0, 2/2, 2/4, 1/1, 0/0,  , 1/0, 0/0, 0/0, 20/26
