 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, rowcost
C major (0), 2, 4, 1, 2, 2, 2, 1, 2, 1, 2, 1, 2, 1, 4, 2,  , 2, 1, 1, 33
A minor (0), 4, 3, 2, 3, 2, 2, 2, 4, 1, 1, 1, 3, 1, 3, 2,  , 1, 1, 1, 37
F major (1b), 2, 3, 1, 2, 1, 1, 1, 2, 0, 2, 1, 1, 0, 3, 2,  , 2, 1, 1, 26
G major (1#), 3, 3, 1, 2, 2, 1, 1, 3, 2, 3, 2, 3, 2, 3, 1,  , 3, 1, 1, 37
D minor (1b), 2, 4, 1, 1, 2, 2, 1, 1, 1, 3, 2, 1, 1, 4, 2,  , 3, 1, 1, 33
E minor (1#), 2, 2, 0, 2, 1, 1, 0, 3, 3, 2, 1, 3, 3, 2, 0,  , 2, 0, 0, 27
Bb major (2b), 1, 2, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 2, 1,  , 1, 0, 0, 12
D major (2#), 2, 4, 1, 1, 3, 2, 1, 2, 3, 4, 3, 3, 3, 4, 1,  , 4, 1, 1, 43
G minor (2b), 2, 1, 0, 1, 0, 0, 0, 2, 1, 2, 1, 2, 1, 1, 0,  , 2, 0, 0, 16
B minor (2#), 2, 3, 1, 2, 2, 1, 1, 3, 2, 4, 3, 2, 2, 3, 1,  , 4, 1, 1, 38
Eb major (3b), 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1,  , 0, 0, 0, 7
A major (3#), 3, 3, 2, 2, 3, 2, 2, 4, 3, 3, 3, 4, 3, 3, 1,  , 3, 1, 1, 46
C minor (3b), 1, 2, 0, 1, 1, 2, 0, 1, 1, 0, 0, 1, 1, 2, 1,  , 0, 0, 0, 14
F# minor (3#), 3, 3, 2, 2, 3, 2, 2, 3, 2, 2, 2, 3, 2, 3, 1,  , 2, 1, 1, 39
Ab major (4b), 0, 1, 0, 2, 0, 1, 0, 2, 1, 0, 0, 0, 1, 1, 1,  , 0, 0, 0, 10
E major (4#), 2, 2, 1, 1, 2, 2, 1, 3, 4, 2, 2, 4, 4, 2, 0,  , 2, 0, 0, 34
F minor (4b), 1, 2, 1, 3, 1, 1, 1, 3, 1, 1, 1, 0, 1, 2, 2,  , 1, 1, 1, 24
C# minor (4#), 2, 1, 2, 1, 1, 1, 2, 4, 3, 1, 1, 4, 3, 1, 0,  , 1, 0, 0, 28
Db major (5b), 1, 0, 1, 2, 0, 0, 1, 3, 2, 0, 0, 1, 2, 0, 0,  , 0, 0, 0, 13
B major (5#), 2, 1, 1, 1, 1, 1, 1, 3, 3, 2, 2, 3, 3, 1, 0,  , 2, 0, 0, 27
Bb minor (5b), 1, 1, 1, 2, 0, 0, 1, 3, 1, 1, 0, 2, 1, 1, 0,  , 1, 0, 0, 16
G# minor (5#), 1, 2, 0, 3, 1, 2, 0, 4, 4, 2, 2, 1, 4, 2, 1,  , 2, 0, 0, 31
Gb major (6b), 3, 1, 2, 2, 1, 1, 2, 4, 3, 1, 1, 3, 3, 1, 0,  , 1, 0, 0, 29
F# major (6#), 2, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 2, 2, 1, 0,  , 1, 0, 0, 20
Eb minor (6b), 3, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 0,  , 1, 0, 0, 18
D# minor (6#), 4, 1, 2, 1, 1, 1, 2, 3, 1, 1, 1, 2, 1, 1, 0,  , 1, 0, 0, 23
Cb major (7b), 4, 2, 2, 2, 2, 2, 2, 5, 5, 3, 3, 4, 5, 2, 0,  , 3, 0, 0, 46
C# major (7#), 2, 0, 2, 1, 0, 0, 2, 3, 1, 0, 0, 2, 1, 0, 0,  , 0, 0, 0, 14
Ab minor (7b), 1, 2, 0, 2, 1, 2, 0, 3, 3, 2, 2, 1, 3, 2, 1,  , 2, 0, 0, 27
A# minor (7#), 2, 1, 2, 3, 0, 0, 2, 5, 2, 1, 0, 3, 2, 1, 0,  , 1, 0, 0, 25
