 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, rowcost
C major (0), 1, 2, 5, 1, 1, 3, 4, 1, 1, 7, 4, 5, 3, 1, 1, 1, 1, 42
A minor (0), 1, 5, 3, 1, 1, 4, 3, 1, 1, 5, 5, 4, 4, 1, 1, 1, 1, 42
A minor mel (0), 2, 6, 3, 1, 1, 5, 4, 1, 2, 6, 4, 5, 4, 1, 1, 1, 2, 49
C major blues (0), 2, 3, 5, 2, 1, 4, 5, 1, 2, 8, 4, 6, 3, 1, 1, 1, 2, 51
A minor blues (0), 2, 5, 5, 2, 1, 5, 5, 1, 2, 8, 4, 6, 3, 1, 1, 1, 2, 54
C dorian (0), 2, 3, 5, 1, 1, 4, 5, 1, 2, 8, 3, 6, 3, 1, 1, 1, 2, 49
C phrygian (0), 0, 1, 4, 0, 0, 2, 3, 0, 0, 6, 3, 4, 2, 0, 0, 0, 0, 25
C lydian (0), 2, 3, 5, 1, 1, 4, 5, 1, 2, 8, 3, 6, 3, 1, 1, 1, 2, 49
C mixolydian (0), 0, 1, 4, 0, 0, 2, 3, 0, 0, 6, 3, 4, 2, 0, 0, 0, 0, 25
C aeolian (0), 1, 2, 5, 1, 1, 3, 4, 1, 1, 7, 4, 5, 3, 1, 1, 1, 1, 42
C locrian (0), 0, 0, 3, 1, 0, 1, 2, 0, 0, 5, 3, 3, 2, 0, 0, 0, 0, 20
F major (1b), 0, 1, 4, 0, 0, 2, 3, 0, 0, 6, 3, 4, 2, 0, 0, 0, 0, 25
G major (1#), 2, 3, 5, 1, 1, 5, 5, 1, 2, 8, 3, 6, 3, 1, 1, 1, 2, 50
D minor (1b), 0, 2, 3, 0, 0, 4, 2, 0, 0, 5, 4, 5, 3, 0, 0, 0, 0, 28
E minor (1#), 2, 4, 3, 1, 1, 4, 4, 1, 2, 5, 3, 5, 3, 1, 1, 1, 2, 43
D minor mel (1b), 1, 3, 4, 1, 1, 5, 3, 1, 1, 6, 5, 6, 4, 1, 1, 1, 1, 45
E minor mel (1#), 2, 5, 2, 1, 1, 5, 3, 1, 2, 4, 4, 6, 4, 1, 1, 1, 2, 45
F major blues (1b), 1, 2, 5, 2, 1, 3, 4, 1, 1, 7, 5, 5, 3, 1, 1, 1, 1, 44
G major blues (1#), 2, 4, 5, 1, 1, 6, 5, 1, 2, 8, 5, 7, 4, 1, 1, 1, 2, 56
D minor blues (1b), 1, 2, 5, 2, 1, 4, 4, 1, 1, 7, 5, 5, 3, 1, 1, 1, 1, 45
E minor blues (1#), 2, 6, 4, 1, 1, 6, 5, 1, 2, 7, 5, 7, 4, 1, 1, 1, 2, 56
F dorian (1b), 1, 2, 5, 1, 1, 3, 4, 1, 1, 7, 4, 5, 3, 1, 1, 1, 1, 42
G dorian (1#), 2, 4, 4, 1, 1, 6, 4, 1, 2, 7, 4, 7, 4, 1, 1, 1, 2, 52
F phrygian (1b), 0, 0, 3, 1, 0, 1, 2, 0, 0, 5, 3, 3, 2, 0, 0, 0, 0, 20
G phrygian (1#), 1, 2, 5, 1, 1, 4, 4, 1, 1, 7, 4, 5, 3, 1, 1, 1, 1, 43
F lydian (1b), 1, 2, 5, 1, 1, 3, 4, 1, 1, 7, 4, 5, 3, 1, 1, 1, 1, 42
G lydian (1#), 2, 4, 4, 1, 1, 6, 4, 1, 2, 7, 4, 7, 4, 1, 1, 1, 2, 52
F mixolydian (1b), 0, 0, 3, 1, 0, 1, 2, 0, 0, 5, 3, 3, 2, 0, 0, 0, 0, 20
G mixolydian (1#), 1, 2, 5, 1, 1, 4, 4, 1, 1, 7, 4, 5, 3, 1, 1, 1, 1, 43
F aeolian (1b), 0, 1, 4, 0, 0, 2, 3, 0, 0, 6, 3, 4, 2, 0, 0, 0, 0, 25
G aeolian (1#), 2, 3, 5, 1, 1, 5, 5, 1, 2, 8, 3, 6, 3, 1, 1, 1, 2, 50
F locrian (1b), 0, 0, 2, 1, 0, 1, 1, 0, 0, 4, 4, 2, 1, 0, 0, 0, 0, 16
G locrian (1#), 0, 1, 4, 0, 0, 3, 3, 0, 0, 6, 3, 4, 2, 0, 0, 0, 0, 26
Bb major (2b), 0, 0, 3, 1, 0, 1, 2, 0, 0, 5, 3, 3, 2, 0, 0, 0, 0, 20
D major (2#), 2, 4, 4, 1, 1, 6, 4, 1, 2, 7, 4, 7, 4, 1, 1, 1, 2, 52
G minor (2b), 1, 1, 3, 1, 0, 3, 3, 0, 1, 6, 2, 4, 2, 0, 0, 0, 1, 28
B minor (2#), 1, 5, 2, 0, 0, 5, 3, 0, 1, 4, 4, 5, 3, 0, 0, 0, 1, 34
G minor mel (2b), 1, 2, 4, 0, 0, 4, 4, 0, 1, 7, 2, 5, 2, 0, 0, 0, 1, 33
B minor mel (2#), 1, 6, 1, 0, 0, 5, 2, 0, 1, 3, 5, 4, 4, 0, 0, 0, 1, 33
Bb major blues (2b), 0, 2, 4, 1, 0, 2, 3, 0, 0, 6, 5, 4, 2, 0, 0, 0, 0, 29
D major blues (2#), 2, 5, 5, 1, 1, 6, 5, 1, 2, 8, 6, 7, 5, 1, 1, 1, 2, 59
G minor blues (2b), 0, 2, 4, 1, 0, 3, 3, 0, 0, 6, 5, 4, 2, 0, 0, 0, 0, 30
B minor blues (2#), 2, 7, 4, 1, 1, 6, 5, 1, 2, 7, 5, 7, 5, 1, 1, 1, 2, 58
Bb dorian (2b), 0, 1, 4, 0, 0, 2, 3, 0, 0, 6, 3, 4, 2, 0, 0, 0, 0, 25
D dorian (2#), 2, 5, 3, 1, 1, 6, 3, 1, 2, 6, 5, 6, 5, 1, 1, 1, 2, 51
Bb phrygian (2b), 1, 5, 3, 1, 1, 4, 3, 1, 1, 5, 5, 4, 4, 1, 1, 1, 1, 42
D phrygian (2#), 2, 6, 3, 1, 1, 5, 4, 1, 2, 6, 4, 5, 4, 1, 1, 1, 2, 49
Bb lydian (2b), 2, 3, 5, 2, 1, 4, 5, 1, 2, 8, 4, 6, 3, 1, 1, 1, 2, 51
D lydian (2#), 2, 5, 5, 2, 1, 5, 5, 1, 2, 8, 4, 6, 3, 1, 1, 1, 2, 54
Bb mixolydian (2b), 2, 3, 5, 1, 1, 4, 5, 1, 2, 8, 3, 6, 3, 1, 1, 1, 2, 49
D mixolydian (2#), 0, 1, 4, 0, 0, 2, 3, 0, 0, 6, 3, 4, 2, 0, 0, 0, 0, 25
Bb aeolian (2b), 2, 3, 5, 1, 1, 4, 5, 1, 2, 8, 3, 6, 3, 1, 1, 1, 2, 49
D aeolian (2#), 0, 1, 4, 0, 0, 2, 3, 0, 0, 6, 3, 4, 2, 0, 0, 0, 0, 25
Bb locrian (2b), 1, 2, 5, 1, 1, 3, 4, 1, 1, 7, 4, 5, 3, 1, 1, 1, 1, 42
D locrian (2#), 0, 0, 3, 1, 0, 1, 2, 0, 0, 5, 3, 3, 2, 0, 0, 0, 0, 20
Eb major (3b), 0, 1, 4, 0, 0, 2, 3, 0, 0, 6, 3, 4, 2, 0, 0, 0, 0, 25
A major (3#), 2, 3, 5, 1, 1, 5, 5, 1, 2, 8, 3, 6, 3, 1, 1, 1, 2, 50
C minor (3b), 0, 2, 3, 0, 0, 4, 2, 0, 0, 5, 4, 5, 3, 0, 0, 0, 0, 28
F# minor (3#), 2, 4, 3, 1, 1, 4, 4, 1, 2, 5, 3, 5, 3, 1, 1, 1, 2, 43
C minor mel (3b), 1, 1, 4, 2, 1, 2, 3, 1, 1, 6, 4, 4, 3, 1, 1, 1, 1, 37
F# minor mel (3#), 1, 5, 2, 2, 1, 2, 1, 1, 1, 2, 5, 2, 4, 1, 1, 1, 1, 33
Eb major blues (3b), 1, 2, 5, 1, 1, 3, 4, 1, 1, 7, 4, 5, 3, 1, 1, 1, 1, 42
A major blues (3#), 1, 5, 3, 1, 1, 4, 3, 1, 1, 5, 5, 4, 4, 1, 1, 1, 1, 42
C minor blues (3b), 2, 6, 3, 1, 1, 5, 4, 1, 2, 6, 4, 5, 4, 1, 1, 1, 2, 49
F# minor blues (3#), 2, 3, 5, 2, 1, 4, 5, 1, 2, 8, 4, 6, 3, 1, 1, 1, 2, 51
Eb dorian (3b), 2, 5, 5, 2, 1, 5, 5, 1, 2, 8, 4, 6, 3, 1, 1, 1, 2, 54
A dorian (3#), 2, 3, 5, 1, 1, 4, 5, 1, 2, 8, 3, 6, 3, 1, 1, 1, 2, 49
Eb phrygian (3b), 0, 1, 4, 0, 0, 2, 3, 0, 0, 6, 3, 4, 2, 0, 0, 0, 0, 25
A phrygian (3#), 2, 3, 5, 1, 1, 4, 5, 1, 2, 8, 3, 6, 3, 1, 1, 1, 2, 49
Eb lydian (3b), 0, 1, 4, 0, 0, 2, 3, 0, 0, 6, 3, 4, 2, 0, 0, 0, 0, 25
