 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, rowcost
C major (0), 0, 1, 1, 1, 0, 0, 1, 0, 1, 3, 2, 1, 1, 2, 1, 2, 3, 2, 1, 0, 0, 0, 0, 23
A minor (0), 1, 1, 2, 1, 0, 0, 1, 0, 1, 2, 2, 1, 0, 2, 0, 2, 2, 2, 1, 0, 0, 0, 0, 21
A minor mel (0), 2, 1, 2, 0, 1, 0, 1, 0, 1, 3, 1, 2, 1, 2, 0, 2, 1, 2, 2, 0, 1, 1, 1, 27
C major blues (0), 1, 1, 1, 1, 1, 1, 1, 0, 1, 4, 2, 2, 2, 2, 2, 2, 3, 3, 2, 0, 1, 1, 1, 35
A minor blues (0), 1, 1, 1, 1, 1, 1, 1, 0, 1, 4, 2, 2, 2, 2, 2, 2, 3, 3, 2, 0, 1, 1, 1, 35
C dorian (0), 1, 1, 1, 0, 1, 0, 1, 0, 1, 4, 1, 2, 2, 2, 1, 2, 2, 2, 2, 0, 1, 1, 1, 29
C phrygian (0), 0, 0, 1, 1, 0, 0, 1, 0, 0, 3, 1, 1, 1, 2, 1, 2, 2, 3, 1, 0, 0, 0, 0, 20
C lydian (0), 1, 1, 1, 0, 1, 0, 1, 0, 1, 4, 1, 2, 2, 2, 1, 2, 2, 2, 2, 0, 1, 1, 1, 29
C mixolydian (0), 0, 0, 1, 1, 0, 0, 1, 0, 0, 3, 1, 1, 1, 2, 1, 2, 2, 3, 1, 0, 0, 0, 0, 20
C aeolian (0), 0, 1, 1, 1, 0, 0, 1, 0, 1, 3, 2, 1, 1, 2, 1, 2, 3, 2, 1, 0, 0, 0, 0, 23
C locrian (0), 0, 0, 0, 1, 0, 1, 0, 0, 0, 2, 1, 0, 1, 1, 2, 1, 2, 2, 0, 0, 0, 0, 0, 14
F major (1b), 0, 0, 1, 1, 0, 0, 1, 0, 0, 3, 1, 1, 1, 2, 1, 2, 2, 3, 1, 0, 0, 0, 0, 20
G major (1#), 1, 1, 1, 0, 1, 0, 1, 0, 1, 4, 1, 2, 2, 2, 1, 2, 2, 2, 2, 0, 1, 1, 1, 29
D minor (1b), 0, 1, 1, 1, 0, 0, 2, 0, 0, 3, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 0, 0, 0, 20
E minor (1#), 1, 2, 0, 0, 2, 0, 0, 1, 2, 3, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 26
D minor mel (1b), 0, 2, 1, 1, 0, 0, 2, 0, 1, 3, 2, 1, 1, 1, 1, 1, 3, 1, 1, 1, 0, 0, 0, 23
E minor mel (1#), 1, 3, 0, 0, 2, 0, 1, 1, 2, 3, 1, 1, 2, 0, 1, 0, 2, 0, 1, 2, 1, 1, 1, 26
F major blues (1b), 1, 1, 1, 1, 0, 1, 1, 0, 1, 3, 2, 1, 1, 2, 2, 2, 3, 3, 1, 0, 0, 0, 0, 27
G major blues (1#), 1, 2, 1, 1, 1, 0, 2, 0, 1, 4, 2, 2, 2, 2, 1, 2, 3, 3, 2, 1, 1, 1, 1, 36
D minor blues (1b), 1, 1, 1, 1, 0, 1, 1, 0, 1, 3, 2, 1, 1, 2, 2, 2, 3, 3, 1, 0, 0, 0, 0, 27
E minor blues (1#), 1, 2, 1, 1, 1, 0, 2, 0, 1, 4, 2, 2, 2, 2, 1, 2, 3, 3, 2, 1, 1, 1, 1, 36
F dorian (1b), 0, 1, 1, 1, 0, 0, 1, 0, 1, 3, 2, 1, 1, 2, 1, 2, 3, 2, 1, 0, 0, 0, 0, 23
G dorian (1#), 1, 2, 1, 0, 1, 0, 2, 0, 1, 4, 1, 2, 2, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 29
F phrygian (1b), 0, 0, 0, 1, 0, 1, 0, 0, 0, 2, 1, 0, 1, 1, 2, 1, 2, 2, 0, 0, 0, 0, 0, 14
G phrygian (1#), 0, 1, 1, 1, 0, 0, 1, 0, 1, 3, 2, 1, 1, 2, 1, 2, 3, 2, 1, 0, 0, 0, 0, 23
F lydian (1b), 0, 1, 1, 1, 0, 0, 1, 0, 1, 3, 2, 1, 1, 2, 1, 2, 3, 2, 1, 0, 0, 0, 0, 23
G lydian (1#), 1, 2, 1, 0, 1, 0, 2, 0, 1, 4, 1, 2, 2, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 29
F mixolydian (1b), 0, 0, 0, 1, 0, 1, 0, 0, 0, 2, 1, 0, 1, 1, 2, 1, 2, 2, 0, 0, 0, 0, 0, 14
G mixolydian (1#), 0, 1, 1, 1, 0, 0, 1, 0, 1, 3, 2, 1, 1, 2, 1, 2, 3, 2, 1, 0, 0, 0, 0, 23
F aeolian (1b), 0, 0, 1, 1, 0, 0, 1, 0, 0, 3, 1, 1, 1, 2, 1, 2, 2, 3, 1, 0, 0, 0, 0, 20
G aeolian (1#), 1, 1, 1, 0, 1, 0, 1, 0, 1, 4, 1, 2, 2, 2, 1, 2, 2, 2, 2, 0, 1, 1, 1, 29
F locrian (1b), 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 2, 0, 0, 0, 0, 0, 11
G locrian (1#), 0, 0, 1, 1, 0, 0, 1, 0, 0, 3, 1, 1, 1, 2, 1, 2, 2, 3, 1, 0, 0, 0, 0, 20
Bb major (2b), 0, 0, 0, 1, 0, 1, 0, 0, 0, 2, 1, 0, 1, 1, 2, 1, 2, 2, 0, 0, 0, 0, 0, 14
D major (2#), 1, 2, 1, 0, 1, 0, 2, 0, 1, 4, 1, 2, 2, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 29
G minor (2b), 1, 0, 0, 0, 1, 1, 0, 0, 0, 3, 0, 1, 2, 1, 2, 1, 1, 2, 1, 0, 1, 1, 1, 20
B minor (2#), 2, 1, 1, 0, 1, 0, 2, 0, 0, 3, 0, 2, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 25
G minor mel (2b), 1, 0, 1, 0, 1, 0, 1, 0, 0, 4, 0, 2, 2, 2, 1, 2, 1, 3, 2, 0, 1, 1, 1, 26
B minor mel (2#), 3, 1, 2, 0, 1, 0, 2, 0, 0, 2, 0, 2, 1, 1, 0, 1, 0, 1, 2, 1, 1, 1, 1, 23
Bb major blues (2b), 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 2, 2, 2, 2, 3, 1, 1, 0, 0, 0, 28
D major blues (2#), 2, 2, 2, 1, 1, 0, 2, 0, 1, 4, 2, 2, 2, 2, 1, 2, 3, 2, 2, 1, 1, 1, 1, 37
G minor blues (2b), 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 2, 2, 2, 2, 3, 1, 1, 0, 0, 0, 28
B minor blues (2#), 2, 2, 2, 1, 1, 0, 2, 0, 1, 4, 2, 2, 2, 2, 1, 2, 3, 2, 2, 1, 1, 1, 1, 37
Bb dorian (2b), 0, 0, 1, 1, 0, 0, 1, 0, 0, 3, 1, 1, 1, 2, 1, 2, 2, 3, 1, 0, 0, 0, 0, 20
D dorian (2#), 2, 2, 2, 0, 1, 0, 2, 0, 1, 3, 1, 2, 1, 1, 0, 1, 1, 1, 2, 1, 1, 1, 1, 27
Bb phrygian (2b), 1, 1, 2, 1, 0, 0, 1, 0, 1, 2, 2, 1, 0, 2, 0, 2, 2, 2, 1, 0, 0, 0, 0, 21
D phrygian (2#), 2, 1, 2, 0, 1, 0, 1, 0, 1, 3, 1, 2, 1, 2, 0, 2, 1, 2, 2, 0, 1, 1, 1, 27
Bb lydian (2b), 1, 1, 1, 1, 1, 1, 1, 0, 1, 4, 2, 2, 2, 2, 2, 2, 3, 3, 2, 0, 1, 1, 1, 35
D lydian (2#), 1, 1, 1, 1, 1, 1, 1, 0, 1, 4, 2, 2, 2, 2, 2, 2, 3, 3, 2, 0, 1, 1, 1, 35
Bb mixolydian (2b), 1, 1, 1, 0, 1, 0, 1, 0, 1, 4, 1, 2, 2, 2, 1, 2, 2, 2, 2, 0, 1, 1, 1, 29
D mixolydian (2#), 0, 0, 1, 1, 0, 0, 1, 0, 0, 3, 1, 1, 1, 2, 1, 2, 2, 3, 1, 0, 0, 0, 0, 20
Bb aeolian (2b), 1, 1, 1, 0, 1, 0, 1, 0, 1, 4, 1, 2, 2, 2, 1, 2, 2, 2, 2, 0, 1, 1, 1, 29
D aeolian (2#), 0, 0, 1, 1, 0, 0, 1, 0, 0, 3, 1, 1, 1, 2, 1, 2, 2, 3, 1, 0, 0, 0, 0, 20
Bb locrian (2b), 0, 1, 1, 1, 0, 0, 1, 0, 1, 3, 2, 1, 1, 2, 1, 2, 3, 2, 1, 0, 0, 0, 0, 23
D locrian (2#), 0, 0, 0, 1, 0, 1, 0, 0, 0, 2, 1, 0, 1, 1, 2, 1, 2, 2, 0, 0, 0, 0, 0, 14
Eb major (3b), 0, 0, 1, 1, 0, 0, 1, 0, 0, 3, 1, 1, 1, 2, 1, 2, 2, 3, 1, 0, 0, 0, 0, 20
A major (3#), 1, 1, 1, 0, 1, 0, 1, 0, 1, 4, 1, 2, 2, 2, 1, 2, 2, 2, 2, 0, 1, 1, 1, 29
C minor (3b), 0, 1, 1, 1, 0, 0, 2, 0, 0, 3, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 0, 0, 0, 20
F# minor (3#), 1, 2, 0, 0, 2, 0, 0, 1, 2, 3, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 26
C minor mel (3b), 0, 1, 0, 1, 0, 1, 0, 0, 1, 2, 2, 0, 1, 1, 2, 1, 3, 1, 0, 0, 0, 0, 0, 17
F# minor mel (3#), 1, 3, 1, 0, 1, 1, 1, 1, 2, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 2, 0, 0, 0, 16
Eb major blues (3b), 0, 1, 1, 1, 0, 0, 1, 0, 1, 3, 2, 1, 1, 2, 1, 2, 3, 2, 1, 0, 0, 0, 0, 23
A major blues (3#), 1, 1, 2, 1, 0, 0, 1, 0, 1, 2, 2, 1, 0, 2, 0, 2, 2, 2, 1, 0, 0, 0, 0, 21
C minor blues (3b), 2, 1, 2, 0, 1, 0, 1, 0, 1, 3, 1, 2, 1, 2, 0, 2, 1, 2, 2, 0, 1, 1, 1, 27
F# minor blues (3#), 1, 1, 1, 1, 1, 1, 1, 0, 1, 4, 2, 2, 2, 2, 2, 2, 3, 3, 2, 0, 1, 1, 1, 35
Eb dorian (3b), 1, 1, 1, 1, 1, 1, 1, 0, 1, 4, 2, 2, 2, 2, 2, 2, 3, 3, 2, 0, 1, 1, 1, 35
A dorian (3#), 1, 1, 1, 0, 1, 0, 1, 0, 1, 4, 1, 2, 2, 2, 1, 2, 2, 2, 2, 0, 1, 1, 1, 29
Eb phrygian (3b), 0, 0, 1, 1, 0, 0, 1, 0, 0, 3, 1, 1, 1, 2, 1, 2, 2, 3, 1, 0, 0, 0, 0, 20
A phrygian (3#), 1, 1, 1, 0, 1, 0, 1, 0, 1, 4, 1, 2, 2, 2, 1, 2, 2, 2, 2, 0, 1, 1, 1, 29
Eb lydian (3b), 0, 0, 1, 1, 0, 0, 1, 0, 0, 3, 1, 1, 1, 2, 1, 2, 2, 3, 1, 0, 0, 0, 0, 20
A lydian (3#), 0, 1, 1, 1, 0, 0, 1, 0, 1, 3, 2, 1, 1, 2, 1, 2, 3, 2, 1, 0, 0, 0, 0, 23
Eb mixolydian (3b), 0, 0, 0, 1, 0, 1, 0, 0, 0, 2, 1, 0, 1, 1, 2, 1, 2, 2, 0, 0, 0, 0, 0, 14
A mixolydian (3#), 0, 0, 1, 1, 0, 0, 1, 0, 0, 3, 1, 1, 1, 2, 1, 2, 2, 3, 1, 0, 0, 0, 0, 20
