 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, rowcost
C major (0), 2, 3, 2, 4, 1, 2, 0, 0, 2, 3, 1, 0, 0, 0, 0, 1, 1, 1, 0, 2, 1, 2, 1, 0, 0, 0, 3, 2, 1, 1, 2, 1, 2, 2, 43
A minor (0), 2, 4, 2, 4, 2, 3, 1, 0, 2, 2, 1, 0, 0, 1, 0, 1, 1, 1, 1, 2, 1, 2, 2, 0, 0, 1, 2, 2, 0, 0, 1, 0, 2, 1, 44
F major (1b), 1, 5, 1, 3, 1, 2, 0, 0, 1, 2, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 2, 1, 0, 0, 0, 3, 1, 1, 1, 2, 1, 2, 2, 37
G major (1#), 3, 2, 3, 3, 2, 3, 1, 0, 3, 2, 2, 1, 1, 1, 0, 0, 1, 2, 0, 1, 1, 2, 0, 1, 1, 1, 2, 3, 2, 2, 2, 1, 2, 2, 53
D minor (1b), 3, 2, 3, 2, 2, 2, 1, 1, 2, 3, 1, 0, 0, 0, 0, 1, 1, 1, 0, 2, 0, 1, 2, 1, 0, 0, 4, 1, 2, 1, 2, 1, 2, 2, 46
E minor (1#), 3, 2, 3, 2, 2, 2, 1, 0, 3, 2, 3, 2, 1, 1, 0, 0, 0, 1, 1, 2, 1, 1, 0, 1, 1, 1, 0, 2, 2, 3, 1, 1, 2, 1, 48
Bb major (2b), 1, 5, 1, 2, 1, 3, 0, 0, 1, 2, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 2, 1, 1, 2, 1, 1, 1, 1, 34
D major (2#), 4, 1, 4, 2, 3, 2, 2, 1, 4, 2, 3, 1, 1, 1, 0, 0, 1, 2, 0, 1, 0, 1, 1, 2, 1, 1, 3, 3, 3, 2, 2, 1, 2, 2, 59
G minor (2b), 3, 2, 3, 1, 2, 4, 1, 0, 2, 2, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 2, 1, 1, 1, 2, 2, 3, 1, 1, 1, 1, 46
B minor (2#), 2, 1, 2, 1, 3, 2, 3, 2, 3, 3, 2, 1, 1, 1, 0, 0, 1, 2, 1, 1, 0, 1, 1, 3, 1, 1, 2, 1, 3, 3, 2, 1, 3, 2, 56
Eb major (3b), 1, 4, 1, 2, 0, 2, 1, 1, 1, 3, 0, 0, 0, 0, 1, 2, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 2, 1, 0, 1, 0, 0, 0, 0, 29
A major (3#), 4, 2, 4, 2, 4, 2, 3, 1, 4, 1, 3, 1, 1, 2, 0, 0, 1, 2, 1, 1, 0, 1, 2, 2, 1, 2, 2, 3, 2, 1, 1, 0, 2, 1, 59
C minor (3b), 2, 2, 2, 3, 0, 3, 1, 1, 2, 4, 1, 0, 0, 0, 1, 2, 0, 0, 1, 2, 1, 1, 1, 1, 0, 0, 2, 2, 0, 1, 0, 0, 0, 0, 36
F# minor (3#), 1, 2, 1, 2, 3, 3, 2, 1, 2, 0, 2, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 2, 2, 0, 1, 3, 1, 1, 1, 1, 0, 2, 1, 41
Ab major (4b), 1, 3, 1, 1, 0, 1, 2, 2, 0, 3, 1, 1, 0, 0, 1, 2, 0, 0, 3, 2, 0, 0, 1, 1, 0, 0, 2, 1, 0, 2, 0, 0, 1, 0, 32
E major (4#), 4, 2, 4, 1, 4, 1, 3, 1, 4, 1, 4, 2, 1, 2, 0, 0, 0, 1, 2, 2, 0, 0, 2, 2, 1, 2, 1, 2, 2, 2, 0, 0, 1, 0, 54
