 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, rowcost
C major (0), 2/1, 3/6, 2/1, 4/1, 1/0, 2/2, 0/0, 0/0, 2/0, 3/2, 1/0, 0/0, 0/0, 0/0, 0/0, 1/0, 1/1, 1/0, 0/0, 2/1, 1/1, 2/3, 1/1, 0/0, 0/0, 0/0, 3/1, 2/1, 1/3, 1/1, 2/0, 1/0, 2/0, 2/0, 43/26
A minor (0), 2/1, 3/4, 2/1, 4/5, 1/1, 3/3, 0/0, 0/0, 2/1, 3/2, 1/0, 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 1/2, 0/0, 2/1, 1/0, 2/0, 1/0, 0/0, 0/0, 0/0, 2/0, 2/3, 1/0, 1/0, 2/3, 1/1, 3/2, 2/2, 44/32
F major (1b), 1/1, 5/6, 1/1, 3/0, 1/0, 2/2, 0/0, 0/0, 1/0, 2/1, 0/0, 0/0, 0/0, 0/0, 0/0, 1/2, 1/0, 1/0, 0/0, 1/1, 1/0, 2/0, 1/1, 0/0, 0/0, 0/0, 3/2, 1/1, 1/0, 1/1, 2/0, 1/0, 2/0, 2/0, 37/19
G major (1#), 3/1, 2/1, 3/1, 3/3, 2/0, 3/3, 1/0, 0/0, 3/1, 2/2, 2/0, 1/0, 1/0, 1/0, 0/0, 0/0, 1/1, 2/3, 0/0, 1/1, 1/0, 2/2, 0/0, 1/1, 1/0, 1/0, 2/1, 3/3, 2/3, 2/1, 2/0, 1/0, 2/0, 2/0, 53/28
D minor (1b), 2/1, 3/4, 2/1, 3/3, 1/1, 3/3, 0/0, 0/0, 1/1, 3/2, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 1/0, 0/0, 2/1, 1/0, 2/2, 1/0, 0/1, 0/0, 0/0, 3/1, 1/1, 1/0, 1/0, 2/2, 1/1, 2/1, 2/1, 40/27
E minor (1#), 3/5, 2/1, 3/5, 3/0, 2/4, 3/1, 1/1, 0/0, 3/4, 2/1, 2/1, 1/0, 1/0, 1/0, 0/0, 0/0, 1/0, 2/2, 0/0, 1/1, 1/0, 2/0, 0/0, 1/0, 1/0, 1/0, 1/0, 2/2, 2/0, 2/0, 2/0, 1/0, 3/1, 2/0, 52/29
Bb major (2b), 1/0, 5/1, 1/0, 2/0, 1/1, 3/1, 0/0, 0/0, 1/0, 2/1, 0/0, 0/0, 0/0, 0/0, 1/0, 2/2, 0/0, 0/0, 0/0, 1/1, 1/0, 1/0, 1/1, 1/0, 0/0, 0/0, 2/2, 1/1, 1/0, 2/1, 1/0, 1/0, 1/0, 1/0, 34/12
D major (2#), 4/1, 1/4, 4/1, 2/3, 3/4, 2/3, 2/1, 1/0, 4/1, 2/2, 3/0, 1/0, 1/0, 1/0, 0/0, 0/0, 1/1, 2/3, 0/0, 1/1, 0/0, 1/2, 1/0, 2/0, 1/0, 1/0, 3/1, 3/1, 3/0, 2/1, 2/2, 1/0, 2/1, 2/1, 59/34
G minor (2b), 2/1, 3/3, 2/1, 2/4, 1/0, 4/3, 0/1, 0/0, 1/1, 3/2, 0/0, 0/0, 0/0, 0/0, 1/0, 2/0, 0/0, 0/0, 0/0, 2/1, 1/1, 1/1, 1/0, 1/1, 0/0, 0/0, 2/1, 1/1, 1/3, 2/1, 1/0, 1/0, 1/0, 1/0, 37/26
B minor (2#), 2/2, 1/1, 2/2, 2/0, 3/6, 2/1, 2/1, 1/0, 4/6, 2/0, 3/3, 1/1, 1/1, 1/1, 0/0, 0/0, 1/0, 2/2, 0/0, 1/1, 0/0, 1/0, 1/1, 3/1, 1/1, 1/1, 2/0, 2/2, 3/1, 3/1, 2/0, 1/0, 3/1, 2/0, 56/37
Eb major (3b), 1/1, 4/5, 1/1, 2/0, 0/0, 2/1, 1/1, 1/0, 1/0, 3/1, 0/0, 0/0, 0/0, 0/0, 1/1, 2/3, 0/0, 0/0, 1/0, 1/1, 1/0, 1/0, 1/1, 1/1, 0/0, 0/0, 2/2, 1/1, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 29/21
A major (3#), 4/5, 2/1, 4/5, 2/1, 4/1, 2/1, 3/1, 1/0, 4/4, 1/1, 3/1, 1/0, 1/0, 2/0, 0/0, 0/0, 1/0, 2/2, 1/1, 1/1, 0/0, 1/0, 2/0, 2/0, 1/0, 2/0, 2/0, 3/3, 2/0, 1/0, 1/0, 0/0, 2/1, 1/0, 59/29
C minor (3b), 2/1, 2/5, 2/1, 2/1, 0/0, 3/2, 1/1, 1/0, 1/0, 4/2, 0/1, 0/0, 0/0, 0/0, 1/0, 2/0, 0/0, 0/0, 1/0, 2/1, 1/0, 1/0, 1/1, 1/1, 0/0, 0/0, 2/1, 1/1, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 32/20
F# minor (3#), 2/2, 2/1, 2/2, 2/0, 4/1, 2/0, 3/3, 1/1, 3/4, 1/0, 3/4, 1/1, 1/1, 2/3, 0/0, 0/0, 1/0, 2/0, 1/1, 1/0, 0/0, 1/0, 2/1, 3/2, 1/1, 2/3, 2/2, 2/2, 2/1, 2/1, 1/0, 0/0, 2/1, 1/0, 55/38
Ab major (4b), 1/0, 3/1, 1/0, 1/0, 0/0, 1/1, 2/2, 2/2, 0/0, 3/2, 1/1, 1/0, 0/0, 0/0, 1/1, 2/3, 0/0, 0/0, 3/2, 2/1, 0/0, 0/0, 1/1, 1/1, 0/0, 0/0, 2/1, 1/0, 0/0, 2/1, 0/0, 0/0, 1/0, 0/0, 32/20
E major (4#), 4/5, 2/1, 4/5, 1/0, 4/6, 1/1, 3/1, 1/0, 4/4, 1/1, 4/1, 2/0, 1/0, 2/1, 0/0, 0/0, 0/0, 1/2, 2/0, 2/1, 0/0, 0/0, 2/0, 2/1, 1/0, 2/1, 1/0, 2/2, 2/0, 2/1, 0/0, 0/0, 1/1, 0/0, 54/35
F minor (4b), 1/0, 3/1, 1/0, 1/0, 0/0, 2/2, 1/0, 1/0, 0/0, 3/1, 1/1, 1/0, 0/0, 0/0, 1/0, 2/2, 0/0, 0/0, 2/0, 2/1, 0/0, 0/0, 1/1, 1/0, 0/0, 0/0, 2/1, 1/1, 0/0, 2/1, 0/0, 0/0, 1/0, 0/0, 30/12
C# minor (4#), 2/0, 3/2, 2/2, 1/0, 4/2, 1/0, 4/5, 1/1, 3/0, 1/1, 4/1, 2/0, 1/0, 3/4, 0/0, 0/0, 0/0, 1/0, 3/2, 2/0, 0/0, 0/0, 4/3, 3/2, 1/0, 3/4, 1/0, 2/1, 2/0, 3/1, 0/0, 0/0, 1/1, 0/0, 58/32
Db major (5b), 0/0, 2/1, 0/0, 0/0, 1/0, 1/1, 3/2, 2/2, 0/0, 2/3, 2/2, 2/2, 0/0, 1/0, 1/1, 1/1, 0/0, 0/0, 5/4, 2/2, 0/0, 0/0, 2/1, 1/1, 0/0, 1/0, 1/1, 1/0, 0/0, 3/3, 0/0, 0/0, 2/2, 0/0, 36/29
B major (5#), 2/2, 2/1, 2/2, 0/0, 4/3, 1/1, 4/1, 2/0, 3/1, 2/1, 3/2, 2/1, 1/0, 2/2, 0/0, 0/0, 0/0, 1/0, 3/1, 2/0, 0/0, 0/0, 2/1, 3/1, 1/0, 2/1, 1/2, 1/0, 2/1, 3/1, 0/0, 0/0, 1/1, 0/0, 52/26
Bb minor (5b), 0/0, 2/1, 0/0, 0/0, 1/0, 2/2, 2/1, 1/0, 0/0, 2/1, 1/0, 1/0, 0/0, 1/0, 1/0, 1/2, 0/0, 0/0, 3/0, 1/1, 0/0, 0/0, 2/1, 1/1, 0/0, 1/0, 1/1, 1/0, 0/0, 2/1, 0/0, 0/0, 1/0, 0/0, 28/12
G# minor (5#), 2/3, 3/2, 2/3, 0/0, 4/2, 1/0, 5/4, 2/0, 2/0, 2/1, 4/2, 3/0, 1/0, 3/1, 0/0, 0/0, 0/0, 1/0, 5/4, 3/2, 0/0, 0/0, 4/3, 3/2, 1/0, 3/4, 1/0, 1/2, 2/0, 4/1, 0/0, 0/0, 2/0, 0/0, 64/36
Gb major (6b), 1/0, 3/2, 1/0, 0/0, 4/2, 2/1, 5/4, 3/2, 1/0, 2/3, 3/3, 2/2, 0/0, 2/4, 1/0, 1/0, 0/0, 0/0, 6/6, 2/2, 0/0, 0/0, 3/3, 2/1, 0/0, 2/4, 2/1, 0/0, 1/0, 3/3, 0/0, 0/0, 2/2, 0/0, 54/45
F# major (6#), 1/0, 2/1, 1/0, 0/0, 3/1, 2/1, 3/3, 2/0, 1/0, 1/1, 2/1, 1/0, 0/0, 1/2, 1/0, 1/0, 0/0, 0/0, 3/1, 1/0, 0/0, 0/0, 2/2, 2/1, 0/0, 1/2, 2/2, 0/0, 1/0, 2/1, 0/0, 0/0, 1/1, 0/0, 37/20
Eb minor (6b), 1/0, 2/1, 1/0, 0/0, 2/0, 2/3, 3/1, 2/0, 1/0, 2/1, 2/1, 1/0, 0/0, 1/0, 1/0, 1/0, 0/0, 0/0, 3/1, 1/0, 0/0, 0/0, 3/1, 2/1, 0/0, 1/0, 2/1, 0/0, 1/0, 2/1, 0/0, 0/0, 1/0, 0/0, 38/12
D# minor (6#), 1/0, 3/2, 1/0, 0/0, 3/2, 2/0, 5/6, 3/2, 1/0, 3/2, 3/1, 2/0, 0/0, 2/1, 1/0, 1/0, 0/0, 0/0, 6/6, 2/2, 0/0, 0/0, 4/3, 2/1, 0/0, 2/4, 2/2, 0/0, 1/0, 3/1, 0/0, 0/0, 2/0, 0/0, 55/35
Cb major (7b), 3/4, 3/2, 3/4, 0/0, 6/6, 2/2, 7/8, 4/4, 4/2, 3/3, 5/4, 3/2, 1/0, 3/4, 0/0, 0/0, 0/0, 1/0, 6/6, 3/2, 0/0, 0/0, 4/5, 4/3, 1/0, 3/4, 2/5, 1/0, 3/2, 4/3, 0/0, 0/0, 2/2, 0/0, 81/77
C# major (7#), 0/0, 3/2, 0/0, 0/0, 2/2, 1/1, 3/3, 1/1, 0/0, 1/2, 1/1, 1/0, 0/0, 2/4, 1/0, 1/0, 0/0, 0/0, 4/2, 1/0, 0/0, 0/0, 3/3, 1/2, 0/0, 2/4, 1/1, 1/0, 0/0, 2/1, 0/0, 0/0, 1/1, 0/0, 33/30
Ab minor (7b), 2/1, 2/1, 2/0, 0/0, 3/0, 1/1, 5/2, 3/2, 2/0, 3/3, 3/1, 2/0, 1/0, 2/0, 0/0, 0/0, 0/0, 1/0, 4/2, 2/0, 0/0, 0/0, 3/1, 3/1, 1/0, 2/0, 1/1, 1/0, 2/0, 3/1, 0/0, 0/0, 1/0, 0/0, 55/17
