id,title,composer,KSgt,KSest,notes,err,time
101,101-Beethoven-bagatelle4op33,,(3),E major (4),70,0,0.034
102,102-Beethoven-quatuor16op135,,,D- major (-5),96,0,0.039
103,103-SaintSaens-elephant,,,E- major (-3),57,0,0.019
104,104-Haendel-concertogrosso4op6,,,C major (0),81,0,0.046
105,105-Schubert-gloria,,D major (2),A major (3),67,0,0.014
106,106-Bach-polonaise,,,G major (1),127,0,0.108
107,107-Wolf-chantEspagnol8,,,D major (2),85,0,0.049
108,108-Beethoven-quatuor13op130,,,G major (1),61,0,0.015
109,109-Kuhlau-sonatineop60n1,,F major (-1),C major (0),90,1,0.056
110,110-Haendel-concertogrosso3,,,G major (1),86,0,0.026
111,111-Mozart-sonateKV570,,,B- major (-2),98,4,0.371
112,112-Haydn-fantasia,,,C major (0),68,1,0.046
113,113-Gretchaninoff-retour,,,G major (1),89,0,0.040
114,114-Clementi-rondoSonateop25,,,G major (1),86,0,0.041
115,115-Clementi-sonatineop36n1,,(0),G major (1),91,0,0.073
117,117-Schumann-trio2,,,D- major (-5),72,0,0.030
118,118-Greensleeves,,B- major (-2),F major (-1),75,0,0.032
119,119-Mendelssohn-romances31op67,,,E- major (-3),74,0,0.080
120,120-Bach-gavotte,,,G major (1),130,1,0.066
121,121-Beethoven-adagioSonate1op2,,,F major (-1),51,1,0.053
122,122-pop,,,C major (0),58,0,0.023
123,123-Mozart-Canzonetta,,,D major (2),60,1,0.023
124,124-Schubert-quatuor13op29,,,C major (0),82,0,0.039
125,125-Wolf-melodie5,,A major (3),D major (2),66,1,0.025
126,126-Milhaud-suiteProvencale,,C major (0),D major (2),61,0,0.019
127,127-Lemoine-etude38,,C major (0),G major (1),93,2,0.034
128,128-Wolf-melodiesItalienne26,,E- major (-3),B- major (-2),94,5,0.056
129,129-Mozart-sonateKV331,,,A major (3),60,0,0.025
130,130-Haendel-concertogrosso10,,,F major (-1),85,0,0.083
131,131-negrospiritual,,,G major (1),73,0,0.053
132,132-Bach-Brandegourgeois4,,,G major (1),108,0,0.032
133,133-Mozart-KV282,,E- major (-3),B- major (-2),107,0,0.070
134,134-Purcell-gigue,,,C major (0),81,0,0.045
135,135-Schumann-concertola,,,F major (-1),66,1,0.083
136,136-Schumann-Myrten25op25,,,E- major (-3),77,2,0.038
138,138-Wolf-melodie1,,,A major (3),90,3,0.050
140,140-Clementi-sonate3op25,,B- major (-2),F major (-1),112,1,0.087
141,141-Puig-Roget,,,C major (0),67,0,0.035
142,142-Wolf-chantsitaliens35,,(-3),B- major (-2),77,3,0.037
143,143-Wolf-melodiesespagnoles1,,,F major (-1),91,6,0.049
144,144-Wolf-melodiesespagnoles13,,,D major (2),67,1,0.019
145,145-Clementi-sonate3op25,,B- major (-2),F major (-1),87,2,0.080
146,146-Clementi-sonatine2op35,,,G major (1),117,0,0.040
147,147-Beethoven-rondosonateop28,,,D major (2),56,0,0.020
148,148-Mozart-concertofluteKV314,,,D major (2),61,0,0.044
149,149-Wolf-melodiesespagnoles2,,,C major (0),91,2,0.025
151,151-Mozart-duettinoDonJuanI97,,,A major (3),70,0,0.024
152,152-Clementi-sonate5op36,,,C major (0),89,0,0.037
153,153-Wolf-chansonsItaliennes21,,F major (-1),C major (0),90,1,0.069
154,154-Clementi-sonatine1op37,,,E- major (-3),83,0,0.126
155,155-CPEBach-ariavar2,,,A major (3),57,0,0.018
156,156-Haendel-hornpipeconcertogrosso7,,B- major (-2),F major (-1),79,0,0.172
157,157-Wolf-melodiesitaliennes20,,,B- major (-2),96,2,0.028
158,158-Beethoven-quatuor1op18,,F major (-1),C major (0),94,1,0.145
159,159-Dussek-rondo,,,B- major (-2),141,0,0.079
160,160-Beethoven-trio2op70,,,C major (0),49,0,0.014
161,161-Rimsky-Korsakov-Scheherazade,,,G major (1),117,0,0.070
162,162-Chopin-nocturne1op32,,,B major (5),53,3,0.084
163,163-Beethoven-septuorop20,,,E- major (-3),61,0,0.056
164,164-Clementi-rondosonatine2op38,,,B- major (-2),53,0,0.025
165,165-Balbastre-pastorale,,,C major (0),57,0,0.030
168,168-Beethoven-quatuor1op18,,,F major (-1),94,2,0.027
169,169-Wolf-chantsitaliens29,,,C major (0),93,9,0.064
171,171-Mozart-concertobasson,,,F major (-1),79,0,0.287
172,172-Beethoven-trio2op70,,,C major (0),65,0,0.030
173,173-Kuhlau-sonative1op60,,,F major (-1),132,1,0.092
174,174-negrospiritual,,,C major (0),69,0,0.035
177,177-Boulnois-berceuse,,C major (0),G major (1),84,2,0.050
178,178-Poulenc,,D major (2),A major (3),85,0,0.025
179,179-Clementi-canone33,,,C major (0),83,1,0.027
180,180-Haendel-concertogrosso9op6,,,F major (-1),58,0,0.018
201,201-Beethoven-variation1,,,G major (1),97,0,0.052
202,202-Bach-sarabande,,F major (-1),C major (0),86,1,0.025
203,203-Listz-preludes,,,C major (0),113,1,0.080
205,205-Bach-credo,,,D major (2),105,0,0.054
206,206-Beethoven-sonateop26,,,A- major (-4),67,0,0.021
207,207-Bach-aria,,,G major (1),134,0,0.113
209,209-Beethoven-rondoop13,,,E- major (-3),87,3,0.054
210,210-Schubert-benedictus,,,G major (1),78,1,0.056
211,211-Haydn,,,C major (0),132,0,0.113
213,213-Beethoven-sonate2op14,,,G major (1),85,0,0.026
214,214-Schumann-trio3,,,E- major (-3),128,7,1.387
215,215-Debussy-passepied,,A major (3),B major (5),51,2,0.019
216,216-Haendel,,,D major (2),147,0,0.082
217,217-Beethoven-octuorop103,,(-2),F major (-1),84,1,0.063
218,218-Beethoven-sonateop28,,,F major (-1),85,5,0.036
219,219-Schubert-scherzo,,,B- major (-2),80,0,0.038
220,220-Mozart-sonateKV281,,(-3),B- major (-2),136,0,0.109
221,221-Monteverdi-orfeo,,(-1),B- major (-2),31,0,0.009
222,222-Bartok-burlesque,,C major (0),B- major (-2),66,1,0.029
223,223-Monteverdi-Orfeo,,C major (0),G major (1),43,0,0.012
224,224-Schumann-trio3op110,,,B- major (-2),61,1,0.044
225,225-Beethoven-variationsop24,,,F major (-1),97,2,0.052
226,226-Milhaud-Boeuf,,,C major (0),102,0,0.049
227,227-Mozart-quintetK407,,,B- major (-2),105,1,0.046
228,228-Schuman-myrthen7op25,,(-5),F# major (6),62,42,0.032
229,229-Liszt-melodie,,G major (1),C major (0),81,10,0.061
230,230-Schumann-trio2,,(-1),C major (0),74,2,0.027
231,231-Duparc-elegie,,,F major (-1),47,2,0.014
232,232-Beethoven-sonateop22,,,E- major (-3),70,0,0.109
233,233-Debussy-cloches,,,E major (4),64,0,0.028
234,234-Beethoven-symphonie2op36,,,A major (3),74,0,0.024
235,235-Schumann-quatuor1op41,,,C major (0),142,1,0.110
236,236-Schubert-scherzo,,,G major (1),82,0,0.048
237,237-Beethoven-symphonie6,,,B- major (-2),122,0,0.161
239,239-Beethoven-themavar,,,G major (1),71,0,0.030
240,240-Haydn-sonate5,,,C major (0),124,0,0.054
241,241-Haendel-sicilianaconcertogrosso8,,,E- major (-3),116,0,0.103
243,243-Strauss-melodie1op56,,(-1),E- major (-3),87,9,0.054
244,244-Bach-concerto1violon,,C major (0),G major (1),129,0,0.910
245,245-Debussy-Arabesque2,,,G major (1),184,0,0.179
246,246-Mozart-marcheflute,,,F major (-1),97,0,0.044
247,247-Schubert-Benedictus,,,G major (1),41,0,0.015
248,248-Mozart-sonateKV280,,,A- major (-4),97,0,0.044
249,249-Mozart-andateKV9b,,,B- major (-2),128,4,0.104
250,250-Cliquet-Pleyel,,,C major (0),99,2,0.039
251,251-Schumann-Myrthen10op25,,,E- major (-3),67,0,0.019
252,252-Kuhlau-sonatine2op60,,,A major (3),68,1,0.034
253,253-Schubert-gloria,,,D major (2),50,0,0.013
254,254-Haydn-quatuor5op76,,,D major (2),111,1,0.116
255,255-Mozart-sonateDomKV457,,,E- major (-3),174,6,6.082
256,256-Mozart-sonataKV309,,,F major (-1),138,2,0.182
257,257-Mozart-quintetteDomKV309,,E- major (-3),B- major (-2),112,1,0.199
258,258-Schumann-quatuor2FaMop41,,,F major (-1),105,5,0.036
260,260-Monteverdi-Orfeo,,(0),D major (2),84,5,0.024
262,262-Schumann-Myrthen23op25,,,D major (2),82,0,0.040
263,263-Clergue-Tom,,,F major (-1),70,0,0.033
265,265-Mozart-Aria15,,,E major (4),119,0,0.082
266,266-Debussy-Berger,,,A major (3),72,0,0.078
267,267-Lalo-RoidYs,,,F major (-1),52,1,0.018
268,268-Scarlatti-sonatepastorale,,,G major (1),115,0,0.069
269,269-Beethoven-quatuor1op18,,,F major (-1),132,0,0.046
