 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, rowcost
C major (0), 0/0, 0/0, 0/0, 1/1, 2/1, 3/0, 2/0, 2/0, 3/0, 3/1, 0/0, 0/0, 0/0, 1/0, 1/0, 1/0, 1/0, 1/0, 21/3
A minor (0), 0/0, 0/0, 0/0, 1/0, 2/1, 3/3, 2/1, 2/2, 3/3, 4/3, 0/0, 0/0, 0/0, 1/1, 1/1, 1/1, 1/0, 1/0, 22/16
F major (1b), 0/0, 0/0, 0/0, 1/0, 1/0, 2/0, 1/0, 1/0, 2/0, 3/3, 0/0, 0/0, 0/0, 1/1, 1/1, 2/1, 2/1, 3/1, 20/8
G major (1#), 0/0, 1/0, 1/0, 2/1, 3/1, 4/3, 3/1, 3/2, 4/1, 4/3, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 25/12
D minor (1b), 0/0, 0/0, 0/0, 1/1, 1/1, 2/4, 1/1, 1/2, 2/2, 3/2, 0/0, 0/0, 0/0, 1/1, 1/1, 2/0, 2/0, 2/0, 19/15
E minor (1#), 0/0, 1/2, 1/0, 2/0, 3/4, 4/4, 3/4, 3/1, 4/2, 5/2, 0/0, 0/0, 0/0, 0/1, 0/1, 0/1, 0/0, 0/0, 26/22
Bb major (2b), 1/0, 0/0, 1/0, 1/0, 1/0, 2/0, 1/0, 1/0, 1/0, 2/1, 0/0, 0/0, 0/0, 1/1, 2/4, 2/4, 3/2, 4/2, 23/14
D major (2#), 1/0, 1/0, 2/0, 3/0, 3/1, 3/3, 3/1, 3/2, 4/2, 5/2, 1/0, 1/0, 1/0, 1/2, 0/0, 0/0, 0/0, 0/0, 32/13
G minor (2b), 1/0, 0/0, 1/0, 1/0, 1/3, 2/1, 1/0, 1/0, 1/0, 2/1, 0/0, 0/0, 0/0, 1/0, 2/0, 2/0, 3/0, 3/0, 22/5
B minor (2#), 1/0, 1/3, 2/1, 3/1, 3/5, 3/7, 3/5, 3/5, 4/1, 6/5, 1/3, 1/0, 1/0, 1/1, 0/1, 0/1, 0/0, 0/0, 33/39
