 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, rowcost
C major (0), 0, 0, 0, 1, 2, 3, 2, 2, 3, 3, 0, 0, 0, 1, 1, 1, 1, 1, 21
A minor (0), 1, 1, 0, 0, 3, 2, 3, 1, 2, 3, 0, 0, 0, 1, 1, 1, 1, 2, 22
F major (1b), 0, 0, 0, 1, 1, 2, 1, 1, 2, 3, 0, 0, 0, 1, 1, 2, 2, 3, 20
G major (1#), 0, 1, 1, 2, 3, 4, 3, 3, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 25
D minor (1b), 1, 0, 1, 2, 1, 1, 1, 1, 2, 4, 1, 1, 1, 2, 1, 2, 2, 2, 26
E minor (1#), 0, 2, 1, 2, 3, 4, 3, 3, 3, 4, 1, 1, 1, 1, 1, 1, 0, 0, 31
Bb major (2b), 1, 0, 1, 1, 1, 2, 1, 1, 1, 2, 0, 0, 0, 1, 2, 2, 3, 4, 23
D major (2#), 1, 1, 2, 3, 3, 3, 3, 3, 4, 5, 1, 1, 1, 1, 0, 0, 0, 0, 32
G minor (2b), 1, 1, 2, 2, 2, 3, 2, 2, 2, 3, 0, 0, 0, 0, 1, 1, 2, 2, 26
B minor (2#), 1, 1, 2, 3, 2, 2, 2, 2, 3, 7, 2, 2, 2, 2, 1, 1, 1, 1, 37
Eb major (3b), 1, 0, 2, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 2, 3, 3, 4, 5, 25
A major (3#), 2, 2, 2, 2, 4, 2, 4, 2, 3, 5, 1, 1, 1, 1, 0, 0, 0, 1, 33
C minor (3b), 1, 0, 1, 0, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 3, 2, 3, 3, 25
F# minor (3#), 3, 1, 3, 1, 3, 1, 3, 1, 2, 4, 1, 1, 1, 1, 1, 0, 1, 2, 30
Ab major (4b), 1, 1, 2, 0, 0, 0, 0, 0, 0, 3, 3, 3, 3, 4, 5, 5, 5, 6, 41
E major (4#), 2, 3, 2, 2, 4, 2, 4, 2, 2, 4, 2, 2, 2, 2, 1, 1, 0, 1, 38
F minor (4b), 0, 1, 0, 0, 0, 0, 0, 0, 1, 3, 2, 2, 2, 3, 3, 4, 3, 4, 28
C# minor (4#), 2, 4, 1, 1, 4, 2, 4, 2, 2, 4, 1, 1, 1, 1, 1, 2, 1, 3, 37
Db major (5b), 2, 3, 2, 0, 1, 0, 1, 0, 0, 5, 4, 4, 4, 4, 5, 5, 4, 5, 49
B major (5#), 2, 3, 2, 2, 3, 1, 3, 1, 1, 5, 3, 3, 3, 3, 2, 2, 1, 2, 42
Bb minor (5b), 2, 2, 1, 1, 2, 1, 2, 1, 1, 4, 1, 1, 1, 1, 2, 2, 2, 3, 30
G# minor (5#), 1, 3, 2, 2, 1, 1, 1, 1, 1, 5, 4, 4, 4, 5, 4, 4, 2, 4, 49
Gb major (6b), 4, 4, 3, 1, 3, 0, 3, 0, 0, 7, 5, 5, 5, 5, 5, 4, 3, 5, 62
F# major (6#), 3, 2, 3, 1, 2, 0, 2, 0, 0, 4, 3, 3, 3, 3, 3, 2, 2, 3, 39
Eb minor (6b), 3, 1, 3, 1, 1, 1, 1, 0, 0, 3, 2, 2, 2, 2, 2, 1, 2, 3, 30
D# minor (6#), 4, 2, 3, 1, 2, 1, 2, 0, 0, 5, 3, 3, 3, 3, 3, 2, 3, 5, 45
Cb major (7b), 4, 5, 3, 3, 4, 1, 4, 1, 1, 9, 6, 6, 6, 6, 4, 4, 2, 4, 73
C# major (7#), 3, 3, 2, 0, 2, 0, 2, 0, 0, 4, 2, 2, 2, 2, 3, 3, 3, 5, 38
Ab minor (7b), 1, 2, 2, 2, 1, 1, 1, 1, 1, 5, 4, 4, 4, 5, 4, 4, 3, 4, 49
A# minor (7#), 4, 4, 2, 1, 3, 1, 3, 1, 1, 7, 2, 2, 2, 2, 4, 3, 3, 5, 50
