 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, rowcost
C major (0), 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 2/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 3/1
A minor (0), 0/0, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 3/3, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 4/4
F major (1b), 1/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/1, 0/0, 1/1, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 6/2
G major (1#), 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 1/0, 1/0, 1/0, 1/0, 0/0, 1/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 3/3, 0/0, 1/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 16/3
D minor (1b), 1/0, 0/0, 0/1, 0/0, 0/0, 1/2, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 2/1, 0/0, 1/1, 0/0, 0/0, 1/1, 0/0, 0/0, 0/0, 1/1, 0/0, 0/0, 7/7
E minor (1#), 0/0, 0/0, 2/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/2, 0/0, 0/0, 1/0, 1/0, 1/0, 1/0, 0/0, 1/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 4/3, 0/0, 1/1, 0/0, 1/1, 0/1, 0/0, 0/0, 1/1, 0/0, 0/0, 0/0, 18/10
Bb major (2b), 4/2, 1/0, 0/0, 0/0, 1/0, 3/2, 1/0, 1/0, 1/0, 1/0, 0/0, 1/0, 1/0, 0/0, 0/0, 0/0, 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 0/0, 1/0, 1/0, 0/0, 1/1, 1/0, 2/1, 0/0, 1/0, 2/1, 0/0, 0/0, 1/0, 2/1, 0/0, 0/0, 37/8
D major (2#), 1/0, 0/0, 2/1, 1/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 1/0, 2/2, 0/0, 0/0, 1/0, 1/0, 1/0, 1/0, 0/0, 1/1, 1/0, 2/0, 0/0, 0/0, 0/0, 0/0, 1/0, 2/2, 0/0, 0/0, 5/1, 0/0, 1/1, 1/0, 1/0, 1/3, 0/0, 0/0, 1/0, 1/4, 1/0, 1/0, 33/15
G minor (2b), 2/0, 1/0, 0/0, 0/0, 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 0/0, 1/2, 1/0, 0/0, 0/0, 0/0, 1/0, 1/0, 1/0, 1/1, 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 0/0, 1/2, 1/0, 0/0, 1/2, 1/0, 2/1, 0/0, 1/1, 1/0, 0/0, 0/0, 1/1, 1/0, 0/0, 0/0, 31/10
B minor (2#), 1/1, 0/0, 3/1, 1/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 1/0, 3/2, 0/0, 0/0, 1/2, 1/1, 5/3, 3/2, 0/0, 1/1, 5/3, 3/1, 0/0, 0/0, 0/0, 0/0, 1/2, 3/2, 0/0, 0/0, 5/4, 0/0, 2/1, 1/0, 2/1, 1/3, 0/0, 0/0, 2/1, 1/4, 1/0, 1/0, 50/35
Eb major (3b), 5/5, 1/1, 1/0, 1/0, 1/2, 4/2, 1/3, 1/3, 1/3, 1/2, 0/0, 1/2, 1/1, 0/0, 0/0, 0/0, 4/2, 2/1, 1/3, 2/2, 4/2, 1/1, 1/3, 1/3, 1/3, 1/3, 0/0, 1/2, 1/1, 0/0, 0/0, 1/1, 3/2, 0/0, 2/1, 2/1, 0/0, 0/0, 2/1, 2/1, 0/0, 0/0, 51/57
