 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, rowcost
C major (0), 0, 1, 1, 1, 0, 0, 1, 0, 1, 3, 2, 1, 1, 2, 1, 2, 3, 2, 1, 0, 0, 0, 0, 23
A minor (0), 1, 1, 2, 1, 0, 0, 1, 0, 1, 2, 2, 1, 0, 2, 0, 2, 2, 2, 1, 0, 0, 0, 0, 21
F major (1b), 0, 0, 1, 1, 0, 0, 1, 0, 0, 3, 1, 1, 1, 2, 1, 2, 2, 3, 1, 0, 0, 0, 0, 20
G major (1#), 1, 1, 1, 0, 1, 0, 1, 0, 1, 4, 1, 2, 2, 2, 1, 2, 2, 2, 2, 0, 1, 1, 1, 29
D minor (1b), 0, 1, 1, 1, 0, 0, 2, 0, 0, 3, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 0, 0, 0, 20
E minor (1#), 1, 2, 0, 0, 2, 0, 0, 1, 2, 3, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 26
Bb major (2b), 0, 0, 0, 1, 0, 1, 0, 0, 0, 2, 1, 0, 1, 1, 2, 1, 2, 2, 0, 0, 0, 0, 0, 14
D major (2#), 1, 2, 1, 0, 1, 0, 2, 0, 1, 4, 1, 2, 2, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 29
G minor (2b), 1, 0, 0, 0, 1, 1, 0, 0, 0, 3, 0, 1, 2, 1, 2, 1, 1, 2, 1, 0, 1, 1, 1, 20
B minor (2#), 2, 1, 1, 0, 1, 0, 2, 0, 0, 3, 0, 2, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 25
Eb major (3b), 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 2, 0, 0, 0, 0, 0, 11
A major (3#), 2, 2, 2, 0, 1, 0, 2, 0, 1, 3, 1, 2, 1, 1, 0, 1, 1, 1, 2, 1, 1, 1, 1, 27
C minor (3b), 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 2, 0, 0, 1, 1, 1, 2, 1, 0, 0, 0, 0, 0, 14
F# minor (3#), 1, 2, 2, 0, 0, 1, 2, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 19
Ab major (4b), 2, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 14
E major (4#), 2, 3, 1, 0, 2, 0, 1, 1, 2, 2, 1, 1, 1, 0, 0, 0, 1, 0, 1, 2, 1, 1, 1, 24
F minor (4b), 1, 1, 1, 1, 1, 0, 1, 1, 1, 2, 1, 1, 0, 1, 0, 1, 1, 2, 1, 1, 0, 0, 0, 19
C# minor (4#), 3, 2, 2, 0, 2, 0, 0, 1, 2, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 23
Db major (5b), 3, 2, 1, 0, 2, 1, 0, 2, 2, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 2, 0, 0, 0, 17
B major (5#), 3, 2, 1, 0, 2, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 1, 1, 1, 20
Bb minor (5b), 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 2, 0, 1, 1, 0, 1, 0, 0, 0, 14
G# minor (5#), 2, 3, 0, 1, 3, 0, 1, 2, 2, 2, 1, 1, 1, 0, 0, 0, 1, 0, 1, 3, 1, 1, 1, 27
Gb major (6b), 4, 3, 2, 0, 2, 1, 1, 2, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 0, 0, 0, 21
F# major (6#), 2, 2, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 13
Eb minor (6b), 2, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 11
D# minor (6#), 4, 1, 2, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 14
Cb major (7b), 5, 4, 2, 0, 3, 0, 2, 2, 2, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 4, 1, 1, 1, 31
C# major (7#), 3, 1, 2, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 13
Ab minor (7b), 3, 2, 0, 1, 2, 0, 1, 1, 1, 2, 1, 1, 1, 0, 0, 0, 1, 0, 1, 2, 1, 1, 1, 23
A# minor (7#), 2, 2, 2, 0, 2, 2, 0, 2, 2, 1, 0, 0, 1, 0, 3, 0, 1, 1, 0, 2, 0, 0, 0, 23
