 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, rowcost
Bb major (2b), 0, 5, 0, 5, 2, 1, 0, 1, 2, 2, 1, 1, 1, 0, 0, 1, 2, 0, 4, 5, 0, 5, 2, 1, 0, 2, 0, 43
D major (2#), 1, 1, 1, 1, 2, 1, 2, 2, 4, 5, 0, 1, 4, 0, 0, 0, 3, 1, 4, 1, 1, 1, 2, 1, 2, 4, 0, 45
G minor (2b), 0, 2, 1, 1, 2, 1, 1, 1, 3, 2, 1, 1, 2, 0, 0, 0, 2, 1, 4, 2, 1, 1, 2, 1, 1, 3, 0, 36
B minor (2#), 1, 1, 2, 1, 3, 1, 2, 1, 5, 6, 1, 1, 3, 0, 1, 0, 3, 1, 3, 1, 2, 1, 3, 1, 2, 6, 0, 52
G minor mel (2b), 0, 1, 1, 0, 2, 0, 1, 0, 3, 3, 1, 1, 2, 0, 0, 0, 3, 1, 3, 1, 1, 0, 2, 0, 1, 2, 0, 29
B minor mel (2#), 1, 2, 3, 2, 3, 2, 3, 2, 4, 7, 2, 0, 2, 1, 2, 0, 2, 1, 4, 2, 3, 2, 3, 2, 3, 7, 1, 66
Bb major blues (2b), 0, 5, 2, 5, 4, 2, 0, 1, 3, 4, 2, 1, 1, 0, 1, 1, 3, 0, 4, 5, 2, 5, 4, 2, 0, 3, 0, 60
D major blues (2#), 1, 2, 2, 3, 2, 2, 3, 3, 4, 6, 1, 1, 4, 1, 1, 1, 4, 1, 5, 2, 2, 3, 2, 2, 3, 5, 1, 67
G minor blues (2b), 0, 2, 2, 2, 3, 2, 0, 1, 3, 4, 2, 1, 1, 0, 1, 1, 4, 0, 3, 2, 2, 2, 3, 2, 0, 3, 0, 46
B minor blues (2#), 1, 2, 2, 3, 2, 3, 3, 3, 4, 6, 1, 1, 4, 1, 1, 1, 4, 1, 5, 2, 2, 3, 2, 3, 3, 6, 1, 70
