 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, rowcost
C major (0), 0, 2, 5, 6, 2, 4, 4, 6, 6, 2, 6, 2, 0, 7, 3, 0, 0, 55
A minor (0), 1, 2, 4, 5, 2, 6, 3, 3, 3, 3, 3, 3, 0, 4, 4, 0, 0, 46
A minor mel (0), 1, 3, 5, 4, 1, 6, 2, 2, 2, 2, 3, 4, 1, 4, 5, 1, 1, 47
C major blues (0), 0, 3, 6, 6, 2, 5, 4, 6, 6, 2, 6, 3, 1, 7, 4, 1, 1, 63
A minor blues (0), 0, 3, 6, 5, 2, 7, 2, 2, 2, 2, 3, 3, 1, 4, 4, 1, 1, 48
C dorian (0), 0, 3, 6, 5, 1, 4, 3, 5, 5, 1, 6, 3, 1, 7, 4, 1, 1, 56
C phrygian (0), 0, 1, 4, 6, 2, 5, 4, 6, 6, 2, 6, 2, 0, 7, 3, 0, 0, 54
C lydian (0), 0, 3, 6, 5, 1, 4, 3, 5, 5, 1, 6, 3, 1, 7, 4, 1, 1, 56
C mixolydian (0), 0, 1, 4, 6, 2, 5, 4, 6, 6, 2, 6, 2, 0, 7, 3, 0, 0, 54
C aeolian (0), 0, 2, 5, 6, 2, 4, 4, 6, 6, 2, 6, 2, 0, 7, 3, 0, 0, 55
C locrian (0), 0, 0, 3, 5, 1, 4, 4, 6, 6, 2, 5, 1, 0, 6, 3, 0, 0, 46
F major (1b), 0, 1, 4, 6, 2, 5, 6, 10, 10, 2, 6, 2, 0, 7, 3, 0, 0, 64
G major (1#), 0, 3, 6, 5, 1, 5, 1, 1, 1, 1, 6, 3, 1, 7, 4, 1, 1, 47
D minor (1b), 1, 2, 5, 6, 2, 5, 1, 1, 1, 1, 4, 2, 0, 4, 4, 0, 0, 39
E minor (1#), 1, 2, 5, 2, 0, 4, 2, 2, 2, 2, 3, 4, 1, 4, 4, 1, 1, 40
D minor mel (1b), 1, 3, 6, 6, 2, 4, 1, 1, 1, 1, 4, 2, 0, 4, 4, 0, 0, 40
E minor mel (1#), 2, 3, 6, 2, 0, 3, 1, 1, 1, 1, 3, 4, 1, 3, 5, 1, 1, 38
F major blues (1b), 0, 2, 5, 6, 2, 5, 6, 10, 10, 2, 6, 2, 0, 7, 3, 0, 0, 66
G major blues (1#), 1, 4, 7, 6, 2, 6, 2, 2, 2, 2, 6, 3, 1, 7, 5, 1, 1, 58
D minor blues (1b), 0, 2, 5, 6, 2, 6, 2, 2, 2, 2, 5, 2, 0, 6, 3, 0, 0, 45
E minor blues (1#), 1, 4, 7, 4, 2, 6, 2, 2, 2, 2, 2, 3, 1, 3, 5, 1, 1, 48
F dorian (1b), 0, 2, 5, 6, 2, 4, 6, 10, 10, 2, 6, 2, 0, 7, 3, 0, 0, 65
G dorian (1#), 1, 4, 7, 5, 1, 4, 0, 0, 0, 0, 6, 3, 1, 6, 5, 1, 1, 45
F phrygian (1b), 0, 0, 3, 5, 1, 4, 6, 10, 10, 2, 5, 1, 0, 6, 3, 0, 0, 56
G phrygian (1#), 0, 2, 5, 6, 2, 5, 2, 2, 2, 2, 6, 2, 0, 7, 3, 0, 0, 46
F lydian (1b), 0, 2, 5, 6, 2, 4, 6, 10, 10, 2, 6, 2, 0, 7, 3, 0, 0, 65
G lydian (1#), 1, 4, 7, 5, 1, 4, 0, 0, 0, 0, 6, 3, 1, 6, 5, 1, 1, 45
F mixolydian (1b), 0, 0, 3, 5, 1, 4, 6, 10, 10, 2, 5, 1, 0, 6, 3, 0, 0, 56
G mixolydian (1#), 0, 2, 5, 6, 2, 5, 2, 2, 2, 2, 6, 2, 0, 7, 3, 0, 0, 46
F aeolian (1b), 0, 1, 4, 6, 2, 5, 6, 10, 10, 2, 6, 2, 0, 7, 3, 0, 0, 64
G aeolian (1#), 0, 3, 6, 5, 1, 5, 1, 1, 1, 1, 6, 3, 1, 7, 4, 1, 1, 47
F locrian (1b), 0, 0, 2, 5, 1, 4, 6, 10, 10, 2, 4, 0, 0, 5, 2, 0, 0, 51
G locrian (1#), 0, 1, 4, 6, 2, 6, 2, 2, 2, 2, 6, 2, 0, 7, 3, 0, 0, 45
Bb major (2b), 0, 0, 3, 5, 1, 4, 6, 10, 10, 2, 5, 1, 0, 6, 3, 0, 0, 56
D major (2#), 1, 4, 7, 5, 1, 4, 0, 0, 0, 0, 4, 3, 1, 4, 5, 1, 1, 41
G minor (2b), 0, 1, 4, 4, 0, 5, 1, 1, 1, 1, 5, 2, 1, 6, 4, 1, 1, 38
B minor (2#), 1, 3, 5, 3, 1, 3, 0, 0, 0, 0, 3, 3, 1, 3, 4, 1, 1, 32
G minor mel (2b), 0, 2, 5, 5, 1, 6, 1, 1, 1, 1, 6, 3, 1, 7, 4, 1, 1, 46
B minor mel (2#), 2, 3, 4, 4, 1, 3, 1, 1, 1, 1, 4, 4, 1, 4, 5, 1, 1, 41
Bb major blues (2b), 1, 1, 4, 6, 2, 6, 7, 11, 11, 3, 7, 3, 0, 8, 3, 0, 0, 73
D major blues (2#), 2, 4, 7, 7, 2, 5, 3, 3, 3, 3, 5, 4, 1, 6, 6, 1, 1, 63
G minor blues (2b), 1, 1, 4, 6, 2, 7, 3, 3, 3, 3, 7, 3, 0, 8, 3, 0, 0, 54
