id,title,composer,KS GT,KS est.,notes,err,time
101,101-Beethoven-bagatelle4op33,,3,4,70,0,0.053
102,102-Beethoven-quatuor16op135,,-5,-5,96,0,0.050
103,103-SaintSaens-elephant,,-3,-2,57,0,0.026
104,104-Haendel-concertogrosso4op6,,0,0,81,0,0.056
105,105-Schubert-gloria,,2,3,67,0,0.018
106,106-Bach-polonaise,,1,1,127,0,0.144
107,107-Wolf-chantEspagnol8,,2,2,85,0,0.058
108,108-Beethoven-quatuor13op130,,1,1,61,0,0.019
109,109-Kuhlau-sonatineop60n1,,-1,0,90,1,0.111
110,110-Haendel-concertogrosso3,,1,1,86,0,0.035
111,111-Mozart-sonateKV570,,-2,-2,98,4,0.783
112,112-Haydn-fantasia,,0,0,68,1,0.060
113,113-Gretchaninoff-retour,,1,1,89,0,0.047
114,114-Clementi-rondoSonateop25,,1,1,86,0,0.057
115,115-Clementi-sonatineop36n1,,0,1,91,0,0.083
117,117-Schumann-trio2,,-5,-5,72,0,0.027
118,118-Greensleeves,,-2,-1,75,0,0.038
119,119-Mendelssohn-romances31op67,,-3,-3,74,1,0.135
120,120-Bach-gavotte,,1,1,130,0,0.089
121,121-Beethoven-adagioSonate1op2,,-1,-1,51,1,0.080
122,122-pop,,0,1,58,0,0.023
123,123-Mozart-Canzonetta,,2,2,60,1,0.025
124,124-Schubert-quatuor13op29,,0,0,82,0,0.052
125,125-Wolf-melodie5,,3,2,66,0,0.033
126,126-Milhaud-suiteProvencale,,0,3,61,0,0.030
127,127-Lemoine-etude38,,0,1,93,0,0.045
128,128-Wolf-melodiesItalienne26,,-3,-2,94,2,0.081
129,129-Mozart-sonateKV331,,3,3,60,0,0.034
130,130-Haendel-concertogrosso10,,-1,-1,85,0,0.108
131,131-negrospiritual,,1,2,73,0,0.071
132,132-Bach-Brandegourgeois4,,1,1,108,0,0.040
133,133-Mozart-KV282,,-3,-2,107,0,0.080
134,134-Purcell-gigue,,0,0,81,0,0.058
135,135-Schumann-concertola,,-1,-1,66,1,0.070
136,136-Schumann-Myrten25op25,,-3,-3,77,0,0.030
138,138-Wolf-melodie1,,3,3,90,1,0.058
140,140-Clementi-sonate3op25,,-2,-1,112,1,0.123
141,141-Puig-Roget,,0,0,67,0,0.043
142,142-Wolf-chantsitaliens35,,-3,-2,77,3,0.056
143,143-Wolf-melodiesespagnoles1,,-1,-1,91,2,0.057
144,144-Wolf-melodiesespagnoles13,,2,2,67,1,0.025
145,145-Clementi-sonate3op25,,-2,-1,87,1,0.112
146,146-Clementi-sonatine2op35,,1,1,117,0,0.065
147,147-Beethoven-rondosonateop28,,2,2,56,0,0.033
148,148-Mozart-concertofluteKV314,,2,2,61,0,0.064
149,149-Wolf-melodiesespagnoles2,,0,0,91,2,0.031
151,151-Mozart-duettinoDonJuanI97,,3,3,70,0,0.034
152,152-Clementi-sonate5op36,,0,0,89,0,0.045
153,153-Wolf-chansonsItaliennes21,,-1,0,90,1,0.109
154,154-Clementi-sonatine1op37,,-3,-3,83,0,0.180
155,155-CPEBach-ariavar2,,3,3,57,0,0.022
156,156-Haendel-hornpipeconcertogrosso7,,-2,-1,79,0,0.209
157,157-Wolf-melodiesitaliennes20,,-2,-2,96,1,0.033
158,158-Beethoven-quatuor1op18,,-1,0,94,2,0.215
159,159-Dussek-rondo,,-2,-2,141,0,0.092
160,160-Beethoven-trio2op70,,0,0,49,0,0.019
161,161-Rimsky-Korsakov-Scheherazade,,1,1,117,0,0.155
162,162-Chopin-nocturne1op32,,5,-7,53,53,0.083
163,163-Beethoven-septuorop20,,-3,-3,61,0,0.072
164,164-Clementi-rondosonatine2op38,,-2,-2,53,0,0.028
165,165-Balbastre-pastorale,,0,0,57,0,0.051
168,168-Beethoven-quatuor1op18,,-1,-4,94,3,0.028
169,169-Wolf-chantsitaliens29,,0,0,93,7,0.076
171,171-Mozart-concertobasson,,-1,-1,79,1,0.319
172,172-Beethoven-trio2op70,,0,0,65,0,0.038
173,173-Kuhlau-sonative1op60,,-1,-1,132,1,0.141
174,174-negrospiritual,,0,0,69,0,0.050
177,177-Boulnois-berceuse,,0,1,84,2,0.065
178,178-Poulenc,,2,3,85,0,0.040
179,179-Clementi-canone33,,0,0,83,2,0.037
180,180-Haendel-concertogrosso9op6,,-1,-1,58,0,0.029
201,201-Beethoven-variation1,,1,1,97,0,0.065
202,202-Bach-sarabande,,-1,-1,86,1,0.038
203,203-Listz-preludes,,0,0,113,3,0.114
205,205-Bach-credo,,2,2,105,0,0.091
206,206-Beethoven-sonateop26,,-4,-4,67,0,0.034
207,207-Bach-aria,,1,1,134,3,0.166
209,209-Beethoven-rondoop13,,-3,-3,87,0,0.070
210,210-Schubert-benedictus,,1,1,78,2,0.076
211,211-Haydn,,0,0,132,0,0.219
213,213-Beethoven-sonate2op14,,1,1,85,3,0.044
214,214-Schumann-trio3,,-3,-3,128,5,1.623
215,215-Debussy-passepied,,3,5,51,0,0.022
216,216-Haendel,,2,2,147,0,0.077
217,217-Beethoven-octuorop103,,-2,-1,84,0,0.089
218,218-Beethoven-sonateop28,,-1,-1,85,1,0.045
219,219-Schubert-scherzo,,-2,-2,80,0,0.044
220,220-Mozart-sonateKV281,,-3,-2,136,0,0.114
221,221-Monteverdi-orfeo,,-1,-2,31,0,0.012
222,222-Bartok-burlesque,,0,-2,66,0,0.046
223,223-Monteverdi-Orfeo,,0,0,43,0,0.015
224,224-Schumann-trio3op110,,-2,-2,61,1,0.045
225,225-Beethoven-variationsop24,,-1,-1,97,2,0.058
226,226-Milhaud-Boeuf,,0,0,102,2,0.057
227,227-Mozart-quintetK407,,-2,-2,105,1,0.057
228,228-Schuman-myrthen7op25,,-5,7,62,45,0.034
229,229-Liszt-melodie,,1,-3,81,1,0.063
230,230-Schumann-trio2,,-1,0,74,2,0.032
231,231-Duparc-elegie,,-1,0,47,6,0.016
232,232-Beethoven-sonateop22,,-3,-3,70,1,0.159
233,233-Debussy-cloches,,4,4,64,0,0.032
234,234-Beethoven-symphonie2op36,,3,3,74,0,0.029
235,235-Schumann-quatuor1op41,,0,0,142,2,0.136
236,236-Schubert-scherzo,,1,1,82,0,0.080
237,237-Beethoven-symphonie6,,-2,-2,122,0,0.237
239,239-Beethoven-themavar,,1,1,71,0,0.039
240,240-Haydn-sonate5,,0,0,124,0,0.062
241,241-Haendel-sicilianaconcertogrosso8,,-3,-3,116,0,0.198
243,243-Strauss-melodie1op56,,-1,-3,87,3,0.070
244,244-Bach-concerto1violon,,0,1,129,1,1.054
245,245-Debussy-Arabesque2,,1,1,184,6,0.248
246,246-Mozart-marcheflute,,-1,-1,97,0,0.052
247,247-Schubert-Benedictus,,1,1,41,0,0.023
248,248-Mozart-sonateKV280,,-4,-4,97,1,0.060
249,249-Mozart-andateKV9b,,-2,-2,128,6,0.134
250,250-Cliquet-Pleyel,,0,0,99,0,0.049
251,251-Schumann-Myrthen10op25,,-3,-3,67,0,0.021
252,252-Kuhlau-sonatine2op60,,3,3,68,0,0.045
253,253-Schubert-gloria,,2,2,50,0,0.015
254,254-Haydn-quatuor5op76,,2,2,111,1,0.156
255,255-Mozart-sonateDomKV457,,-3,-3,174,6,6.393
256,256-Mozart-sonataKV309,,-1,-1,138,2,0.259
257,257-Mozart-quintetteDomKV309,,-3,-2,112,1,0.291
258,258-Schumann-quatuor2FaMop41,,-1,-1,105,3,0.052
260,260-Monteverdi-Orfeo,,0,2,84,6,0.029
262,262-Schumann-Myrthen23op25,,2,2,82,0,0.045
