 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, rowcost
C major (0), 0/0, 0/0, 1/0, 1/0, 0/0, 2/2, 0/0, 0/0, 0/0, 2/1, 0/0, 0/0, 1/0, 4/1, 1/0, 2/1, 0/0, 1/1, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 16/7
A minor (0), 0/0, 0/0, 1/0, 1/0, 0/0, 2/1, 0/0, 0/0, 0/0, 2/1, 0/0, 0/0, 1/0, 4/2, 1/1, 2/1, 0/0, 1/1, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 16/8
F major (1b), 0/0, 1/0, 0/0, 0/0, 0/0, 2/2, 0/0, 0/0, 0/0, 1/1, 0/0, 0/0, 0/0, 3/1, 0/0, 1/1, 0/0, 1/1, 0/0, 2/1, 0/0, 0/0, 0/0, 0/0, 11/7
G major (1#), 0/0, 0/0, 1/0, 1/0, 0/0, 3/1, 0/0, 0/0, 0/0, 3/1, 0/0, 0/0, 2/0, 4/2, 1/1, 2/1, 0/0, 2/1, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 20/8
D minor (1b), 0/0, 1/1, 0/0, 0/0, 0/0, 2/1, 0/0, 0/0, 0/0, 1/1, 0/0, 0/0, 0/0, 3/2, 0/0, 1/1, 0/0, 1/1, 0/0, 2/1, 0/0, 0/0, 0/0, 0/0, 11/8
E minor (1#), 0/0, 0/0, 1/0, 1/0, 0/0, 3/1, 0/0, 0/0, 0/0, 3/2, 0/0, 0/0, 2/1, 3/1, 1/0, 1/0, 0/0, 2/2, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 18/8
Bb major (2b), 0/0, 2/1, 0/0, 0/0, 0/0, 2/2, 0/0, 0/0, 1/0, 1/1, 0/0, 0/0, 0/0, 3/1, 0/0, 1/1, 1/0, 2/1, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 14/8
D major (2#), 1/0, 1/0, 1/0, 1/0, 0/0, 2/1, 0/0, 0/0, 0/0, 3/1, 0/0, 0/0, 2/0, 3/2, 1/1, 2/1, 0/0, 2/1, 1/0, 2/1, 0/0, 0/0, 0/0, 0/0, 22/8
G minor (2b), 0/0, 2/0, 0/0, 0/0, 0/0, 2/1, 0/0, 0/0, 1/0, 1/1, 0/0, 0/0, 0/0, 3/2, 0/0, 1/1, 1/0, 2/1, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 14/7
B minor (2#), 1/0, 1/0, 1/0, 1/0, 0/0, 2/0, 0/0, 0/0, 0/0, 3/2, 0/0, 0/0, 2/1, 2/0, 1/0, 1/0, 0/0, 3/2, 1/0, 2/1, 0/0, 0/0, 0/0, 0/0, 21/6
Eb major (3b), 0/0, 2/2, 0/0, 0/0, 1/0, 3/1, 0/0, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 2/1, 0/0, 1/0, 1/1, 1/1, 0/0, 1/1, 1/0, 0/0, 0/0, 0/0, 14/8
A major (3#), 1/0, 2/1, 1/0, 1/0, 0/0, 1/1, 1/0, 1/0, 1/0, 4/1, 1/0, 1/0, 3/0, 2/2, 1/1, 2/1, 1/0, 3/1, 1/0, 2/1, 1/0, 1/0, 1/0, 1/0, 34/9
C minor (3b), 0/0, 2/0, 0/0, 0/0, 1/0, 3/2, 0/0, 0/0, 1/0, 0/1, 0/0, 0/0, 0/0, 2/1, 0/0, 1/1, 1/1, 1/1, 0/0, 1/0, 1/0, 0/0, 0/0, 0/0, 14/7
F# minor (3#), 1/0, 3/1, 1/0, 1/0, 0/0, 1/0, 1/0, 1/0, 1/0, 4/2, 1/0, 1/0, 3/1, 1/0, 1/0, 1/0, 1/0, 4/2, 1/2, 3/2, 1/0, 1/0, 1/0, 1/0, 35/10
Ab major (4b), 0/0, 2/2, 0/0, 0/0, 2/4, 2/3, 0/0, 0/0, 2/1, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 1/0, 2/1, 1/1, 1/0, 2/1, 2/2, 0/0, 0/0, 0/0, 18/15
E major (4#), 1/0, 2/0, 1/0, 1/0, 0/0, 1/1, 1/0, 1/0, 2/0, 4/3, 1/0, 1/0, 3/1, 1/0, 1/0, 1/0, 2/0, 3/2, 2/0, 3/1, 1/0, 1/0, 1/0, 1/0, 36/8
F minor (4b), 0/0, 2/1, 0/0, 0/0, 1/0, 2/2, 0/0, 0/0, 2/0, 0/0, 0/0, 0/0, 0/0, 1/1, 0/0, 1/1, 2/0, 1/0, 1/0, 2/0, 1/0, 0/0, 0/0, 0/0, 16/5
C# minor (4#), 1/0, 4/3, 1/0, 1/0, 0/0, 1/0, 2/2, 2/2, 3/2, 4/1, 2/0, 2/0, 4/1, 1/0, 1/0, 1/0, 3/2, 4/4, 2/2, 4/2, 2/4, 2/6, 2/2, 2/2, 51/35
Db major (5b), 0/0, 3/2, 0/0, 0/0, 2/4, 2/3, 1/0, 1/0, 4/3, 1/0, 1/0, 1/0, 1/0, 1/0, 0/0, 1/0, 4/2, 2/1, 2/2, 4/3, 3/2, 1/0, 1/0, 1/0, 37/22
B major (5#), 1/0, 2/0, 0/0, 0/0, 1/0, 2/1, 1/0, 1/0, 2/0, 3/2, 1/2, 1/1, 2/2, 0/0, 0/0, 0/0, 2/0, 4/2, 2/2, 3/2, 2/0, 1/0, 1/0, 1/0, 33/14
Bb minor (5b), 0/0, 3/1, 0/0, 0/0, 1/0, 2/1, 1/0, 1/0, 3/0, 1/0, 1/0, 1/0, 1/0, 1/1, 0/0, 1/0, 3/1, 2/0, 1/0, 2/1, 2/0, 1/0, 1/0, 1/0, 30/5
G# minor (5#), 1/0, 4/1, 0/0, 0/0, 1/0, 2/1, 2/0, 2/0, 4/4, 3/1, 2/0, 2/0, 3/1, 0/0, 0/0, 0/0, 4/4, 4/1, 3/2, 4/1, 3/1, 2/0, 2/0, 2/0, 50/17
Gb major (6b), 1/0, 5/4, 0/0, 0/0, 2/4, 2/3, 2/2, 2/2, 5/5, 3/2, 2/4, 2/2, 2/2, 0/0, 0/0, 0/0, 5/5, 4/3, 3/2, 5/3, 4/6, 2/6, 2/2, 2/2, 55/59
F# major (6#), 1/0, 4/2, 0/0, 0/0, 1/0, 1/0, 1/0, 1/0, 3/0, 2/2, 1/2, 1/1, 1/1, 0/0, 0/0, 0/0, 3/0, 3/2, 2/3, 4/2, 2/2, 1/0, 1/0, 1/0, 34/17
Eb minor (6b), 1/0, 4/2, 0/0, 0/0, 1/0, 2/1, 1/0, 1/0, 3/1, 1/0, 1/0, 1/0, 1/0, 0/0, 0/0, 0/0, 3/1, 2/1, 2/0, 3/1, 2/0, 1/0, 1/0, 1/0, 32/7
D# minor (6#), 1/0, 5/1, 0/0, 0/0, 2/4, 3/2, 2/0, 2/0, 5/4, 2/1, 2/0, 2/0, 2/1, 0/0, 0/0, 0/0, 5/4, 3/1, 3/2, 4/1, 4/2, 2/0, 2/0, 2/0, 53/23
Cb major (7b), 2/4, 4/6, 0/0, 0/0, 2/4, 3/3, 2/2, 2/2, 4/4, 4/2, 2/4, 2/2, 3/2, 0/0, 0/0, 0/0, 4/4, 5/3, 4/6, 5/5, 4/6, 2/6, 2/2, 2/2, 58/69
C# major (7#), 0/0, 4/3, 0/0, 0/0, 1/0, 1/1, 2/0, 2/0, 4/2, 2/1, 2/0, 2/0, 2/1, 1/0, 0/0, 1/0, 4/2, 3/1, 1/1, 3/2, 3/1, 2/0, 2/0, 2/0, 44/15
Ab minor (7b), 1/0, 3/2, 0/0, 0/0, 2/4, 3/3, 1/0, 1/0, 2/1, 2/0, 1/0, 1/0, 2/0, 0/0, 0/0, 0/0, 2/1, 3/1, 2/0, 3/1, 3/2, 1/0, 1/0, 1/0, 35/15
A# minor (7#), 0/0, 5/3, 0/0, 0/0, 2/0, 3/1, 2/0, 2/0, 6/6, 2/1, 2/0, 2/0, 2/1, 1/0, 0/0, 1/0, 6/6, 4/3, 2/2, 3/1, 4/2, 2/0, 2/0, 2/0, 55/26
