 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, rowcost
C major (0), 0/0, 1/0, 0/0, 2/0, 1/0, 3/3, 0/0, 2/2, 1/0, 3/1, 1/0, 1/0, 1/0, 1/0, 1/0, 18/6
A minor (0), 0/0, 1/2, 0/0, 3/4, 1/0, 3/1, 0/0, 3/4, 1/0, 3/1, 1/1, 1/0, 1/1, 1/0, 1/0, 20/14
F major (1b), 0/0, 1/0, 0/0, 2/2, 1/7, 3/2, 0/0, 1/2, 1/0, 2/1, 0/0, 1/0, 1/0, 1/0, 1/0, 15/14
G major (1#), 0/0, 2/2, 0/0, 2/0, 0/0, 2/3, 0/0, 2/2, 1/0, 2/1, 1/0, 1/0, 2/0, 1/0, 1/0, 17/8
D minor (1b), 0/0, 1/2, 0/0, 3/2, 1/0, 4/3, 0/0, 2/2, 1/0, 3/1, 0/0, 1/0, 1/0, 1/0, 1/0, 19/10
E minor (1#), 0/0, 2/1, 0/0, 3/2, 0/0, 2/1, 0/0, 3/4, 1/0, 2/1, 1/0, 1/0, 2/1, 1/0, 1/0, 19/10
Bb major (2b), 0/0, 0/0, 0/0, 1/0, 1/0, 2/0, 0/0, 1/0, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 0/0, 6/1
D major (2#), 0/0, 3/3, 0/0, 4/2, 0/0, 2/3, 0/0, 4/2, 2/0, 3/1, 1/0, 2/0, 2/0, 1/0, 1/0, 25/11
G minor (2b), 0/0, 0/0, 0/0, 1/2, 1/0, 3/3, 0/0, 1/2, 0/0, 2/1, 0/0, 0/0, 0/0, 0/0, 0/0, 8/8
B minor (2#), 0/0, 3/1, 0/0, 4/2, 0/0, 2/1, 0/0, 4/4, 2/0, 3/1, 1/0, 2/0, 2/1, 1/0, 1/0, 25/10
Eb major (3b), 0/0, 0/0, 0/0, 0/0, 1/0, 2/0, 0/0, 0/0, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 0/0, 4/1
A major (3#), 1/0, 4/2, 1/0, 3/4, 0/0, 2/3, 1/0, 3/5, 3/0, 4/1, 2/1, 2/0, 2/1, 1/0, 1/0, 30/17
C minor (3b), 0/0, 0/0, 0/0, 0/0, 1/0, 3/4, 0/0, 0/0, 0/0, 2/1, 0/0, 0/0, 0/0, 0/0, 0/0, 6/5
F# minor (3#), 1/0, 4/3, 1/0, 3/3, 0/0, 2/2, 1/0, 3/3, 3/6, 4/3, 2/0, 2/1, 2/0, 1/0, 1/0, 30/21
Ab major (4b), 0/0, 0/0, 0/0, 0/0, 1/0, 2/2, 0/0, 0/0, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 0/0, 4/3
E major (4#), 1/0, 3/1, 1/0, 2/2, 0/0, 1/1, 1/0, 3/4, 2/0, 3/1, 2/0, 1/0, 1/1, 0/0, 0/0, 21/10
F minor (4b), 0/0, 0/0, 0/0, 0/0, 1/7, 2/2, 0/0, 0/0, 0/0, 1/2, 0/0, 0/0, 0/0, 0/0, 0/0, 4/11
C# minor (4#), 2/0, 4/3, 2/0, 3/1, 0/0, 1/2, 2/14, 4/1, 3/2, 5/3, 3/0, 1/0, 1/0, 0/0, 0/0, 31/26
Db major (5b), 1/0, 1/0, 1/0, 1/0, 0/0, 1/0, 1/0, 1/0, 1/0, 2/1, 1/0, 0/0, 0/0, 0/0, 0/0, 11/1
B major (5#), 1/0, 3/1, 1/0, 2/3, 0/0, 1/0, 1/0, 2/3, 2/6, 3/3, 1/0, 1/0, 1/0, 0/0, 0/0, 19/16
Bb minor (5b), 1/0, 1/0, 1/0, 1/2, 0/0, 1/0, 1/0, 1/0, 1/0, 2/1, 1/0, 0/0, 0/0, 0/0, 0/0, 11/3
G# minor (5#), 2/0, 4/3, 2/0, 3/1, 0/0, 1/0, 2/0, 3/1, 3/2, 5/3, 2/0, 1/0, 1/0, 0/0, 0/0, 29/10
Gb major (6b), 2/14, 3/4, 2/14, 3/4, 0/0, 0/0, 2/14, 3/4, 3/8, 3/5, 2/2, 1/0, 0/0, 0/0, 0/0, 24/69
F# major (6#), 1/0, 2/3, 1/0, 2/3, 0/0, 0/0, 1/0, 2/3, 2/6, 2/3, 1/0, 1/0, 0/0, 0/0, 0/0, 15/18
Eb minor (6b), 1/0, 2/0, 1/0, 2/0, 0/0, 0/0, 1/0, 2/0, 2/0, 3/1, 1/0, 1/0, 0/0, 0/0, 0/0, 16/1
D# minor (6#), 2/0, 3/3, 2/0, 3/1, 0/0, 0/0, 2/0, 3/1, 3/2, 4/5, 2/0, 1/0, 0/0, 0/0, 0/0, 25/12
Cb major (7b), 2/14, 5/8, 2/14, 4/6, 0/0, 1/0, 2/14, 4/6, 4/12, 5/7, 2/2, 2/2, 1/0, 0/0, 0/0, 34/85
C# major (7#), 2/0, 2/3, 2/0, 2/1, 0/0, 1/2, 2/0, 2/1, 2/2, 3/5, 2/0, 0/0, 0/0, 0/0, 0/0, 20/14
Ab minor (7b), 1/0, 3/0, 1/0, 2/0, 0/0, 1/0, 1/0, 2/0, 2/0, 4/1, 1/0, 1/0, 1/0, 0/0, 0/0, 20/1
A# minor (7#), 2/0, 2/3, 2/0, 2/1, 0/0, 1/0, 2/0, 2/1, 2/2, 3/5, 2/0, 0/0, 0/0, 0/0, 0/0, 20/12
