 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, rowcost
C major (0), 0, 1, 0, 2, 1, 3, 0, 2, 1, 3, 1, 1, 1, 1, 1, 18
A minor (0), 1, 2, 1, 2, 1, 3, 1, 2, 2, 4, 2, 1, 1, 1, 1, 25
F major (1b), 0, 1, 0, 2, 1, 3, 0, 1, 1, 2, 0, 1, 1, 1, 1, 15
G major (1#), 0, 2, 0, 2, 0, 2, 0, 2, 1, 2, 1, 1, 2, 1, 1, 17
D minor (1b), 0, 2, 0, 4, 1, 4, 0, 3, 2, 4, 0, 2, 1, 1, 1, 25
E minor (1#), 0, 1, 0, 2, 0, 1, 0, 3, 0, 1, 1, 0, 1, 0, 0, 10
Bb major (2b), 0, 0, 0, 1, 1, 2, 0, 1, 0, 1, 0, 0, 0, 0, 0, 6
D major (2#), 0, 3, 0, 4, 0, 2, 0, 4, 2, 3, 1, 2, 2, 1, 1, 25
G minor (2b), 0, 1, 0, 1, 0, 2, 0, 1, 0, 1, 0, 0, 1, 0, 0, 7
B minor (2#), 0, 3, 0, 4, 0, 2, 0, 3, 2, 3, 0, 2, 2, 1, 1, 23
Eb major (3b), 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 4
A major (3#), 1, 4, 1, 3, 0, 2, 1, 3, 3, 4, 2, 2, 2, 1, 1, 30
C minor (3b), 0, 0, 0, 0, 1, 2, 0, 1, 0, 2, 1, 0, 0, 0, 0, 7
F# minor (3#), 1, 3, 1, 3, 0, 1, 1, 3, 3, 3, 2, 2, 1, 1, 1, 26
Ab major (4b), 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 4
E major (4#), 1, 3, 1, 2, 0, 1, 1, 3, 2, 3, 2, 1, 1, 0, 0, 21
F minor (4b), 0, 1, 0, 1, 1, 3, 0, 0, 1, 2, 0, 1, 1, 1, 1, 13
C# minor (4#), 2, 3, 2, 2, 0, 2, 2, 3, 2, 4, 3, 0, 1, 0, 0, 26
Db major (5b), 1, 1, 1, 1, 0, 1, 1, 1, 1, 2, 1, 0, 0, 0, 0, 11
B major (5#), 1, 3, 1, 2, 0, 1, 1, 2, 2, 3, 1, 1, 1, 0, 0, 19
Bb minor (5b), 1, 1, 1, 2, 0, 1, 1, 2, 1, 2, 1, 0, 0, 0, 0, 13
G# minor (5#), 0, 2, 0, 1, 1, 2, 0, 1, 1, 3, 0, 1, 1, 0, 0, 13
Gb major (6b), 2, 3, 2, 3, 0, 0, 2, 3, 3, 3, 2, 1, 0, 0, 0, 24
F# major (6#), 1, 2, 1, 2, 0, 0, 1, 2, 2, 2, 1, 1, 0, 0, 0, 15
Eb minor (6b), 1, 2, 1, 2, 0, 0, 1, 2, 2, 3, 1, 1, 0, 0, 0, 16
D# minor (6#), 2, 3, 2, 3, 0, 0, 2, 3, 3, 4, 2, 1, 0, 0, 0, 25
Cb major (7b), 2, 5, 2, 4, 0, 1, 2, 4, 4, 5, 2, 2, 1, 0, 0, 34
C# major (7#), 2, 2, 2, 2, 0, 1, 2, 2, 2, 3, 2, 0, 0, 0, 0, 20
Ab minor (7b), 0, 2, 0, 1, 1, 2, 0, 1, 1, 3, 0, 1, 1, 0, 0, 13
A# minor (7#), 2, 2, 2, 3, 0, 1, 2, 3, 2, 3, 2, 0, 0, 0, 0, 22
