 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, rowcost
C major (0), 2, 1, 1,  , 1, 1, 0, 0, 0, 1, 0,  , 4, 1, 4, 7, 2,  , 0, 1, 3, 1, 2,  , 2, 2, 3, 0, 1, 4, 2, 4, 2, 6, 4, 1, 0, 63
A minor (0), 3, 1, 1,  , 1, 1, 0, 0, 1, 1, 1,  , 6, 2, 4, 8, 4,  , 1, 1, 2, 0, 2,  , 2, 2, 3, 0, 1, 5, 3, 3, 3, 8, 4, 2, 1, 77
A minor mel (0), 4, 2, 2,  , 2, 2, 0, 0, 2, 2, 1,  , 5, 3, 5, 9, 5,  , 1, 1, 3, 1, 3,  , 3, 3, 3, 0, 2, 6, 4, 2, 4, 9, 4, 3, 1, 97
C major blues (0), 5, 2, 3,  , 3, 2, 1, 0, 2, 3, 1,  , 5, 2, 6, 9, 3,  , 2, 1, 5, 4, 4,  , 3, 4, 3, 0, 2, 5, 4, 5, 4, 7, 5, 4, 1, 110
A minor blues (0), 5, 2, 3,  , 3, 3, 1, 0, 2, 4, 1,  , 6, 2, 6, 9, 4,  , 2, 1, 5, 4, 5,  , 3, 4, 4, 0, 2, 7, 5, 4, 4, 10, 5, 4, 1, 121
C dorian (0), 3, 2, 2,  , 2, 2, 0, 0, 1, 2, 0,  , 3, 2, 5, 8, 3,  , 0, 1, 4, 2, 3,  , 3, 3, 3, 0, 2, 5, 3, 3, 3, 7, 4, 2, 0, 83
C phrygian (0), 3, 1, 0,  , 0, 1, 0, 0, 0, 2, 0,  , 3, 1, 5, 6, 1,  , 1, 0, 2, 2, 2,  , 2, 2, 2, 0, 1, 3, 3, 5, 3, 5, 5, 2, 0, 63
C lydian (0), 3, 2, 2,  , 2, 2, 0, 0, 1, 2, 0,  , 3, 2, 5, 8, 3,  , 0, 1, 4, 2, 3,  , 3, 3, 3, 0, 2, 5, 3, 3, 3, 7, 4, 2, 0, 83
C mixolydian (0), 3, 1, 0,  , 0, 1, 0, 0, 0, 2, 0,  , 3, 1, 5, 6, 1,  , 1, 0, 2, 2, 2,  , 2, 2, 2, 0, 1, 3, 3, 5, 3, 5, 5, 2, 0, 63
C aeolian (0), 2, 1, 1,  , 1, 1, 0, 0, 0, 1, 0,  , 4, 1, 4, 7, 2,  , 0, 1, 3, 1, 2,  , 2, 2, 3, 0, 1, 4, 2, 4, 2, 6, 4, 1, 0, 63
