 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, rowcost
C major (0), 2, 3, 2, 2, 5, 0, 1, 3, 2, 2, 1, 3, 2, 2, 2, 2, 3, 2, 2, 2, 3, 2, 1, 49
A minor (0), 2, 3, 1, 2, 4, 0, 1, 3, 1, 2, 1, 3, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 43
F major (1b), 1, 4, 3, 2, 4, 0, 1, 2, 1, 2, 1, 2, 1, 2, 2, 2, 3, 2, 2, 2, 3, 2, 1, 45
G major (1#), 3, 3, 2, 1, 4, 1, 1, 3, 2, 1, 1, 3, 2, 1, 3, 1, 2, 2, 3, 1, 2, 2, 1, 45
D minor (1b), 1, 3, 3, 2, 4, 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 2, 3, 1, 2, 2, 3, 1, 1, 41
E minor (1#), 2, 2, 2, 0, 2, 1, 0, 2, 2, 0, 0, 2, 2, 0, 2, 2, 1, 1, 2, 2, 1, 1, 0, 29
Bb major (2b), 0, 2, 2, 1, 3, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 0, 24
D major (2#), 3, 2, 2, 1, 4, 2, 1, 2, 2, 1, 1, 2, 2, 1, 3, 1, 2, 1, 3, 1, 2, 1, 1, 41
G minor (2b), 1, 3, 3, 0, 2, 1, 0, 1, 1, 0, 0, 1, 1, 0, 2, 0, 1, 1, 2, 0, 1, 1, 0, 22
B minor (2#), 2, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 2, 1, 2, 1, 1, 30
Eb major (3b), 0, 2, 1, 1, 2, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 18
A major (3#), 3, 2, 1, 1, 3, 2, 1, 2, 1, 1, 1, 2, 1, 1, 3, 1, 1, 1, 3, 1, 1, 1, 1, 35
C minor (3b), 1, 2, 1, 1, 3, 0, 0, 2, 1, 1, 0, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 24
F# minor (3#), 2, 2, 1, 1, 2, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 28
Ab major (4b), 0, 1, 1, 1, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 2, 1, 0, 1, 2, 1, 0, 0, 15
E major (4#), 2, 1, 1, 0, 1, 2, 0, 1, 1, 0, 0, 1, 1, 0, 2, 2, 0, 0, 2, 2, 0, 0, 0, 19
F minor (4b), 1, 3, 2, 2, 3, 0, 1, 1, 0, 2, 1, 1, 0, 2, 2, 3, 2, 1, 2, 3, 2, 1, 1, 36
C# minor (4#), 2, 2, 2, 0, 2, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 2, 0, 0, 1, 2, 0, 0, 0, 19
Db major (5b), 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 9
B major (5#), 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 1, 2, 0, 0, 0, 9
Bb minor (5b), 0, 1, 2, 0, 2, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 11
G# minor (5#), 1, 0, 0, 1, 1, 2, 0, 0, 0, 1, 0, 0, 0, 1, 2, 3, 1, 0, 2, 3, 1, 0, 0, 19
Gb major (6b), 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 7
F# major (6#), 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 5
Eb minor (6b), 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 6
D# minor (6#), 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 6
Cb major (7b), 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 1, 3, 0, 0, 0, 12
C# major (7#), 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 7
Ab minor (7b), 1, 0, 0, 1, 1, 2, 0, 0, 0, 1, 0, 0, 0, 1, 2, 2, 1, 0, 2, 2, 1, 0, 0, 17
A# minor (7#), 0, 1, 2, 0, 2, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 2, 1, 0, 0, 2, 1, 0, 0, 13
