 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, rowcost
C major (0), 2/0, 3/1, 2/2, 2/1, 5/2, 0/0, 1/0, 3/2, 2/0, 2/0, 1/0, 3/2, 2/0, 2/0, 2/1, 2/1, 3/2, 2/1, 2/1, 2/1, 3/2, 2/1, 1/0, 49/20
A minor (0), 2/1, 3/2, 2/3, 2/0, 5/1, 0/0, 1/0, 3/2, 2/1, 2/0, 1/0, 3/2, 2/1, 2/0, 2/1, 2/1, 3/0, 2/0, 2/1, 2/1, 3/0, 2/0, 1/0, 49/17
F major (1b), 1/0, 4/1, 3/2, 2/0, 4/1, 0/0, 1/0, 2/0, 1/0, 2/0, 1/0, 2/0, 1/0, 2/0, 2/0, 2/1, 3/4, 2/0, 2/0, 2/1, 3/4, 2/0, 1/0, 45/14
G major (1#), 3/0, 3/2, 2/2, 1/0, 4/2, 1/0, 1/0, 3/2, 2/2, 1/0, 1/0, 3/2, 2/2, 1/0, 3/1, 1/0, 2/2, 2/1, 3/1, 1/0, 2/2, 2/1, 1/0, 45/22
D minor (1b), 1/0, 4/2, 3/3, 2/0, 4/2, 0/0, 1/0, 2/2, 1/2, 2/0, 1/0, 2/2, 1/2, 2/0, 2/1, 2/0, 3/2, 2/1, 2/1, 2/0, 3/2, 2/1, 1/0, 45/23
E minor (1#), 3/2, 3/1, 2/0, 1/0, 3/0, 1/0, 1/0, 3/0, 2/0, 1/0, 1/0, 3/0, 2/0, 1/0, 3/1, 1/1, 2/0, 2/0, 3/1, 1/1, 2/0, 2/0, 1/0, 44/7
Bb major (2b), 0/0, 2/1, 2/0, 1/0, 3/0, 0/0, 0/0, 1/0, 1/0, 1/0, 0/0, 1/0, 1/0, 1/0, 1/0, 1/1, 2/0, 1/0, 1/0, 1/1, 2/0, 1/0, 0/0, 24/3
D major (2#), 3/1, 2/2, 2/2, 1/2, 4/2, 2/0, 1/1, 2/2, 2/1, 1/2, 1/2, 2/2, 2/1, 1/2, 3/2, 1/1, 2/1, 1/2, 3/2, 1/1, 2/1, 1/2, 1/1, 41/35
G minor (2b), 0/0, 3/2, 3/2, 1/1, 3/2, 0/0, 0/0, 1/2, 1/0, 1/0, 0/0, 1/2, 1/0, 1/0, 1/1, 1/0, 2/2, 1/1, 1/1, 1/0, 2/2, 1/1, 0/0, 26/19
B minor (2#), 3/0, 2/0, 2/0, 1/0, 3/0, 2/3, 1/0, 2/0, 2/0, 1/0, 1/0, 2/0, 2/0, 1/0, 2/0, 1/1, 2/0, 1/0, 2/0, 1/1, 2/0, 1/0, 1/0, 38/5
Eb major (3b), 0/0, 2/1, 1/0, 1/0, 2/0, 0/0, 0/0, 1/0, 0/0, 1/0, 0/0, 1/0, 0/0, 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 0/0, 18/1
A major (3#), 3/2, 2/1, 1/2, 1/0, 3/1, 2/0, 1/0, 2/1, 1/1, 1/0, 1/0, 2/1, 1/1, 1/0, 3/1, 1/1, 1/0, 1/0, 3/1, 1/1, 1/0, 1/0, 1/0, 35/14
C minor (3b), 0/0, 3/1, 2/2, 1/1, 2/2, 0/0, 0/0, 1/0, 0/0, 1/1, 0/0, 1/0, 0/0, 1/1, 1/1, 1/1, 1/2, 1/0, 1/1, 1/1, 1/2, 1/0, 0/0, 20/16
F# minor (3#), 3/0, 2/0, 1/0, 1/0, 2/0, 2/0, 1/0, 2/0, 1/0, 1/0, 1/0, 2/0, 1/0, 1/0, 2/0, 1/1, 1/0, 1/0, 2/0, 1/1, 1/0, 1/0, 1/0, 32/2
Ab major (4b), 0/0, 1/0, 1/0, 1/0, 2/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/0, 1/0, 2/1, 1/0, 0/0, 1/0, 2/1, 1/0, 0/0, 0/0, 15/2
E major (4#), 2/1, 1/0, 1/0, 0/0, 1/0, 2/4, 0/0, 1/0, 1/0, 0/0, 0/0, 1/0, 1/0, 0/0, 2/1, 2/1, 0/0, 0/0, 2/1, 2/1, 0/0, 0/0, 0/0, 19/9
F minor (4b), 0/0, 2/1, 2/2, 1/0, 2/1, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/0, 1/0, 2/1, 1/0, 0/0, 1/0, 2/1, 1/0, 0/0, 0/0, 17/6
C# minor (4#), 2/0, 1/0, 1/0, 0/0, 1/1, 2/0, 0/0, 1/0, 1/0, 0/0, 0/0, 1/0, 1/0, 0/0, 1/0, 2/1, 0/0, 0/0, 1/0, 2/1, 0/0, 0/0, 0/0, 17/3
Db major (5b), 0/0, 1/0, 1/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 3/2, 0/0, 0/0, 0/0, 3/2, 0/0, 0/0, 0/0, 9/4
B major (5#), 1/0, 0/0, 0/0, 0/0, 0/0, 2/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 2/1, 0/0, 0/0, 1/0, 2/1, 0/0, 0/0, 0/0, 9/3
Bb minor (5b), 0/0, 1/1, 1/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 5/1
G# minor (5#), 1/0, 0/0, 0/0, 0/0, 0/0, 2/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 2/0, 0/0, 0/0, 1/0, 2/0, 0/0, 0/0, 0/0, 9/0
Gb major (6b), 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 3/2, 0/0, 0/0, 0/0, 3/2, 0/0, 0/0, 0/0, 7/4
F# major (6#), 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 2/1, 0/0, 0/0, 0/0, 2/1, 0/0, 0/0, 0/0, 5/2
Eb minor (6b), 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 3/0
D# minor (6#), 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 2/0, 0/0, 0/0, 0/0, 2/0, 0/0, 0/0, 0/0, 5/0
Cb major (7b), 1/0, 0/0, 0/0, 0/0, 0/0, 3/2, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 3/2, 0/0, 0/0, 1/0, 3/2, 0/0, 0/0, 0/0, 12/6
C# major (7#), 0/0, 1/0, 1/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 2/1, 0/0, 0/0, 0/0, 2/1, 0/0, 0/0, 0/0, 7/2
Ab minor (7b), 1/0, 0/0, 0/0, 0/0, 0/0, 2/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 0/0, 7/0
