 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, rowcost
C major (0), 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 1, 2, 1, 2, 1, 2, 1, 2, 2, 1, 2, 1, 2, 1, 2, 1, 1, 3, 1, 6, 1, 2, 5, 3, 1, 2, 9, 9, 5, 2, 5, 6, 5, 3, 3, 2, 4, 2, 2, 1, 4, 1, 0, 3, 2, 3, 1, 3, 3, 0, 151
A minor (0), 3, 2, 3, 1, 3, 2, 1, 2, 3, 2, 3, 1, 3, 2, 1, 2, 1, 2, 2, 1, 1, 2, 2, 2, 3, 2, 3, 1, 3, 2, 1, 2, 2, 5, 1, 6, 2, 2, 5, 6, 1, 1, 8, 9, 7, 3, 9, 8, 6, 5, 3, 3, 6, 1, 2, 2, 6, 1, 0, 5, 6, 5, 2, 3, 3, 0, 198
A minor mel (0), 3, 3, 3, 2, 3, 3, 1, 3, 3, 3, 3, 2, 3, 3, 1, 3, 1, 2, 2, 2, 1, 2, 2, 3, 3, 3, 3, 2, 3, 3, 1, 3, 2, 6, 2, 6, 2, 3, 6, 7, 1, 1, 7, 8, 8, 4, 10, 9, 7, 6, 3, 4, 7, 1, 2, 3, 7, 2, 0, 6, 7, 6, 2, 3, 3, 1, 230
C major blues (0), 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 1, 3, 1, 2, 1, 3, 2, 2, 2, 2, 2, 2, 2, 2, 1, 4, 2, 6, 1, 5, 7, 4, 1, 2, 9, 10, 7, 3, 7, 7, 6, 4, 3, 4, 5, 2, 2, 2, 5, 3, 0, 4, 4, 4, 1, 3, 3, 1, 194
A minor blues (0), 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 3, 1, 3, 1, 3, 1, 4, 2, 2, 2, 2, 2, 2, 2, 2, 1, 5, 2, 5, 1, 6, 8, 6, 1, 2, 8, 11, 10, 3, 12, 8, 8, 5, 3, 6, 6, 2, 3, 2, 6, 4, 0, 7, 7, 5, 1, 4, 4, 1, 228
C dorian (0), 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 1, 3, 1, 2, 1, 3, 2, 2, 2, 2, 2, 2, 2, 2, 1, 4, 2, 6, 1, 3, 6, 4, 1, 2, 8, 8, 6, 3, 6, 7, 6, 4, 3, 3, 5, 2, 2, 2, 5, 2, 0, 4, 3, 4, 1, 3, 3, 1, 183
C phrygian (0), 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 2, 0, 1, 0, 2, 0, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 5, 0, 3, 4, 2, 1, 1, 8, 10, 4, 1, 4, 5, 4, 2, 2, 3, 3, 1, 1, 1, 3, 2, 0, 2, 1, 2, 0, 2, 2, 0, 114
C lydian (0), 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 1, 3, 1, 2, 1, 3, 2, 2, 2, 2, 2, 2, 2, 2, 1, 4, 2, 6, 1, 3, 6, 4, 1, 2, 8, 8, 6, 3, 6, 7, 6, 4, 3, 3, 5, 2, 2, 2, 5, 2, 0, 4, 3, 4, 1, 3, 3, 1, 183
C mixolydian (0), 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 2, 0, 1, 0, 2, 0, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 5, 0, 3, 4, 2, 1, 1, 8, 10, 4, 1, 4, 5, 4, 2, 2, 3, 3, 1, 1, 1, 3, 2, 0, 2, 1, 2, 0, 2, 2, 0, 114
C aeolian (0), 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 1, 2, 1, 2, 1, 2, 1, 2, 2, 1, 2, 1, 2, 1, 2, 1, 1, 3, 1, 6, 1, 2, 5, 3, 1, 2, 9, 9, 5, 2, 5, 6, 5, 3, 3, 2, 4, 2, 2, 1, 4, 1, 0, 3, 2, 3, 1, 3, 3, 0, 151
