 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, rowcost
C major (0), 1, 2, 0, 3, 1, 2, 0, 1, 0, 1, 0, 1, 1, 1,  ,  ,  , 1,  ,  , 0, 0, 1, 1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0, 0, 17
A minor (0), 1, 3, 0, 5, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0,  ,  ,  , 1,  ,  , 0, 0, 1, 1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0, 0, 18
F major (1b), 0, 1, 0, 2, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1,  ,  ,  , 0,  ,  , 0, 0, 1, 1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0, 0, 9
G major (1#), 2, 3, 1, 2, 2, 3, 1, 2, 1, 2, 1, 2, 2, 2,  ,  ,  , 1,  ,  , 1, 1, 2, 2,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1, 1, 35
D minor (1b), 1, 3, 1, 4, 0, 1, 1, 2, 1, 1, 1, 2, 0, 1,  ,  ,  , 0,  ,  , 0, 0, 1, 1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0, 0, 21
E minor (1#), 4, 3, 1, 3, 2, 3, 1, 1, 2, 2, 1, 1, 3, 3,  ,  ,  , 1,  ,  , 2, 2, 1, 1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1, 1, 39
Bb major (2b), 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1,  ,  ,  , 0,  ,  , 0, 0, 0, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0, 0, 4
D major (2#), 3, 4, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 2,  ,  ,  , 1,  ,  , 1, 1, 2, 2,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1, 1, 45
G minor (2b), 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2,  ,  ,  , 0,  ,  , 1, 1, 1, 1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1, 1, 23
B minor (2#), 5, 3, 2, 5, 1, 2, 2, 3, 2, 2, 2, 3, 1, 2,  ,  ,  , 0,  ,  , 1, 1, 2, 2,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1, 1, 43
Eb major (3b), 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  ,  ,  , 0,  ,  , 0, 0, 0, 0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0, 0, 3
A major (3#), 3, 4, 2, 5, 2, 2, 2, 3, 2, 3, 2, 3, 2, 1,  ,  ,  , 1,  ,  , 1, 1, 2, 2,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1, 1, 45
