 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, rowcost
C major (0), 1/0, 2/0, 0/0, 3/1, 1/0, 2/0, 0/0, 1/0, 0/0, 1/0, 0/0, 1/0, 1/0, 1/2,  ,  ,  , 1/0,  ,  , 0/0, 0/0, 1/0, 1/0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0/0, 0/0, 17/3
A minor (0), 1/1, 3/1, 0/0, 5/7, 1/0, 2/2, 0/0, 1/1, 0/0, 1/4, 0/0, 1/1, 1/0, 1/0,  ,  ,  , 1/0,  ,  , 0/0, 0/0, 1/1, 1/1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0/0, 0/0, 20/19
F major (1b), 0/0, 1/0, 0/0, 2/1, 0/0, 1/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/0, 0/0, 1/0,  ,  ,  , 0/0,  ,  , 0/0, 0/0, 1/0, 1/0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0/0, 0/0, 9/1
G major (1#), 2/1, 3/1, 1/0, 2/4, 2/0, 3/2, 1/0, 2/0, 1/0, 2/0, 1/0, 2/0, 2/1, 2/2,  ,  ,  , 1/0,  ,  , 1/0, 1/0, 2/0, 2/0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1/0, 1/0, 35/11
D minor (1b), 0/0, 2/1, 0/0, 3/1, 0/0, 1/2, 0/0, 1/0, 0/0, 0/0, 0/0, 1/0, 0/0, 1/0,  ,  ,  , 0/0,  ,  , 0/0, 0/0, 1/0, 1/0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0/0, 0/0, 11/4
E minor (1#), 3/1, 3/6, 1/0, 4/7, 2/4, 3/3, 1/0, 2/1, 1/0, 2/4, 1/0, 2/1, 2/1, 2/0,  ,  ,  , 1/1,  ,  , 1/0, 1/0, 2/1, 2/1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1/0, 1/0, 38/31
Bb major (2b), 0/0, 1/0, 0/0, 1/1, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0,  ,  ,  , 0/0,  ,  , 0/0, 0/0, 0/0, 0/0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0/0, 0/0, 4/1
D major (2#), 3/1, 4/1, 2/0, 3/4, 2/0, 3/2, 2/0, 3/1, 2/0, 3/0, 2/0, 3/1, 2/0, 2/0,  ,  ,  , 1/0,  ,  , 1/0, 1/0, 2/1, 2/1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1/0, 1/0, 45/12
G minor (2b), 0/0, 2/1, 0/0, 2/1, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0,  ,  ,  , 0/0,  ,  , 0/0, 0/0, 0/0, 0/0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0/0, 0/0, 6/2
B minor (2#), 4/4, 4/7, 2/4, 5/5, 2/6, 3/9, 2/3, 3/3, 2/1, 3/5, 2/4, 3/4, 2/2, 2/0,  ,  ,  , 1/0,  ,  , 1/0, 1/0, 2/0, 2/0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1/0, 1/0, 48/57
Eb major (3b), 1/0, 1/0, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0,  ,  ,  , 0/0,  ,  , 0/0, 0/0, 0/0, 0/0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0/0, 0/0, 3/1
