 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, rowcost
C major (0), 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 3, 2, 3, 0, 2, 0, 0, 17
A minor (0), 0, 0, 1, 1, 3, 2, 1, 2, 2, 2, 4, 3, 4, 1, 3, 1, 0, 30
A minor mel (0), 0, 1, 1, 2, 4, 2, 0, 2, 2, 2, 5, 4, 4, 2, 4, 1, 0, 36
C major blues (0), 0, 1, 2, 1, 3, 1, 1, 1, 1, 3, 4, 3, 4, 1, 3, 0, 0, 29
A minor blues (0), 0, 1, 2, 1, 4, 1, 1, 1, 1, 4, 6, 3, 4, 1, 3, 0, 0, 33
C dorian (0), 0, 1, 1, 1, 2, 1, 0, 1, 1, 1, 4, 3, 3, 1, 3, 0, 0, 23
C phrygian (0), 0, 0, 1, 0, 1, 0, 1, 0, 0, 2, 2, 1, 3, 0, 2, 0, 0, 13
C lydian (0), 0, 1, 1, 1, 2, 1, 0, 1, 1, 1, 4, 3, 3, 1, 3, 0, 0, 23
C mixolydian (0), 0, 0, 1, 0, 1, 0, 1, 0, 0, 2, 2, 1, 3, 0, 2, 0, 0, 13
C aeolian (0), 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 3, 2, 3, 0, 2, 0, 0, 17
C locrian (0), 0, 0, 2, 0, 2, 0, 1, 0, 0, 3, 1, 1, 4, 0, 2, 0, 0, 16
F major (1b), 0, 0, 1, 0, 1, 0, 1, 0, 0, 2, 2, 1, 3, 0, 2, 0, 0, 13
G major (1#), 0, 1, 1, 1, 2, 1, 0, 1, 1, 2, 4, 3, 3, 1, 3, 0, 0, 24
D minor (1b), 0, 0, 0, 0, 1, 0, 1, 1, 1, 2, 4, 2, 4, 0, 1, 1, 0, 18
E minor (1#), 0, 2, 1, 2, 2, 2, 1, 2, 4, 3, 5, 4, 2, 2, 4, 1, 1, 38
D minor mel (1b), 0, 0, 0, 0, 1, 1, 1, 2, 2, 1, 5, 3, 4, 0, 1, 1, 0, 22
E minor mel (1#), 0, 2, 0, 2, 2, 2, 1, 3, 5, 2, 6, 5, 3, 2, 3, 2, 1, 41
F major blues (1b), 1, 1, 3, 1, 2, 1, 2, 1, 2, 4, 3, 2, 5, 1, 3, 1, 1, 34
G major blues (1#), 0, 1, 1, 1, 2, 1, 1, 2, 2, 3, 5, 4, 4, 1, 3, 1, 0, 32
D minor blues (1b), 1, 1, 3, 1, 2, 1, 2, 1, 2, 5, 4, 2, 5, 1, 3, 1, 1, 36
E minor blues (1#), 0, 1, 1, 1, 3, 1, 1, 2, 5, 3, 7, 4, 4, 1, 3, 1, 0, 38
F dorian (1b), 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 3, 2, 3, 0, 2, 0, 0, 17
G dorian (1#), 0, 1, 0, 1, 2, 1, 0, 2, 2, 1, 5, 4, 4, 1, 2, 1, 0, 27
F phrygian (1b), 0, 0, 2, 0, 2, 0, 1, 0, 0, 3, 1, 1, 4, 0, 2, 0, 0, 16
G phrygian (1#), 0, 0, 1, 0, 1, 1, 1, 1, 1, 2, 3, 2, 3, 0, 2, 0, 0, 18
F lydian (1b), 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 3, 2, 3, 0, 2, 0, 0, 17
G lydian (1#), 0, 1, 0, 1, 2, 1, 0, 2, 2, 1, 5, 4, 4, 1, 2, 1, 0, 27
F mixolydian (1b), 0, 0, 2, 0, 2, 0, 1, 0, 0, 3, 1, 1, 4, 0, 2, 0, 0, 16
G mixolydian (1#), 0, 0, 1, 0, 1, 1, 1, 1, 1, 2, 3, 2, 3, 0, 2, 0, 0, 18
