 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, rowcost
B minor (2#), 1, 0, 3, 1, 0, 1, 2, 0, 0, 1, 0, 0, 0, 2, 0, 0, 1, 0, 2, 1, 1, 1, 2, 1, 1, 21
G minor mel (2b), 0, 0, 1, 1, 0, 3, 2, 0, 0, 1, 0, 0, 0, 3, 1, 1, 0, 0, 1, 1, 3, 0, 1, 0, 0, 19
B minor mel (2#), 1, 0, 3, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 2, 1, 1, 1, 2, 1, 1, 24
Bb major blues (2b), 1, 2, 1, 2, 2, 3, 3, 0, 0, 2, 1, 1, 0, 3, 1, 1, 2, 1, 0, 3, 3, 2, 3, 0, 0, 37
D major blues (2#), 0, 0, 1, 0, 2, 2, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 2, 1, 2, 0, 1, 1, 1, 19
G minor blues (2b), 1, 2, 1, 2, 1, 4, 3, 0, 0, 2, 1, 1, 0, 3, 1, 1, 2, 1, 0, 2, 4, 2, 3, 0, 0, 37
B minor blues (2#), 0, 0, 3, 0, 2, 2, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 2, 1, 2, 0, 2, 1, 1, 22
Bb dorian (2b), 0, 0, 0, 1, 2, 2, 2, 0, 0, 1, 0, 0, 0, 3, 1, 1, 0, 0, 0, 2, 2, 0, 1, 0, 0, 18
D dorian (2#), 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 1, 1, 0, 1, 1, 1, 14
Bb phrygian (2b), 0, 0, 0, 0, 2, 2, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 2, 0, 2, 0, 0, 12
D phrygian (2#), 0, 0, 1, 0, 1, 2, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 2, 0, 2, 0, 0, 13
Bb lydian (2b), 0, 1, 2, 1, 1, 2, 2, 0, 0, 1, 1, 1, 0, 3, 1, 1, 1, 0, 1, 2, 2, 1, 2, 0, 0, 26
D lydian (2#), 0, 1, 2, 1, 1, 3, 1, 0, 0, 1, 1, 1, 0, 2, 1, 1, 1, 0, 1, 2, 3, 1, 3, 0, 0, 27
Bb mixolydian (2b), 0, 0, 1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 9
D mixolydian (2#), 0, 0, 0, 1, 1, 2, 2, 0, 0, 1, 0, 0, 0, 3, 1, 1, 0, 0, 0, 1, 2, 0, 1, 0, 0, 16
Bb aeolian (2b), 0, 0, 1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 9
D aeolian (2#), 0, 0, 0, 1, 1, 2, 2, 0, 0, 1, 0, 0, 0, 3, 1, 1, 0, 0, 0, 1, 2, 0, 1, 0, 0, 16
Bb locrian (2b), 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 8
D locrian (2#), 0, 1, 1, 1, 1, 2, 2, 0, 0, 1, 1, 1, 0, 3, 1, 1, 1, 0, 0, 2, 2, 1, 2, 0, 0, 24
Eb major (3b), 0, 0, 0, 1, 2, 2, 2, 0, 0, 1, 0, 0, 0, 3, 1, 1, 0, 0, 0, 1, 2, 0, 1, 0, 0, 17
A major (3#), 0, 0, 1, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 2, 0, 1, 0, 0, 11
C minor (3b), 0, 0, 0, 1, 1, 2, 1, 0, 0, 1, 0, 0, 0, 2, 1, 1, 0, 0, 1, 2, 2, 0, 1, 1, 1, 18
F# minor (3#), 0, 1, 1, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 3, 0, 1, 0, 0, 13
C minor mel (3b), 0, 1, 1, 0, 1, 1, 2, 0, 0, 0, 1, 1, 0, 2, 0, 0, 1, 0, 0, 1, 1, 1, 2, 0, 0, 16
F# minor mel (3#), 0, 2, 2, 0, 1, 3, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 2, 1, 2, 3, 1, 2, 1, 1, 27
Eb major blues (3b), 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 8
A major blues (3#), 0, 0, 0, 0, 2, 2, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 2, 0, 2, 0, 0, 12
C minor blues (3b), 0, 0, 1, 0, 1, 2, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 2, 0, 2, 0, 0, 13
