 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, rowcost
C major (0), 0, 0, 2, 0, 4, 1, 2, 0, 1, 0, 1, 2, 1, 0, 2, 0, 4, 1, 2, 0, 1, 0, 1, 2, 1, 0, 4, 3, 0, 1, 2, 2, 4, 0, 5, 0, 1, 2, 2, 7, 1, 2, 1, 2, 2, 1, 4, 0, 1, 1, 3, 5, 1, 2, 0, 2, 2, 0, 1, 0, 1, 0, 93
A minor (0), 1, 1, 3, 1, 4, 2, 2, 1, 1, 0, 1, 0, 1, 1, 3, 1, 4, 2, 2, 1, 1, 0, 1, 0, 0, 1, 5, 3, 0, 1, 3, 3, 4, 0, 7, 1, 1, 3, 1, 6, 1, 3, 2, 3, 3, 1, 4, 1, 1, 2, 2, 6, 2, 3, 0, 3, 3, 0, 4, 1, 2, 1, 121
A minor mel (0), 1, 2, 4, 1, 4, 2, 2, 1, 2, 1, 2, 0, 2, 2, 4, 1, 4, 2, 2, 1, 2, 1, 2, 0, 1, 2, 6, 4, 0, 2, 4, 4, 5, 0, 8, 2, 0, 4, 2, 5, 1, 3, 3, 4, 3, 2, 5, 2, 1, 2, 3, 7, 3, 4, 0, 4, 3, 1, 5, 2, 3, 1, 156
C major blues (0), 0, 2, 4, 1, 5, 1, 2, 1, 2, 2, 2, 3, 3, 2, 4, 1, 5, 1, 2, 1, 2, 2, 2, 3, 4, 3, 5, 4, 0, 2, 3, 4, 6, 0, 7, 3, 3, 4, 3, 7, 1, 2, 3, 4, 3, 3, 5, 2, 1, 2, 4, 7, 3, 3, 0, 5, 3, 3, 3, 3, 3, 1, 175
A minor blues (0), 0, 2, 4, 1, 6, 2, 3, 1, 2, 2, 2, 2, 4, 2, 4, 1, 6, 2, 3, 1, 2, 2, 2, 2, 4, 3, 5, 4, 0, 2, 3, 4, 5, 0, 10, 3, 3, 4, 3, 7, 1, 3, 3, 4, 4, 3, 6, 2, 1, 2, 4, 7, 3, 3, 0, 5, 3, 3, 7, 3, 3, 1, 189
C dorian (0), 0, 1, 3, 0, 4, 1, 2, 0, 2, 1, 2, 2, 2, 1, 3, 0, 4, 1, 2, 0, 2, 1, 2, 2, 2, 1, 5, 4, 0, 2, 3, 3, 5, 0, 6, 1, 0, 3, 3, 6, 1, 2, 2, 3, 2, 2, 5, 1, 1, 1, 4, 6, 2, 3, 0, 3, 2, 1, 2, 1, 2, 0, 128
C phrygian (0), 0, 0, 2, 0, 3, 1, 2, 0, 0, 1, 1, 3, 2, 0, 2, 0, 3, 1, 2, 0, 0, 1, 1, 3, 2, 1, 3, 2, 0, 1, 1, 2, 3, 0, 4, 1, 2, 1, 1, 6, 0, 1, 0, 2, 3, 1, 3, 0, 1, 1, 3, 4, 0, 1, 0, 3, 1, 1, 2, 1, 2, 0, 88
C lydian (0), 0, 1, 3, 0, 4, 1, 2, 0, 2, 1, 2, 2, 2, 1, 3, 0, 4, 1, 2, 0, 2, 1, 2, 2, 2, 1, 5, 4, 0, 2, 3, 3, 5, 0, 6, 1, 0, 3, 3, 6, 1, 2, 2, 3, 2, 2, 5, 1, 1, 1, 4, 6, 2, 3, 0, 3, 2, 1, 2, 1, 2, 0, 128
C mixolydian (0), 0, 0, 2, 0, 3, 1, 2, 0, 0, 1, 1, 3, 2, 0, 2, 0, 3, 1, 2, 0, 0, 1, 1, 3, 2, 1, 3, 2, 0, 1, 1, 2, 3, 0, 4, 1, 2, 1, 1, 6, 0, 1, 0, 2, 3, 1, 3, 0, 1, 1, 3, 4, 0, 1, 0, 3, 1, 1, 2, 1, 2, 0, 88
C aeolian (0), 0, 0, 2, 0, 4, 1, 2, 0, 1, 0, 1, 2, 1, 0, 2, 0, 4, 1, 2, 0, 1, 0, 1, 2, 1, 0, 4, 3, 0, 1, 2, 2, 4, 0, 5, 0, 1, 2, 2, 7, 1, 2, 1, 2, 2, 1, 4, 0, 1, 1, 3, 5, 1, 2, 0, 2, 2, 0, 1, 0, 1, 0, 93
