id,title,composer,KSgt,KSest,notes,err,time
230,230-Schumann-trio2,,(-1),a minor (0),74,2,0.017
231,231-Duparc-elegie,,F major (-1),B- major (-2),47,3,0.011
232,232-Beethoven-sonateop22,,,c minor (-3),70,0,0.035
233,233-Debussy-cloches,,,E major (4),64,0,0.016
234,234-Beethoven-symphonie2op36,,A major (3),D major (2),74,0,0.017
235,235-Schumann-quatuor1op41,,,a minor (0),142,1,0.053
236,236-Schubert-scherzo,,,G major (1),82,0,0.033
237,237-Beethoven-symphonie6,,,B- major (-2),122,0,0.058
239,239-Beethoven-themavar,,,G major (1),71,0,0.019
240,240-Haydn-sonate5,,,C major (0),124,0,0.032
241,241-Haendel-sicilianaconcertogrosso8,,,c minor (-3),116,0,0.062
243,243-Strauss-melodie1op56,,(-1),A- major (-4),87,3,0.025
244,244-Bach-concerto1violon,,,C major (0),129,3,0.266
245,245-Debussy-Arabesque2,,,e minor (1),184,0,0.095
246,246-Mozart-marcheflute,,,F major (-1),97,0,0.027
247,247-Schubert-Benedictus,,,G major (1),41,0,0.012
248,248-Mozart-sonateKV280,,,A- major (-4),97,1,0.027
249,249-Mozart-andateKV9b,,B- major (-2),c minor (-3),128,4,0.052
250,250-Cliquet-Pleyel,,,a minor (0),99,0,0.025
251,251-Schumann-Myrthen10op25,,,c minor (-3),67,0,0.014
252,252-Kuhlau-sonatine2op60,,,A major (3),68,0,0.018
253,253-Schubert-gloria,,,D major (2),50,0,0.010
254,254-Haydn-quatuor5op76,,,b minor (2),111,1,0.073
255,255-Mozart-sonateDomKV457,,,E- major (-3),174,3,0.973
256,256-Mozart-sonataKV309,,,F major (-1),138,0,0.092
257,257-Mozart-quintetteDomKV309,,,E- major (-3),112,1,0.071
258,258-Schumann-quatuor2FaMop41,,,d minor (-1),105,4,0.026
260,260-Monteverdi-Orfeo,,(0),G major (1),84,6,0.020
262,262-Schumann-Myrthen23op25,,,D major (2),82,1,0.023
263,263-Clergue-Tom,,,F major (-1),70,0,0.019
265,265-Mozart-Aria15,,,c# minor (4),119,0,0.042
266,266-Debussy-Berger,,,f# minor (3),72,2,0.029
267,267-Lalo-RoidYs,,,d minor (-1),52,0,0.014
268,268-Scarlatti-sonatepastorale,,,e minor (1),115,0,0.055
269,269-Beethoven-quatuor1op18,,,F major (-1),132,0,0.035
271,271-Duparc-elegie,,,d minor (-1),64,0,0.013
272,272-Bach-cantate140duetto,,,E- major (-3),184,0,1.162
273,273-Haendel-concerto2,,,F major (-1),115,0,0.085
274,274-Wolf-melodieespagnole6,,(3),D major (2),123,5,0.039
275,275-Bartok-danceRoumaine1,,,C major (0),120,0,0.030
