 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, rowcost
E minor blues (1#), 0, 6, 5, 5, 4, 2, 0, 0, 1, 2, 1, 2, 0, 0,  , 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 2, 2, 0, 0, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 4, 5, 5, 5, 5, 1, 78
F dorian (1b), 0, 5, 5, 5, 4, 2, 0, 0, 0, 3, 0, 2, 0, 0,  , 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 5, 5, 6, 4, 0, 58
G dorian (1#), 0, 7, 3, 3, 2, 1, 0, 0, 0, 2, 0, 1, 0, 0,  , 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 3, 3, 4, 2, 0, 43
F phrygian (1b), 0, 5, 7, 5, 6, 2, 1, 1, 2, 3, 2, 2, 1, 1,  , 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 2, 0, 0, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 3, 7, 5, 8, 4, 2, 85
G phrygian (1#), 0, 5, 5, 5, 4, 2, 0, 0, 0, 3, 0, 2, 0, 0,  , 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 5, 5, 6, 4, 0, 58
F lydian (1b), 0, 5, 5, 5, 4, 2, 0, 0, 0, 3, 0, 2, 0, 0,  , 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 5, 5, 6, 4, 0, 58
G lydian (1#), 0, 7, 3, 3, 2, 1, 0, 0, 0, 2, 0, 1, 0, 0,  , 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 3, 3, 4, 2, 0, 43
F mixolydian (1b), 0, 5, 7, 5, 6, 2, 1, 1, 2, 3, 2, 2, 1, 1,  , 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 2, 0, 0, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 3, 7, 5, 8, 4, 2, 85
G mixolydian (1#), 0, 5, 5, 5, 4, 2, 0, 0, 0, 3, 0, 2, 0, 0,  , 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 5, 5, 6, 4, 0, 58
F aeolian (1b), 0, 4, 6, 6, 5, 2, 0, 0, 1, 3, 1, 2, 0, 0,  , 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 2, 0, 0, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 6, 6, 7, 5, 1, 77
G aeolian (1#), 0, 6, 4, 4, 3, 1, 0, 0, 0, 2, 0, 1, 0, 0,  , 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 4, 5, 3, 0, 48
F locrian (1b), 1, 6, 8, 4, 7, 1, 1, 1, 2, 2, 3, 1, 1, 1,  , 0, 0, 0, 0, 0, 0, 1, 2, 1, 0, 1, 1, 0, 1, 1, 1, 2, 1, 2, 1, 2, 4, 2, 1, 2, 2, 4, 8, 4, 7, 3, 3, 96
G locrian (1#), 0, 4, 6, 6, 5, 2, 0, 0, 1, 3, 1, 2, 0, 0,  , 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 2, 0, 0, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 6, 6, 7, 5, 1, 77
Bb major (2b), 0, 3, 7, 5, 6, 2, 1, 1, 2, 3, 2, 2, 1, 1,  , 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 2, 0, 0, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 3, 7, 5, 8, 4, 2, 85
D major (2#), 0, 7, 3, 3, 2, 1, 0, 0, 0, 1, 0, 1, 0, 0,  , 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 3, 3, 3, 2, 0, 41
G minor (2b), 0, 6, 6, 4, 5, 1, 1, 1, 2, 2, 2, 1, 1, 1,  , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 0, 0, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 4, 6, 4, 7, 3, 2, 75
B minor (2#), 1, 4, 3, 2, 2, 1, 0, 0, 0, 2, 1, 1, 0, 0,  , 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 2, 1, 0, 1, 1, 4, 3, 2, 3, 2, 1, 49
G minor mel (2b), 0, 5, 5, 5, 4, 1, 0, 0, 1, 2, 1, 1, 0, 0,  , 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 5, 5, 6, 4, 1, 67
B minor mel (2#), 2, 5, 2, 1, 2, 0, 0, 0, 0, 1, 1, 0, 0, 0,  , 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 2, 1, 0, 1, 2, 5, 2, 1, 2, 1, 1, 43
