id,title,composer,KS GT,KS est.,notes,err,time
101,101-Beethoven-bagatelle4op33,,3,4,70,0,0.010
102,102-Beethoven-quatuor16op135,L.v. Beethoven,-5,-5,96,0,0.010
103,103-SaintSaens-elephant,C. Saint Saens,-3,-2,57,0,0.005
104,104-Haendel-concertogrosso4op6,G. F. Haendel,0,0,81,1,0.012
105,105-Schubert-gloria,F. Schubert,2,3,67,0,0.004
106,106-Bach-polonaise,J. S.  Bach,1,1,127,0,0.029
107,107-Wolf-chantEspagnol8,H. Wolf,2,2,85,0,0.011
108,108-Beethoven-quatuor13op130,,1,1,61,0,0.004
109,109-Kuhlau-sonatineop60n1,,-1,0,90,0,0.019
110,110-Haendel-concertogrosso3,,1,1,86,0,0.007
111,111-Mozart-sonateKV570,W. A. Mozart,-2,-2,96,4,0.147
112,112-Haydn-fantasia,,0,0,68,1,0.011
113,113-Gretchaninoff-retour,A. Gretchaninoff,1,1,89,0,0.011
114,114-Clementi-rondoSonateop25,M. Clementi,1,1,85,0,0.010
115,115-Clementi-sonatineop36n1,M. Clementi,0,1,91,0,0.015
117,117-Schumann-trio2,R. Schumann,-5,-5,72,0,0.006
118,118-Greensleeves,,-2,-1,75,0,0.010
119,119-Mendelssohn-romances31op67,,-3,-3,74,1,0.024
120,120-Bach-gavotte,J. S. Bach,1,1,130,0,0.020
121,121-Beethoven-adagioSonate1op2,L. v. Beethoven,-1,-1,51,1,0.014
122,122-pop,,0,1,58,0,0.005
123,123-Mozart-Canzonetta,W. A. Mozart,2,2,60,1,0.005
124,124-Schubert-quatuor13op29,F. Schubert,0,0,82,0,0.011
125,125-Wolf-melodie5,H. Wolf,3,2,66,0,0.006
126,126-Milhaud-suiteProvencale,D. Milhaud,0,3,61,0,0.007
127,127-Lemoine-etude38,H. Lemoine,0,1,93,0,0.012
128,128-Wolf-melodiesItalienne26,H. Wolf,-3,-2,94,3,0.015
129,129-Mozart-sonateKV331,W. A. Mozart,3,3,60,0,0.007
130,130-Haendel-concertogrosso10,G. F. Haendel,-1,-1,85,0,0.019
131,131-negrospiritual,,1,2,73,0,0.015
132,132-Bach-Brandegourgeois4,J. S. Bach,1,1,108,0,0.010
133,133-Mozart-KV282,W. A. Mozart,-3,-2,107,0,0.016
134,134-Purcell-gigue,H. Purcell,0,0,81,0,0.014
135,135-Schumann-concertola,R. Schumann,-1,-1,66,1,0.015
136,136-Schumann-Myrten25op25,R. Schumann,-3,-3,77,0,0.007
138,138-Wolf-melodie1,,3,3,90,1,0.014
140,140-Clementi-sonate3op25,M. Clementi,-2,-1,112,1,0.025
141,141-Puig-Roget,H. Puig-Roget,0,0,67,0,0.010
142,142-Wolf-chantsitaliens35,,-3,-2,77,3,0.012
143,143-Wolf-melodiesespagnoles1,H. Wolf,-1,-1,91,2,0.013
144,144-Wolf-melodiesespagnoles13,H. Wolf,2,2,67,1,0.006
145,145-Clementi-sonate3op25,M. Clementi,-2,-1,87,1,0.028
146,146-Clementi-sonatine2op35,M. Clementi,1,1,117,0,0.016
147,147-Beethoven-rondosonateop28,L. v. Beethoven,2,2,56,0,0.008
148,148-Mozart-concertofluteKV314,W. A. Mozart,2,2,61,0,0.016
149,149-Wolf-melodiesespagnoles2,H. Wolf,0,0,91,2,0.011
151,151-Mozart-duettinoDonJuanI97,W.A. Mozart,3,3,70,0,0.007
152,152-Clementi-sonate5op36,M. Clementi,0,0,89,0,0.010
153,153-Wolf-chansonsItaliennes21,D. F. Kuhlau,-1,0,90,0,0.022
154,154-Clementi-sonatine1op37,M. Clementi,-3,-3,83,0,0.032
