 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, rowcost
C major (0), 1/0, 1/0, 0/0, 0/0, 1/0, 1/0, 0/0, 1/0, 1/0, 2/3, 1/0, 0/0, 1/0, 2/3, 1/0, 3/1, 0/0, 16/7
A minor (0), 1/0, 1/3, 0/0, 0/0, 1/0, 1/3, 0/0, 1/1, 1/0, 2/2, 1/1, 0/0, 1/2, 2/2, 1/1, 3/2, 0/0, 16/17
F major (1b), 1/0, 1/0, 0/0, 0/0, 1/0, 1/0, 0/0, 1/0, 1/0, 1/0, 1/0, 0/0, 1/0, 1/0, 1/0, 2/1, 0/0, 13/1
G major (1#), 1/4, 2/6, 0/0, 0/0, 1/4, 2/6, 0/0, 2/2, 1/3, 3/2, 2/1, 0/0, 1/0, 3/2, 2/0, 2/1, 1/0, 23/31
D minor (1b), 1/0, 1/3, 0/0, 0/0, 1/0, 1/3, 0/0, 1/1, 1/0, 1/2, 1/1, 0/0, 1/0, 1/2, 1/0, 3/1, 0/0, 14/13
E minor (1#), 1/0, 2/3, 0/0, 0/0, 1/0, 2/3, 0/0, 2/1, 1/0, 3/5, 2/1, 0/0, 1/0, 3/5, 2/1, 2/1, 1/0, 23/20
Bb major (2b), 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 1/0
D major (2#), 1/4, 2/3, 0/0, 0/0, 1/0, 2/3, 0/0, 2/1, 2/0, 3/2, 2/1, 0/0, 2/0, 3/2, 2/1, 3/1, 1/0, 26/18
G minor (2b), 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 2/1, 0/0, 2/1
B minor (2#), 1/0, 2/3, 0/0, 0/0, 1/0, 2/3, 0/0, 2/1, 2/0, 3/7, 2/2, 0/0, 2/0, 3/7, 2/3, 3/1, 1/1, 26/28
Eb major (3b), 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/1, 0/0, 1/1
A major (3#), 2/0, 3/3, 1/0, 1/0, 2/0, 3/3, 1/0, 3/1, 3/0, 4/2, 3/1, 1/0, 3/0, 4/2, 2/1, 3/1, 1/0, 40/14
C minor (3b), 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 2/1, 0/0, 2/1
F# minor (3#), 2/0, 3/3, 1/0, 1/0, 2/0, 3/3, 1/0, 3/1, 3/1, 4/4, 3/1, 1/0, 3/1, 4/4, 2/0, 3/1, 1/0, 40/19
Ab major (4b), 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 1/0
E major (4#), 1/0, 2/3, 1/0, 1/0, 1/0, 2/3, 1/0, 2/1, 2/0, 3/5, 2/1, 1/0, 2/0, 3/5, 1/2, 2/1, 1/0, 28/21
F minor (4b), 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/3, 0/0, 0/0, 0/0, 0/3, 0/0, 1/0, 0/0, 1/6
C# minor (4#), 2/0, 3/3, 2/0, 2/0, 2/0, 3/3, 2/0, 3/1, 3/1, 4/2, 3/1, 2/0, 3/1, 4/2, 1/0, 2/0, 1/0, 42/14
Db major (5b), 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 0/0, 0/0, 0/0, 14/0
B major (5#), 1/3, 2/6, 1/2, 1/4, 1/3, 2/6, 1/1, 2/4, 2/2, 2/3, 2/2, 1/1, 2/2, 2/3, 1/0, 2/1, 1/0, 26/43
Bb minor (5b), 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 0/0, 0/0, 0/0, 14/0
G# minor (5#), 2/0, 3/3, 2/0, 2/0, 2/0, 3/3, 2/0, 3/1, 3/1, 3/2, 3/1, 2/0, 3/1, 3/2, 1/0, 2/0, 1/0, 40/14
Gb major (6b), 2/6, 2/6, 2/4, 2/8, 2/6, 2/6, 2/2, 2/6, 3/2, 2/2, 2/2, 2/2, 3/2, 2/2, 0/0, 1/0, 0/0, 31/56
F# major (6#), 1/3, 1/3, 1/0, 1/0, 1/3, 1/3, 1/0, 1/3, 2/2, 1/1, 1/1, 1/0, 2/1, 1/1, 0/0, 1/0, 0/0, 17/21
Eb minor (6b), 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 2/0, 1/0, 1/0, 1/0, 2/0, 1/0, 0/0, 1/1, 0/0, 17/1
D# minor (6#), 2/0, 2/3, 2/0, 2/0, 2/0, 2/3, 2/0, 2/1, 3/1, 2/2, 2/1, 2/0, 3/1, 2/2, 0/0, 1/0, 0/0, 31/14
Cb major (7b), 2/6, 3/6, 2/4, 2/8, 2/6, 3/6, 2/2, 3/6, 4/4, 3/2, 3/2, 2/2, 4/4, 3/2, 1/0, 3/2, 1/0, 43/62
C# major (7#), 2/0, 2/3, 2/0, 2/0, 2/0, 2/3, 2/0, 2/1, 2/1, 2/2, 2/1, 2/0, 2/1, 2/2, 0/0, 0/0, 0/0, 28/14
Ab minor (7b), 1/0, 2/0, 1/0, 1/0, 1/0, 2/0, 1/0, 2/0, 2/0, 2/0, 2/0, 1/0, 2/0, 2/0, 1/0, 2/0, 1/0, 26/0
A# minor (7#), 2/0, 2/3, 2/0, 2/0, 2/0, 2/3, 2/0, 2/1, 2/1, 2/2, 2/1, 2/0, 2/1, 2/2, 0/0, 0/0, 0/0, 28/14
