 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, rowcost
C major (0), 2/1, 2/2, 3/4, 2/3, 2/3, 3/4, 2/4, 1/1, 3/2, 1/0, 1/0, 1/0, 2/2, 2/4, 2/1, 1/0, 30/31
A minor (0), 2/0, 2/0, 3/0, 2/0, 2/0, 3/1, 2/2, 1/0, 3/1, 1/1, 1/0, 1/0, 2/0, 2/0, 2/0, 1/0, 30/5
F major (1b), 3/2, 3/2, 3/5, 1/3, 2/4, 2/4, 2/4, 1/1, 2/2, 1/0, 1/0, 1/0, 3/3, 3/1, 3/1, 1/1, 32/33
G major (1#), 1/1, 2/1, 2/3, 2/1, 1/0, 3/1, 3/2, 1/0, 3/1, 2/0, 1/0, 1/0, 1/2, 2/3, 1/1, 0/0, 26/16
D minor (1b), 3/1, 3/0, 3/0, 1/0, 2/0, 2/1, 2/2, 1/0, 2/1, 1/0, 1/0, 1/0, 3/2, 3/3, 3/0, 1/0, 32/10
E minor (1#), 1/0, 2/0, 2/0, 2/0, 1/0, 3/0, 3/2, 1/0, 3/0, 2/1, 1/0, 1/0, 1/0, 2/0, 1/0, 0/0, 26/3
Bb major (2b), 4/5, 3/5, 3/3, 1/0, 3/2, 1/0, 1/0, 1/0, 1/0, 0/0, 1/0, 1/0, 4/1, 2/2, 3/0, 1/0, 30/18
D major (2#), 1/1, 1/0, 1/0, 1/0, 0/0, 2/2, 2/4, 0/0, 2/2, 2/2, 0/0, 0/0, 1/2, 1/3, 1/0, 0/0, 15/16
G minor (2b), 4/1, 3/1, 3/3, 1/0, 3/0, 1/1, 1/2, 1/0, 1/1, 0/0, 1/1, 1/1, 4/2, 2/4, 3/1, 1/0, 30/18
B minor (2#), 1/0, 1/0, 1/0, 1/0, 0/0, 2/0, 2/2, 0/0, 2/0, 2/0, 0/0, 0/0, 1/2, 1/0, 1/0, 0/0, 15/4
Eb major (3b), 3/1, 2/0, 4/3, 1/0, 3/2, 1/0, 2/2, 1/0, 1/0, 0/0, 1/0, 1/0, 3/1, 2/0, 2/0, 1/0, 28/9
