 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, rowcost
C major (0), 0, 1, 0, 2, 1, 3, 0, 2, 1, 3, 1, 1, 1, 1, 1, 18
A minor (0), 1, 2, 1, 2, 1, 3, 1, 2, 2, 4, 2, 1, 1, 1, 1, 25
A minor mel (0), 1, 3, 1, 2, 0, 2, 1, 2, 2, 3, 2, 1, 2, 1, 1, 24
C major blues (0), 0, 2, 0, 2, 1, 4, 0, 2, 1, 3, 1, 1, 2, 1, 1, 21
A minor blues (0), 0, 2, 0, 3, 1, 4, 0, 3, 1, 3, 1, 1, 2, 1, 1, 23
C dorian (0), 0, 2, 0, 2, 0, 2, 0, 2, 1, 2, 1, 1, 2, 1, 1, 17
C phrygian (0), 0, 1, 0, 2, 1, 4, 0, 1, 1, 3, 0, 1, 1, 1, 1, 17
C lydian (0), 0, 2, 0, 2, 0, 2, 0, 2, 1, 2, 1, 1, 2, 1, 1, 17
C mixolydian (0), 0, 1, 0, 2, 1, 4, 0, 1, 1, 3, 0, 1, 1, 1, 1, 17
C aeolian (0), 0, 1, 0, 2, 1, 3, 0, 2, 1, 3, 1, 1, 1, 1, 1, 18
C locrian (0), 0, 0, 0, 1, 1, 3, 0, 1, 0, 2, 0, 0, 0, 0, 0, 8
F major (1b), 0, 1, 0, 2, 1, 3, 0, 1, 1, 2, 0, 1, 1, 1, 1, 15
G major (1#), 0, 2, 0, 2, 0, 2, 0, 2, 1, 2, 1, 1, 2, 1, 1, 17
D minor (1b), 0, 2, 0, 4, 1, 4, 0, 3, 2, 4, 0, 2, 1, 1, 1, 25
E minor (1#), 0, 1, 0, 2, 0, 1, 0, 3, 0, 1, 1, 0, 1, 0, 0, 10
D minor mel (1b), 0, 2, 0, 4, 1, 3, 0, 4, 2, 4, 1, 2, 1, 1, 1, 26
E minor mel (1#), 0, 2, 0, 3, 0, 1, 0, 4, 1, 2, 1, 1, 1, 0, 0, 16
F major blues (1b), 0, 1, 0, 2, 1, 3, 0, 2, 1, 2, 1, 1, 1, 1, 1, 17
G major blues (1#), 0, 3, 0, 3, 1, 4, 0, 3, 2, 4, 1, 2, 2, 1, 1, 27
D minor blues (1b), 0, 1, 0, 3, 1, 4, 0, 3, 1, 3, 1, 1, 1, 1, 1, 21
E minor blues (1#), 0, 3, 0, 4, 1, 4, 0, 4, 2, 4, 1, 2, 2, 1, 1, 29
F dorian (1b), 0, 1, 0, 2, 1, 2, 0, 2, 1, 2, 1, 1, 1, 1, 1, 16
G dorian (1#), 0, 3, 0, 3, 0, 2, 0, 3, 2, 3, 1, 2, 2, 1, 1, 23
F phrygian (1b), 0, 0, 0, 1, 1, 2, 0, 1, 0, 1, 0, 0, 0, 0, 0, 6
G phrygian (1#), 0, 1, 0, 2, 1, 3, 0, 2, 1, 3, 1, 1, 1, 1, 1, 18
F lydian (1b), 0, 1, 0, 2, 1, 2, 0, 2, 1, 2, 1, 1, 1, 1, 1, 16
G lydian (1#), 0, 3, 0, 3, 0, 2, 0, 3, 2, 3, 1, 2, 2, 1, 1, 23
