 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, rowcost
C major (0), 1, 1, 2, 1, 2, 0, 1, 1, 2, 1, 2, 1, 2, 0, 1, 1, 2, 0, 2, 0, 1, 1, 1, 0, 1, 1, 2, 1, 2, 0, 1, 1, 2, 1, 1, 39
A minor (0), 1, 1, 1, 1, 4, 1, 2, 1, 2, 1, 1, 1, 4, 1, 2, 1, 3, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 4, 1, 2, 1, 2, 1, 1, 50
F major (1b), 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 2, 0, 2, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 23
G major (1#), 1, 1, 2, 1, 3, 0, 2, 1, 2, 1, 2, 1, 3, 0, 2, 1, 2, 1, 2, 1, 1, 2, 1, 1, 1, 1, 2, 1, 3, 0, 2, 1, 2, 1, 1, 49
D minor (1b), 0, 0, 2, 0, 2, 0, 1, 1, 1, 0, 2, 0, 2, 0, 1, 1, 2, 0, 2, 0, 1, 1, 0, 0, 0, 0, 2, 0, 2, 0, 2, 1, 1, 1, 1, 29
E minor (1#), 1, 1, 2, 1, 4, 0, 1, 0, 1, 1, 2, 1, 4, 0, 1, 0, 2, 1, 0, 1, 0, 1, 1, 2, 1, 1, 2, 1, 4, 0, 1, 0, 1, 0, 0, 39
Bb major (2b), 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 9
D major (2#), 1, 1, 3, 1, 4, 0, 2, 1, 2, 1, 3, 1, 4, 0, 2, 1, 2, 1, 2, 1, 1, 2, 0, 1, 1, 1, 3, 1, 4, 0, 3, 1, 2, 1, 1, 55
G minor (2b), 0, 0, 1, 0, 2, 0, 1, 0, 0, 0, 1, 0, 2, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 2, 0, 1, 0, 0, 0, 0, 19
B minor (2#), 0, 0, 2, 0, 3, 0, 2, 1, 1, 0, 2, 0, 3, 0, 2, 1, 3, 1, 1, 1, 1, 2, 0, 1, 0, 0, 2, 0, 3, 0, 3, 1, 1, 1, 1, 39
Eb major (3b), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
