 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, rowcost
C major (0), 1, 1, 2, 1, 1, 2, 2, 1, 1, 1, 2, 0, 0, 2, 1, 2, 0, 2, 1, 2, 25
A minor (0), 1, 1, 2, 2, 1, 4, 2, 0, 0, 2, 3, 1, 1, 2, 1, 1, 1, 2, 1, 1, 29
A minor mel (0), 1, 2, 2, 3, 1, 4, 2, 0, 0, 2, 3, 1, 2, 2, 1, 1, 2, 2, 1, 1, 33
C major blues (0), 1, 3, 2, 2, 1, 2, 2, 2, 1, 1, 3, 1, 1, 2, 1, 2, 1, 2, 1, 2, 33
A minor blues (0), 2, 3, 2, 4, 1, 4, 2, 2, 1, 1, 3, 1, 1, 2, 1, 2, 1, 2, 1, 2, 38
C dorian (0), 1, 2, 2, 2, 1, 2, 2, 1, 1, 1, 2, 0, 1, 2, 1, 2, 1, 2, 1, 2, 29
C phrygian (0), 1, 1, 1, 1, 1, 1, 1, 2, 1, 0, 3, 1, 0, 2, 0, 1, 0, 2, 0, 1, 20
C lydian (0), 1, 2, 2, 2, 1, 2, 2, 1, 1, 1, 2, 0, 1, 2, 1, 2, 1, 2, 1, 2, 29
C mixolydian (0), 1, 1, 1, 1, 1, 1, 1, 2, 1, 0, 3, 1, 0, 2, 0, 1, 0, 2, 0, 1, 20
C aeolian (0), 1, 1, 2, 1, 1, 2, 2, 1, 1, 1, 2, 0, 0, 2, 1, 2, 0, 2, 1, 2, 25
C locrian (0), 1, 2, 1, 1, 0, 1, 1, 2, 1, 0, 3, 1, 0, 1, 0, 1, 0, 1, 0, 1, 18
F major (1b), 1, 1, 1, 1, 1, 1, 1, 2, 1, 0, 3, 1, 0, 2, 0, 1, 0, 2, 0, 1, 20
G major (1#), 1, 2, 2, 2, 1, 4, 2, 1, 1, 1, 2, 0, 1, 2, 1, 2, 1, 2, 1, 2, 31
D minor (1b), 2, 0, 0, 3, 2, 2, 0, 3, 2, 0, 3, 2, 0, 1, 1, 1, 0, 1, 1, 1, 25
E minor (1#), 2, 2, 2, 4, 0, 4, 2, 1, 1, 3, 1, 0, 1, 1, 1, 2, 1, 1, 1, 2, 32
D minor mel (1b), 2, 0, 1, 3, 2, 3, 1, 2, 2, 1, 2, 1, 0, 1, 2, 2, 0, 1, 2, 2, 30
E minor mel (1#), 2, 1, 1, 4, 1, 3, 1, 2, 2, 3, 1, 1, 1, 0, 2, 2, 1, 0, 2, 2, 32
F major blues (1b), 1, 2, 2, 1, 1, 2, 2, 2, 1, 2, 3, 1, 0, 2, 1, 2, 0, 2, 1, 2, 30
G major blues (1#), 1, 2, 2, 2, 2, 4, 2, 3, 2, 1, 3, 2, 1, 2, 2, 2, 1, 2, 2, 2, 40
D minor blues (1b), 2, 2, 2, 3, 1, 4, 2, 2, 1, 2, 3, 1, 0, 2, 1, 2, 0, 2, 1, 2, 35
E minor blues (1#), 2, 2, 2, 4, 2, 4, 2, 3, 2, 3, 2, 2, 1, 2, 2, 2, 1, 2, 2, 2, 44
F dorian (1b), 1, 1, 2, 1, 1, 2, 2, 1, 1, 1, 2, 0, 0, 2, 1, 2, 0, 2, 1, 2, 25
G dorian (1#), 1, 1, 1, 2, 2, 3, 1, 2, 2, 1, 2, 1, 1, 1, 2, 2, 1, 1, 2, 2, 31
