 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, rowcost
Db major (5b), 1/1, 1/1, 1/1, 1/1, 4/7, 5/4, 2/2, 2/2, 4/7, 0/0, 4/7, 0/0, 3/3, 2/1, 1/1, 1/1, 4/5, 0/0, 4/6, 0/0, 4/5, 0/0, 3/4, 1/0, 1/1, 1/1, 2/2, 2/2, 4/7, 2/2, 0/0, 0/0, 60/74
B major (5#), 2/3, 0/0, 2/3, 0/0, 2/3, 3/1, 1/0, 1/0, 2/1, 1/0, 2/1, 1/0, 2/0, 1/0, 0/0, 0/0, 1/0, 1/0, 2/2, 1/0, 1/0, 1/0, 2/2, 1/1, 2/3, 0/0, 1/1, 1/0, 2/3, 2/1, 1/0, 1/0, 40/25
Bb minor (5b), 1/1, 1/0, 1/1, 1/0, 3/1, 4/2, 1/0, 1/0, 3/1, 0/0, 3/1, 0/0, 2/1, 2/1, 1/0, 1/0, 3/1, 0/0, 3/1, 0/0, 3/1, 0/0, 2/3, 1/0, 1/1, 1/0, 1/1, 1/0, 3/1, 1/0, 0/0, 0/0, 45/18
G# minor (5#), 2/1, 0/0, 2/1, 0/0, 3/1, 6/5, 2/2, 2/2, 3/7, 1/0, 3/7, 1/0, 3/1, 1/1, 0/0, 0/0, 2/4, 1/0, 3/2, 1/0, 2/1, 1/0, 3/2, 2/0, 2/1, 0/0, 1/1, 1/0, 3/7, 3/2, 1/0, 1/0, 56/48
Gb major (6b), 1/1, 1/0, 1/1, 1/0, 3/7, 7/6, 2/2, 2/2, 3/7, 1/0, 3/7, 1/0, 4/3, 1/1, 1/0, 1/0, 3/5, 1/0, 3/6, 1/0, 3/5, 1/0, 4/4, 2/2, 1/1, 1/0, 2/2, 2/2, 3/7, 3/2, 1/0, 1/0, 65/73
F# major (6#), 1/1, 1/0, 1/1, 1/0, 2/1, 5/1, 1/0, 1/0, 2/1, 1/0, 2/1, 1/0, 3/1, 1/1, 1/0, 1/0, 2/2, 1/0, 2/4, 1/0, 2/2, 1/0, 3/2, 1/1, 1/1, 1/0, 1/1, 1/0, 2/1, 2/1, 1/0, 1/0, 48/23
Eb minor (6b), 1/1, 1/0, 1/1, 1/0, 2/1, 5/2, 1/0, 1/0, 2/1, 1/0, 2/1, 1/0, 3/1, 1/1, 1/1, 1/1, 2/1, 1/0, 2/2, 1/0, 2/1, 1/0, 3/3, 1/0, 1/1, 1/0, 1/1, 1/0, 2/1, 2/0, 1/0, 1/0, 48/21
D# minor (6#), 1/1, 1/0, 1/1, 1/0, 3/1, 7/5, 2/2, 2/2, 3/7, 1/0, 3/7, 1/0, 4/3, 1/1, 1/0, 1/0, 3/1, 1/0, 3/2, 1/0, 3/1, 1/0, 4/4, 2/0, 1/1, 1/0, 2/2, 2/2, 3/7, 3/3, 1/0, 1/0, 65/53
Cb major (7b), 2/1, 0/0, 2/1, 0/0, 4/8, 6/8, 2/2, 2/2, 4/8, 2/2, 4/8, 2/2, 4/9, 2/2, 0/0, 0/0, 2/4, 2/6, 4/8, 2/2, 2/4, 2/6, 4/8, 2/2, 2/1, 0/0, 2/2, 2/2, 4/8, 4/4, 2/2, 2/2, 74/114
C# major (7#), 1/1, 1/0, 1/1, 1/0, 3/1, 5/3, 1/0, 1/0, 3/1, 0/0, 3/1, 0/0, 2/1, 2/1, 1/0, 1/0, 3/2, 0/0, 3/4, 0/0, 3/2, 0/0, 2/2, 2/0, 1/1, 1/0, 1/1, 1/0, 3/1, 1/1, 0/0, 0/0, 47/24
Ab minor (7b), 2/1, 0/0, 2/1, 0/0, 2/1, 4/2, 1/0, 1/0, 2/1, 1/0, 2/1, 1/0, 4/3, 1/1, 0/0, 0/0, 1/2, 1/0, 2/2, 1/0, 1/1, 1/0, 4/4, 1/0, 2/1, 0/0, 2/2, 2/2, 2/1, 2/0, 1/0, 1/0, 47/26
A# minor (7#), 2/2, 2/2, 2/2, 2/2, 4/1, 7/7, 2/2, 2/2, 4/7, 0/0, 4/1, 0/0, 3/1, 2/1, 2/2, 2/2, 5/2, 0/0, 4/2, 0/0, 5/2, 0/0, 3/4, 2/0, 2/2, 2/2, 2/2, 2/2, 4/1, 2/1, 0/0, 0/0, 73/54
