id,title,composer,KSgt,KSest,notes,err,time
101,101-Beethoven-bagatelle4op33,,(3),E major (4),70,0,0.007
102,102-Beethoven-quatuor16op135,,,b- minor (-5),96,0,0.008
103,103-SaintSaens-elephant,,,E- major (-3),57,0,0.007
104,104-Haendel-concertogrosso4op6,,,a minor (0),81,0,0.006
105,105-Schubert-gloria,,D major (2),A major (3),67,0,0.007
106,106-Bach-polonaise,,,G major (1),127,0,0.010
107,107-Wolf-chantEspagnol8,,D major (2),e minor (1),85,1,0.006
108,108-Beethoven-quatuor13op130,,,G major (1),61,0,0.007
109,109-Kuhlau-sonatineop60n1,,F major (-1),a minor (0),90,0,0.007
110,110-Haendel-concertogrosso3,,,e minor (1),86,0,0.008
111,111-Mozart-sonateKV570,,(-2),d minor (-1),98,0,0.007
112,112-Haydn-fantasia,,,C major (0),68,1,0.006
113,113-Gretchaninoff-retour,,,G major (1),89,0,0.008
114,114-Clementi-rondoSonateop25,,,G major (1),86,0,0.008
115,115-Clementi-sonatineop36n1,,(0),G major (1),91,0,0.008
117,117-Schumann-trio2,,,b- minor (-5),72,0,0.009
118,118-Greensleeves,,,g minor (-2),75,0,0.006
119,119-Mendelssohn-romances31op67,,,c minor (-3),74,0,0.005
120,120-Bach-gavotte,,,e minor (1),130,0,0.010
121,121-Beethoven-adagioSonate1op2,,,F major (-1),51,2,0.004
122,122-pop,,,C major (0),58,0,0.007
123,123-Mozart-Canzonetta,,,b minor (2),60,0,0.006
124,124-Schubert-quatuor13op29,,,C major (0),82,0,0.007
125,125-Wolf-melodie5,,A major (3),b minor (2),66,2,0.006
126,126-Milhaud-suiteProvencale,,C major (0),D major (2),61,0,0.006
127,127-Lemoine-etude38,,C major (0),e minor (1),93,0,0.008
128,128-Wolf-melodiesItalienne26,,E- major (-3),g minor (-2),94,8,0.007
129,129-Mozart-sonateKV331,,,A major (3),60,0,0.005
130,130-Haendel-concertogrosso10,,,d minor (-1),85,0,0.006
131,131-negrospiritual,,,G major (1),73,0,0.008
132,132-Bach-Brandegourgeois4,,,G major (1),108,0,0.011
133,133-Mozart-KV282,,,c minor (-3),107,3,0.009
134,134-Purcell-gigue,,,a minor (0),81,0,0.006
135,135-Schumann-concertola,,,d minor (-1),66,0,0.005
136,136-Schumann-Myrten25op25,,,c minor (-3),77,0,0.007
138,138-Wolf-melodie1,,,f# minor (3),90,4,0.007
140,140-Clementi-sonate3op25,,B- major (-2),d minor (-1),112,0,0.009
141,141-Puig-Roget,,,C major (0),67,0,0.006
142,142-Wolf-chantsitaliens35,,(-3),g minor (-2),77,4,0.006
143,143-Wolf-melodiesespagnoles1,,,d minor (-1),91,3,0.007
144,144-Wolf-melodiesespagnoles13,,,b minor (2),67,1,0.006
145,145-Clementi-sonate3op25,,,g minor (-2),87,0,0.007
146,146-Clementi-sonatine2op35,,,e minor (1),117,0,0.010
147,147-Beethoven-rondosonateop28,,,D major (2),56,0,0.005
148,148-Mozart-concertofluteKV314,,,b minor (2),61,0,0.005
149,149-Wolf-melodiesespagnoles2,,,a minor (0),91,5,0.009
151,151-Mozart-duettinoDonJuanI97,,,A major (3),70,0,0.007
152,152-Clementi-sonate5op36,,,C major (0),89,0,0.008
153,153-Wolf-chansonsItaliennes21,,F major (-1),a minor (0),90,0,0.007
154,154-Clementi-sonatine1op37,,,c minor (-3),83,0,0.006
155,155-CPEBach-ariavar2,,,A major (3),57,0,0.006
156,156-Haendel-hornpipeconcertogrosso7,,,B- major (-2),79,0,0.007
157,157-Wolf-melodiesitaliennes20,,,g minor (-2),96,1,0.010
158,158-Beethoven-quatuor1op18,,,F major (-1),94,0,0.007
159,159-Dussek-rondo,,,B- major (-2),141,0,0.012
160,160-Beethoven-trio2op70,,,C major (0),49,0,0.005
161,161-Rimsky-Korsakov-Scheherazade,,,e minor (1),117,2,0.009
162,162-Chopin-nocturne1op32,,,g# minor (5),53,0,0.004
163,163-Beethoven-septuorop20,,,c minor (-3),61,0,0.005
164,164-Clementi-rondosonatine2op38,,,B- major (-2),53,0,0.006
165,165-Balbastre-pastorale,,,a minor (0),57,0,0.005
168,168-Beethoven-quatuor1op18,,F major (-1),f minor (-4),94,2,0.010
169,169-Wolf-chantsitaliens29,,,a minor (0),93,14,0.007
171,171-Mozart-concertobasson,,,d minor (-1),79,0,0.006
172,172-Beethoven-trio2op70,,,C major (0),65,0,0.006
173,173-Kuhlau-sonative1op60,,,d minor (-1),132,0,0.010
174,174-negrospiritual,,C major (0),B- major (-2),69,0,0.008
177,177-Boulnois-berceuse,,C major (0),e minor (1),84,2,0.006
178,178-Poulenc,,D major (2),A major (3),85,0,0.008
179,179-Clementi-canone33,,,a minor (0),83,0,0.007
180,180-Haendel-concertogrosso9op6,,,F major (-1),58,1,0.005
201,201-Beethoven-variation1,,,e minor (1),97,0,0.007
