 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, rowcost
C major (0), 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 0/0, 1/0, 0/0, 1/0, 0/0, 0/0, 4/0
A minor (0), 0/0, 0/0, 0/0, 0/0, 1/1, 1/1, 0/0, 1/1, 0/0, 1/0, 0/0, 0/0, 4/3
F major (1b), 1/0, 1/0, 1/0, 1/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 1/0, 0/0, 7/0
G major (1#), 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 0/0, 1/1, 0/0, 1/0, 0/0, 0/0, 4/1
D minor (1b), 1/0, 1/0, 1/0, 1/0, 0/1, 0/1, 1/0, 1/1, 0/0, 0/0, 1/0, 0/0, 7/3
E minor (1#), 0/0, 0/0, 0/0, 0/0, 1/1, 2/1, 0/0, 1/1, 0/0, 1/0, 0/0, 0/0, 5/3
Bb major (2b), 1/3, 3/4, 3/4, 1/1, 0/0, 0/0, 1/1, 1/0, 0/0, 0/0, 1/1, 0/0, 11/14
D major (2#), 0/0, 1/0, 1/0, 0/0, 2/1, 2/1, 0/0, 1/1, 0/0, 1/0, 0/0, 0/0, 8/3
G minor (2b), 1/0, 1/0, 1/0, 1/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 1/0, 0/0, 7/0
B minor (2#), 0/0, 1/1, 1/1, 0/0, 2/2, 3/1, 0/0, 1/1, 0/0, 1/0, 0/0, 0/0, 9/6
Eb major (3b), 1/3, 3/4, 3/4, 1/1, 1/1, 1/0, 1/1, 0/0, 1/0, 0/0, 2/1, 1/0, 15/15
A major (3#), 0/0, 1/0, 1/0, 0/0, 2/1, 2/1, 0/0, 2/1, 0/0, 1/0, 0/0, 1/0, 10/3
C minor (3b), 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 0/0, 1/0, 0/0, 2/0, 1/0, 11/0
F# minor (3#), 0/0, 2/1, 2/1, 0/0, 2/2, 3/3, 0/0, 2/1, 0/0, 1/0, 0/0, 1/1, 13/9
Ab major (4b), 2/3, 4/4, 4/4, 1/1, 4/2, 3/4, 1/1, 0/0, 2/2, 0/0, 3/3, 2/2, 26/26
E major (4#), 1/0, 2/1, 2/1, 0/0, 3/1, 4/1, 0/0, 2/1, 0/0, 1/0, 0/0, 1/0, 16/5
F minor (4b), 2/0, 2/0, 2/0, 1/0, 2/0, 2/0, 1/0, 0/0, 1/0, 0/0, 2/0, 1/0, 16/0
C# minor (4#), 1/0, 3/1, 3/1, 0/0, 3/2, 4/3, 0/0, 2/0, 0/0, 1/0, 0/0, 2/2, 19/9
Db major (5b), 3/2, 5/3, 5/3, 1/0, 5/4, 4/6, 1/0, 1/0, 2/2, 0/0, 3/3, 3/2, 33/25
B major (5#), 1/0, 2/1, 2/1, 0/0, 4/2, 3/3, 0/0, 2/3, 1/0, 0/0, 1/0, 2/0, 18/10
Bb minor (5b), 2/0, 4/4, 4/4, 1/1, 2/0, 2/0, 1/0, 1/0, 1/0, 0/0, 2/1, 2/0, 22/10
G# minor (5#), 2/0, 4/1, 4/1, 0/0, 5/3, 4/4, 0/0, 2/0, 1/0, 0/0, 1/0, 3/2, 26/11
Gb major (6b), 2/2, 4/3, 4/3, 0/0, 6/4, 5/6, 0/0, 3/6, 2/2, 0/0, 2/2, 4/4, 32/32
F# major (6#), 1/0, 3/1, 3/1, 0/0, 4/2, 3/3, 0/0, 2/3, 1/0, 0/0, 1/0, 2/1, 20/11
Eb minor (6b), 1/0, 3/4, 3/4, 0/1, 3/1, 3/2, 0/0, 1/0, 1/0, 0/0, 1/1, 2/0, 18/13
D# minor (6#), 2/0, 4/1, 4/1, 0/0, 5/2, 5/2, 0/0, 2/0, 2/2, 0/0, 2/2, 4/4, 30/14
Cb major (7b), 2/2, 4/4, 4/4, 0/0, 7/6, 6/8, 0/0, 3/6, 2/2, 0/0, 2/3, 4/4, 34/39
C# major (7#), 2/0, 4/1, 4/1, 1/0, 3/2, 2/3, 1/0, 2/0, 1/0, 0/0, 2/0, 3/2, 25/9
Ab minor (7b), 1/0, 3/1, 3/1, 0/0, 5/2, 4/4, 0/0, 1/0, 2/2, 0/0, 2/2, 3/2, 24/14
A# minor (7#), 3/0, 5/1, 5/1, 1/0, 4/2, 4/2, 1/0, 2/0, 2/2, 0/0, 3/1, 4/2, 34/11
