 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, rowcost
C major (0), 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 4
A minor (0), 0, 0, 0, 0, 1, 1, 0, 2, 0, 1, 0, 1, 6
F major (1b), 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 7
G major (1#), 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 4
D minor (1b), 1, 2, 2, 1, 1, 1, 1, 1, 0, 0, 1, 0, 11
E minor (1#), 1, 1, 1, 0, 2, 3, 0, 1, 0, 1, 0, 0, 10
Bb major (2b), 1, 3, 3, 1, 0, 0, 1, 1, 0, 0, 1, 0, 11
D major (2#), 0, 1, 1, 0, 2, 2, 0, 1, 0, 1, 0, 0, 8
G minor (2b), 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 7
B minor (2#), 0, 1, 1, 0, 3, 2, 0, 1, 1, 0, 1, 1, 11
Eb major (3b), 1, 3, 3, 1, 1, 1, 1, 0, 1, 0, 2, 1, 15
A major (3#), 0, 1, 1, 0, 2, 2, 0, 2, 0, 1, 0, 1, 10
C minor (3b), 0, 0, 0, 0, 2, 2, 0, 0, 1, 1, 1, 1, 8
F# minor (3#), 0, 2, 2, 0, 2, 3, 0, 2, 0, 1, 0, 1, 13
Ab major (4b), 2, 4, 4, 1, 4, 3, 1, 0, 2, 0, 3, 2, 26
E major (4#), 1, 2, 2, 0, 3, 4, 0, 2, 0, 1, 0, 1, 16
F minor (4b), 2, 2, 2, 1, 2, 2, 1, 0, 1, 0, 2, 1, 16
C# minor (4#), 2, 4, 4, 1, 2, 3, 1, 2, 0, 1, 1, 2, 23
Db major (5b), 3, 5, 5, 1, 5, 4, 1, 1, 2, 0, 3, 3, 33
B major (5#), 1, 2, 2, 0, 4, 3, 0, 2, 1, 0, 1, 2, 18
Bb minor (5b), 2, 4, 4, 1, 1, 1, 1, 2, 0, 0, 1, 1, 18
G# minor (5#), 2, 4, 4, 0, 5, 4, 0, 0, 1, 0, 1, 1, 22
Gb major (6b), 2, 4, 4, 0, 6, 5, 0, 3, 2, 0, 2, 4, 32
F# major (6#), 1, 3, 3, 0, 4, 3, 0, 2, 1, 0, 1, 2, 20
Eb minor (6b), 0, 2, 2, 0, 2, 2, 0, 1, 1, 0, 1, 2, 13
D# minor (6#), 0, 2, 2, 0, 3, 3, 0, 2, 2, 0, 2, 4, 20
Cb major (7b), 2, 4, 4, 0, 7, 6, 0, 3, 2, 0, 2, 4, 34
C# major (7#), 2, 4, 4, 1, 3, 2, 1, 2, 1, 0, 2, 3, 25
Ab minor (7b), 1, 3, 3, 0, 5, 4, 0, 0, 2, 0, 2, 2, 22
A# minor (7#), 3, 5, 5, 1, 2, 2, 1, 3, 0, 0, 1, 2, 25
