 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, rowcost
Bb locrian (2b),  ,  ,  ,  , 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 5
D locrian (2#),  ,  ,  ,  , 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
Eb major (3b),  ,  ,  ,  , 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 2
A major (3#),  ,  ,  ,  , 0, 1, 0, 1, 1, 2, 0, 0, 1, 0, 0, 1, 7
C minor (3b),  ,  ,  ,  , 1, 1, 1, 2, 0, 0, 1, 1, 1, 0, 1, 1, 10
F# minor (3#),  ,  ,  ,  , 0, 1, 0, 0, 1, 2, 0, 0, 1, 0, 0, 1, 6
C minor mel (3b),  ,  ,  ,  , 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 4
F# minor mel (3#),  ,  ,  ,  , 1, 3, 1, 1, 0, 2, 1, 1, 0, 1, 1, 3, 15
Eb major blues (3b),  ,  ,  ,  , 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 5
A major blues (3#),  ,  ,  ,  , 0, 2, 0, 1, 0, 2, 0, 0, 0, 1, 0, 2, 8
C minor blues (3b),  ,  ,  ,  , 0, 2, 0, 1, 1, 3, 0, 0, 0, 1, 0, 2, 10
F# minor blues (3#),  ,  ,  ,  , 0, 1, 0, 1, 1, 2, 0, 0, 1, 0, 0, 1, 7
Eb dorian (3b),  ,  ,  ,  , 0, 1, 0, 1, 1, 2, 0, 0, 1, 0, 0, 1, 7
A dorian (3#),  ,  ,  ,  , 0, 1, 0, 1, 1, 2, 0, 0, 1, 0, 0, 1, 7
Eb phrygian (3b),  ,  ,  ,  , 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 2
A phrygian (3#),  ,  ,  ,  , 0, 1, 0, 1, 1, 2, 0, 0, 1, 0, 0, 1, 7
Eb lydian (3b),  ,  ,  ,  , 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 2
A lydian (3#),  ,  ,  ,  , 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 5
Eb mixolydian (3b),  ,  ,  ,  , 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
A mixolydian (3#),  ,  ,  ,  , 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 2
Eb aeolian (3b),  ,  ,  ,  , 0, 1, 0, 1, 1, 2, 0, 0, 1, 0, 0, 1, 7
A aeolian (3#),  ,  ,  ,  , 1, 1, 1, 2, 0, 0, 1, 1, 1, 0, 1, 1, 10
Eb locrian (3b),  ,  ,  ,  , 0, 2, 0, 1, 0, 2, 0, 0, 0, 1, 0, 2, 8
A locrian (3#),  ,  ,  ,  , 0, 2, 0, 1, 1, 3, 0, 0, 0, 1, 0, 2, 10
Ab major (4b),  ,  ,  ,  , 0, 1, 0, 1, 1, 2, 0, 0, 1, 0, 0, 1, 7
E major (4#),  ,  ,  ,  , 0, 1, 0, 1, 1, 2, 0, 0, 1, 0, 0, 1, 7
F minor (4b),  ,  ,  ,  , 0, 1, 0, 1, 1, 2, 0, 0, 1, 0, 0, 1, 7
C# minor (4#),  ,  ,  ,  , 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 2
F minor mel (4b),  ,  ,  ,  , 0, 1, 0, 1, 1, 2, 0, 0, 1, 0, 0, 1, 7
C# minor mel (4#),  ,  ,  ,  , 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 2
Ab major blues (4b),  ,  ,  ,  , 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 5
E major blues (4#),  ,  ,  ,  , 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
F minor blues (4b),  ,  ,  ,  , 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 2
C# minor blues (4#),  ,  ,  ,  , 0, 1, 0, 1, 1, 2, 0, 0, 1, 0, 0, 1, 7
Ab dorian (4b),  ,  ,  ,  , 1, 1, 1, 2, 0, 0, 1, 1, 1, 0, 1, 1, 10
E dorian (4#),  ,  ,  ,  , 0, 1, 0, 0, 1, 2, 0, 0, 1, 0, 0, 1, 6
Ab phrygian (4b),  ,  ,  ,  , 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 4
E phrygian (4#),  ,  ,  ,  , 1, 3, 1, 1, 0, 2, 1, 1, 0, 1, 1, 3, 15
Ab lydian (4b),  ,  ,  ,  , 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 5
E lydian (4#),  ,  ,  ,  , 0, 2, 0, 1, 0, 2, 0, 0, 0, 1, 0, 2, 8
Ab mixolydian (4b),  ,  ,  ,  , 0, 2, 0, 1, 1, 3, 0, 0, 0, 1, 0, 2, 10
E mixolydian (4#),  ,  ,  ,  , 0, 1, 0, 1, 1, 2, 0, 0, 1, 0, 0, 1, 7
Ab aeolian (4b),  ,  ,  ,  , 0, 1, 0, 1, 1, 2, 0, 0, 1, 0, 0, 1, 7
