 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, rowcost
C major (0), 0, 0, 0, 0, 1, 2, 2, 3, 0, 2, 0, 2, 1, 2, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 2, 0, 1, 1, 24
A minor (0), 0, 1, 1, 1, 1, 2, 3, 5, 0, 3, 0, 3, 2, 3, 0, 1, 2, 0, 0, 1, 1, 1, 1, 2, 3, 0, 2, 2, 41
A minor mel (0), 0, 1, 1, 1, 1, 2, 3, 4, 0, 2, 0, 3, 3, 3, 1, 0, 1, 0, 0, 1, 1, 1, 1, 2, 3, 0, 2, 2, 39
C major blues (0), 0, 2, 1, 1, 2, 3, 4, 3, 0, 3, 0, 2, 2, 2, 1, 2, 3, 1, 0, 2, 1, 1, 2, 3, 3, 1, 1, 1, 47
A minor blues (0), 0, 2, 1, 1, 2, 3, 5, 4, 0, 3, 0, 2, 3, 2, 1, 2, 3, 1, 0, 2, 1, 1, 2, 3, 4, 1, 1, 1, 51
C dorian (0), 0, 0, 0, 0, 1, 2, 2, 2, 0, 1, 0, 2, 2, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 1, 1, 22
C phrygian (0), 0, 1, 1, 1, 1, 3, 3, 3, 0, 2, 0, 1, 1, 1, 0, 2, 2, 1, 0, 1, 1, 1, 1, 3, 3, 0, 0, 0, 33
C lydian (0), 0, 0, 0, 0, 1, 2, 2, 2, 0, 1, 0, 2, 2, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 1, 1, 22
C mixolydian (0), 0, 1, 1, 1, 1, 3, 3, 3, 0, 2, 0, 1, 1, 1, 0, 2, 2, 1, 0, 1, 1, 1, 1, 3, 3, 0, 0, 0, 33
C aeolian (0), 0, 0, 0, 0, 1, 2, 2, 3, 0, 2, 0, 2, 1, 2, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 2, 0, 1, 1, 24
C locrian (0), 0, 2, 1, 1, 2, 3, 4, 2, 0, 3, 0, 0, 1, 0, 0, 2, 3, 1, 0, 2, 1, 1, 2, 3, 3, 1, 0, 0, 38
F major (1b), 0, 1, 1, 1, 1, 3, 3, 2, 0, 2, 0, 1, 1, 1, 0, 2, 3, 1, 0, 1, 1, 1, 1, 3, 3, 0, 0, 0, 33
G major (1#), 0, 0, 0, 0, 1, 2, 3, 2, 0, 1, 0, 2, 3, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3, 0, 1, 1, 25
D minor (1b), 1, 2, 2, 2, 1, 2, 3, 4, 1, 3, 1, 2, 3, 2, 1, 2, 2, 2, 1, 2, 2, 2, 1, 2, 3, 1, 1, 1, 52
E minor (1#), 1, 0, 0, 0, 0, 3, 5, 2, 1, 1, 0, 1, 3, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 3, 5, 0, 2, 1, 34
D minor mel (1b), 1, 1, 1, 1, 1, 1, 2, 4, 1, 3, 1, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 2, 43
E minor mel (1#), 2, 1, 1, 1, 0, 2, 4, 3, 2, 2, 1, 2, 4, 2, 2, 1, 1, 2, 2, 1, 1, 1, 0, 2, 4, 1, 3, 2, 50
F major blues (1b), 0, 3, 2, 2, 2, 3, 5, 2, 0, 3, 0, 2, 1, 2, 0, 3, 4, 1, 0, 3, 2, 2, 2, 3, 4, 2, 1, 1, 55
G major blues (1#), 1, 2, 2, 2, 1, 3, 4, 4, 1, 3, 1, 3, 4, 3, 2, 2, 2, 2, 1, 2, 2, 2, 1, 3, 4, 1, 2, 2, 62
D minor blues (1b), 0, 3, 2, 2, 2, 3, 6, 3, 0, 3, 0, 2, 2, 2, 0, 3, 3, 1, 0, 3, 2, 2, 2, 3, 5, 2, 1, 1, 58
E minor blues (1#), 1, 2, 2, 2, 1, 3, 5, 5, 1, 3, 1, 3, 4, 3, 2, 2, 2, 2, 1, 2, 2, 2, 1, 3, 5, 1, 2, 2, 65
F dorian (1b), 0, 0, 0, 0, 1, 2, 2, 2, 0, 2, 0, 2, 1, 2, 0, 1, 2, 0, 0, 0, 0, 0, 1, 2, 2, 0, 1, 1, 24
G dorian (1#), 1, 1, 1, 1, 1, 1, 2, 3, 1, 2, 1, 3, 4, 3, 2, 0, 0, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 2, 41
F phrygian (1b), 0, 2, 1, 1, 2, 3, 4, 1, 0, 3, 0, 0, 1, 0, 0, 2, 4, 1, 0, 2, 1, 1, 2, 3, 3, 1, 0, 0, 38
G phrygian (1#), 0, 0, 0, 0, 1, 2, 3, 3, 0, 2, 0, 2, 2, 2, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 3, 0, 1, 1, 27
F lydian (1b), 0, 0, 0, 0, 1, 2, 2, 2, 0, 2, 0, 2, 1, 2, 0, 1, 2, 0, 0, 0, 0, 0, 1, 2, 2, 0, 1, 1, 24
G lydian (1#), 1, 1, 1, 1, 1, 1, 2, 3, 1, 2, 1, 3, 4, 3, 2, 0, 0, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 2, 41
F mixolydian (1b), 0, 2, 1, 1, 2, 3, 4, 1, 0, 3, 0, 0, 1, 0, 0, 2, 4, 1, 0, 2, 1, 1, 2, 3, 3, 1, 0, 0, 38
G mixolydian (1#), 0, 0, 0, 0, 1, 2, 3, 3, 0, 2, 0, 2, 2, 2, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 3, 0, 1, 1, 27
F aeolian (1b), 0, 1, 1, 1, 1, 3, 3, 2, 0, 2, 0, 1, 1, 1, 0, 2, 3, 1, 0, 1, 1, 1, 1, 3, 3, 0, 0, 0, 33
G aeolian (1#), 0, 0, 0, 0, 1, 2, 3, 2, 0, 1, 0, 2, 3, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3, 0, 1, 1, 25
F locrian (1b), 0, 3, 2, 2, 2, 3, 5, 1, 0, 3, 0, 0, 1, 0, 0, 3, 4, 1, 0, 3, 2, 2, 2, 3, 4, 2, 0, 0, 48
G locrian (1#), 0, 1, 1, 1, 1, 3, 4, 3, 0, 2, 0, 1, 2, 1, 0, 2, 2, 1, 0, 1, 1, 1, 1, 3, 4, 0, 0, 0, 36
Bb major (2b), 0, 3, 2, 2, 2, 3, 3, 1, 0, 3, 0, 0, 1, 0, 0, 2, 4, 3, 0, 3, 2, 2, 2, 3, 2, 1, 0, 0, 44
D major (2#), 1, 1, 1, 1, 1, 1, 2, 3, 1, 2, 1, 3, 4, 3, 2, 0, 0, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 2, 41
G minor (2b), 0, 2, 1, 1, 2, 3, 5, 1, 0, 2, 0, 0, 3, 0, 1, 1, 2, 1, 0, 2, 1, 1, 2, 3, 4, 1, 0, 0, 39
B minor (2#), 1, 2, 2, 2, 1, 1, 2, 4, 1, 3, 1, 2, 4, 2, 2, 1, 0, 1, 1, 2, 2, 2, 1, 1, 2, 2, 1, 1, 47
