 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, rowcost
C major (0), 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/1, 0/0, 0/0, 1/0, 1/0, 1/0, 2/0, 3/1, 1/0, 2/1, 1/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 1/1, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 1/0, 0/0, 0/0, 1/0,  , 3/1, 2/0, 3/1, 2/0, 32/6
A minor (0), 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 1/0, 1/0, 1/1, 2/1, 3/1, 1/0, 2/0, 1/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 1/0, 0/0, 0/0, 1/0,  , 3/1, 2/2, 3/1, 3/2, 33/9
F major (1b), 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 1/0, 2/0, 2/0, 1/0, 2/0, 2/1, 0/0, 0/0, 1/0, 1/0, 1/1, 0/0, 0/0, 0/0, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0,  , 2/2, 1/0, 2/1, 1/0, 21/7
G major (1#), 0/0, 1/0, 1/0, 0/0, 1/0, 1/0, 0/0, 0/0, 1/0, 1/0, 0/0, 1/0, 0/0, 1/0, 0/0, 1/0, 0/0, 1/0, 1/0, 1/0, 1/0, 2/1, 2/1, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 1/0, 0/0, 1/0, 1/0, 0/0, 1/0, 1/0, 0/0, 0/0, 1/0, 1/0, 0/0, 1/0, 0/0, 1/0, 1/0,  , 4/1, 3/2, 4/1, 2/2, 42/8
D minor (1b), 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 1/0, 2/1, 2/1, 1/0, 2/0, 2/0, 0/0, 0/0, 1/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0,  , 2/1, 1/2, 2/1, 2/2, 22/8
E minor (1#), 0/0, 1/0, 1/1, 0/0, 1/0, 1/0, 0/0, 0/0, 1/1, 1/0, 0/0, 1/1, 0/0, 1/0, 0/0, 1/0, 0/0, 1/0, 1/1, 1/1, 1/0, 2/0, 2/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 1/0, 0/0, 1/0, 1/1, 0/0, 1/0, 1/0, 0/0, 0/0, 1/1, 1/0, 0/0, 1/1, 0/0, 1/0, 1/1,  , 4/2, 3/2, 4/2, 3/4, 43/19
Bb major (2b), 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 2/0, 1/0, 2/0, 2/0, 1/0, 1/0, 1/1, 1/1, 1/1, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0,  , 2/1, 1/0, 2/1, 1/0, 21/5
D major (2#), 0/0, 1/0, 1/0, 0/0, 1/0, 1/0, 0/0, 1/0, 1/0, 1/0, 0/0, 1/0, 0/0, 1/0, 1/0, 0/0, 0/0, 1/0, 1/0, 1/0, 1/0, 1/1, 1/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 1/0, 0/0, 0/0, 1/0, 1/0, 0/0, 1/0, 1/0, 0/0, 1/0, 1/0, 1/0, 0/0, 1/0, 0/0, 1/0, 1/0,  , 3/1, 3/2, 3/1, 3/2, 40/8
G minor (2b), 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/1, 2/2, 1/1, 2/2, 2/0, 1/0, 1/0, 1/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0,  , 2/1, 1/0, 2/2, 1/0, 21/9
B minor (2#), 0/0, 1/1, 1/0, 0/0, 1/0, 1/0, 0/0, 1/1, 1/0, 1/1, 0/0, 1/0, 0/0, 1/0, 1/1, 0/0, 0/0, 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/1, 0/0, 1/0, 0/0, 0/0, 1/1, 1/1, 0/0, 1/1, 1/1, 0/0, 1/0, 1/0, 1/0, 0/0, 1/0, 0/0, 1/1, 1/0,  , 3/3, 3/0, 3/3, 3/1, 40/17
Eb major (3b), 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 2/0, 1/0, 3/0, 2/0, 1/0, 1/0, 1/0, 2/1, 2/1, 1/0, 1/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0,  , 2/1, 0/0, 2/1, 0/0, 24/4
A major (3#), 0/0, 2/0, 1/0, 1/0, 1/0, 1/0, 0/0, 1/0, 1/0, 2/0, 0/0, 1/0, 1/0, 1/0, 1/0, 0/0, 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 1/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 1/0, 0/0, 0/0, 2/0, 1/0, 1/0, 1/0, 1/0, 0/0, 1/0, 1/0, 1/0, 0/0, 1/0, 1/0, 2/0, 1/0,  , 4/1, 2/2, 4/1, 2/3, 50/8
C minor (3b), 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 2/1, 1/1, 3/1, 2/2, 1/0, 1/0, 1/0, 2/0, 2/0, 1/0, 1/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0,  , 2/2, 0/0, 2/1, 0/0, 24/8
F# minor (3#), 0/0, 2/1, 1/0, 1/0, 1/0, 1/0, 0/0, 1/0, 1/0, 2/1, 0/0, 1/0, 1/0, 1/0, 1/0, 0/0, 1/1, 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 1/1, 0/0, 0/0, 2/1, 1/0, 1/0, 1/0, 1/0, 0/0, 1/0, 1/0, 1/0, 0/0, 1/0, 1/0, 2/1, 1/0,  , 4/3, 2/0, 4/3, 2/1, 50/13
Ab major (4b), 1/0, 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 0/0, 1/0, 0/0, 1/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 3/2, 2/0, 1/0, 1/0, 1/0, 3/2, 4/2, 3/2, 3/2, 1/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0,  , 1/1, 0/0, 1/1, 0/0, 38/12
E major (4#), 1/0, 2/1, 1/0, 1/0, 1/0, 2/0, 1/0, 1/0, 2/0, 2/1, 1/0, 1/0, 1/0, 2/0, 1/0, 0/0, 1/0, 2/0, 1/0, 1/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 2/0, 2/0, 1/0, 0/0, 1/0, 2/1, 1/0, 1/0, 1/0, 2/0, 1/0, 1/0, 1/0, 2/1, 1/0, 1/0, 1/0, 2/1, 1/0,  , 5/3, 2/1, 5/3, 2/1, 66/13
