 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, rowcost
G minor mel (2b), 1, 0, 1, 0, 1, 1, 2, 1, 1, 2, 2, 0, 1, 2, 2, 0, 1, 0, 1, 0, 1, 0, 0, 0, 20
B minor mel (2#), 3, 1, 0, 1, 3, 2, 2, 1, 2, 1, 2, 0, 2, 1, 2, 1, 3, 1, 0, 1, 3, 1, 0, 0, 33
Bb major blues (2b), 2, 0, 2, 1, 2, 1, 1, 0, 1, 2, 2, 0, 1, 2, 2, 1, 2, 0, 2, 1, 2, 0, 0, 0, 27
D major blues (2#), 2, 2, 2, 2, 2, 3, 3, 2, 2, 2, 3, 1, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 1, 1, 49
G minor blues (2b), 2, 0, 2, 1, 2, 1, 1, 0, 1, 2, 3, 0, 1, 2, 3, 1, 2, 0, 2, 1, 2, 0, 0, 0, 29
B minor blues (2#), 2, 2, 1, 2, 2, 3, 3, 2, 2, 2, 4, 1, 2, 2, 4, 2, 2, 2, 1, 2, 2, 2, 1, 1, 49
Bb dorian (2b), 0, 0, 1, 0, 0, 1, 1, 0, 1, 2, 1, 0, 1, 2, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 12
D dorian (2#), 2, 2, 2, 2, 2, 3, 2, 2, 2, 1, 2, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 44
Bb phrygian (2b), 1, 1, 2, 2, 1, 2, 2, 1, 1, 2, 3, 1, 1, 2, 3, 2, 1, 1, 2, 2, 1, 1, 1, 1, 37
D phrygian (2#), 2, 1, 2, 2, 2, 2, 3, 2, 1, 2, 3, 1, 1, 2, 3, 2, 2, 1, 2, 2, 2, 1, 1, 1, 43
Bb lydian (2b), 1, 1, 2, 1, 1, 2, 2, 2, 1, 2, 2, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 33
D lydian (2#), 1, 1, 2, 1, 1, 2, 2, 2, 1, 2, 3, 1, 1, 2, 3, 1, 1, 1, 2, 1, 1, 1, 1, 1, 35
Bb mixolydian (2b), 1, 1, 2, 1, 1, 2, 2, 2, 1, 2, 2, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 33
D mixolydian (2#), 0, 0, 1, 0, 0, 1, 1, 0, 1, 2, 1, 0, 1, 2, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 12
Bb aeolian (2b), 1, 1, 2, 1, 1, 2, 2, 2, 1, 2, 2, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 33
D aeolian (2#), 0, 0, 1, 0, 0, 1, 1, 0, 1, 2, 1, 0, 1, 2, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 12
Bb locrian (2b), 0, 1, 2, 1, 0, 2, 1, 1, 1, 2, 2, 1, 1, 2, 2, 1, 0, 1, 2, 1, 0, 1, 1, 1, 27
D locrian (2#), 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 10
Eb major (3b), 0, 0, 1, 0, 0, 1, 1, 0, 1, 2, 1, 0, 1, 2, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 12
A major (3#), 1, 1, 2, 1, 1, 2, 2, 2, 1, 2, 3, 1, 1, 2, 3, 1, 1, 1, 2, 1, 1, 1, 1, 1, 35
C minor (3b), 0, 1, 1, 0, 0, 2, 0, 0, 2, 1, 1, 0, 2, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 15
F# minor (3#), 2, 1, 2, 2, 2, 2, 2, 2, 1, 1, 4, 1, 1, 1, 4, 2, 2, 1, 2, 2, 2, 1, 1, 1, 42
C minor mel (3b), 0, 1, 2, 1, 0, 2, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 0, 1, 2, 1, 0, 1, 1, 1, 25
F# minor mel (3#), 2, 2, 2, 3, 2, 2, 1, 1, 1, 0, 3, 1, 1, 0, 3, 3, 2, 2, 2, 3, 2, 2, 1, 1, 42
Eb major blues (3b), 0, 1, 2, 1, 0, 2, 1, 1, 1, 2, 2, 1, 1, 2, 2, 1, 0, 1, 2, 1, 0, 1, 1, 1, 27
A major blues (3#), 1, 1, 2, 2, 1, 2, 2, 1, 1, 2, 3, 1, 1, 2, 3, 2, 1, 1, 2, 2, 1, 1, 1, 1, 37
C minor blues (3b), 2, 1, 2, 2, 2, 2, 3, 2, 1, 2, 3, 1, 1, 2, 3, 2, 2, 1, 2, 2, 2, 1, 1, 1, 43
F# minor blues (3#), 1, 1, 2, 1, 1, 2, 2, 2, 1, 2, 2, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 33
Eb dorian (3b), 1, 1, 2, 1, 1, 2, 2, 2, 1, 2, 3, 1, 1, 2, 3, 1, 1, 1, 2, 1, 1, 1, 1, 1, 35
