 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, rowcost
C major (0), 1/0, 0/0, 0/0, 2/2, 1/0, 2/1, 2/0, 2/0, 0/0, 3/2, 1/0, 1/0, 1/0, 2/0, 1/0, 1/0, 20/5
A minor (0), 1/0, 0/0, 0/0, 4/4, 1/0, 3/1, 2/3, 2/2, 0/0, 4/2, 1/0, 2/1, 1/2, 2/0, 1/2, 1/1, 25/18
F major (1b), 0/0, 1/0, 0/0, 1/2, 0/0, 1/0, 1/0, 2/0, 0/0, 3/3, 1/1, 1/1, 1/2, 2/1, 0/0, 0/0, 14/10
G major (1#), 1/0, 0/0, 0/0, 2/2, 1/0, 3/1, 2/0, 3/0, 0/0, 2/2, 2/1, 2/1, 2/2, 1/3, 1/2, 1/1, 23/15
D minor (1b), 0/0, 1/0, 0/0, 3/2, 0/0, 2/1, 1/3, 2/1, 0/0, 3/1, 1/1, 2/1, 1/0, 2/0, 0/0, 0/0, 18/10
E minor (1#), 1/0, 0/0, 0/0, 4/4, 1/1, 4/3, 2/4, 3/2, 0/0, 3/2, 2/0, 3/1, 2/1, 1/0, 1/0, 1/0, 28/18
Bb major (2b), 0/0, 1/1, 0/0, 1/2, 0/0, 1/1, 1/0, 1/0, 0/0, 3/2, 1/0, 1/0, 0/0, 1/0, 0/0, 0/0, 11/6
D major (2#), 1/0, 0/0, 1/0, 5/2, 1/0, 4/1, 2/3, 3/1, 0/0, 3/2, 2/0, 3/1, 2/2, 1/0, 1/0, 1/0, 30/12
G minor (2b), 0/0, 1/0, 0/0, 1/2, 0/0, 1/1, 1/0, 1/0, 0/0, 2/1, 1/0, 1/0, 0/0, 1/0, 0/0, 0/0, 10/4
B minor (2#), 1/0, 0/0, 1/0, 5/4, 1/0, 4/3, 2/0, 3/0, 0/0, 3/1, 2/0, 3/1, 2/1, 1/0, 1/0, 1/0, 30/10
Eb major (3b), 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 2/1, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 4/2
