 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, rowcost
C major (0), 1, 0, 0, 2, 1, 2, 2, 2, 0, 3, 1, 1, 1, 2, 1, 1, 20
A minor (0), 1, 0, 0, 3, 1, 2, 1, 1, 1, 5, 0, 1, 2, 2, 1, 1, 22
F major (1b), 0, 1, 0, 1, 0, 1, 1, 2, 0, 3, 1, 1, 1, 2, 0, 0, 14
G major (1#), 1, 0, 0, 2, 1, 3, 2, 3, 0, 2, 2, 2, 2, 1, 1, 1, 23
D minor (1b), 0, 1, 1, 4, 0, 2, 1, 2, 0, 3, 1, 2, 1, 2, 0, 0, 20
E minor (1#), 1, 0, 0, 4, 1, 4, 2, 2, 0, 3, 2, 3, 1, 0, 2, 1, 26
Bb major (2b), 0, 1, 0, 1, 0, 1, 1, 1, 0, 3, 1, 1, 0, 1, 0, 0, 11
D major (2#), 1, 0, 1, 5, 1, 4, 2, 3, 0, 3, 2, 3, 2, 1, 1, 1, 30
G minor (2b), 0, 1, 0, 1, 0, 2, 1, 2, 0, 1, 2, 2, 1, 0, 0, 0, 13
B minor (2#), 0, 0, 1, 4, 0, 3, 1, 3, 0, 2, 2, 3, 2, 1, 0, 0, 22
Eb major (3b), 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 4
A major (3#), 1, 0, 1, 4, 1, 3, 1, 2, 1, 4, 1, 2, 3, 1, 1, 1, 27
C minor (3b), 1, 0, 0, 1, 1, 1, 1, 0, 0, 2, 0, 0, 0, 1, 1, 1, 10
F# minor (3#), 1, 0, 1, 4, 1, 2, 1, 1, 1, 4, 0, 1, 2, 1, 1, 1, 22
Ab major (4b), 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 1, 0, 5
E major (4#), 1, 0, 1, 4, 1, 3, 1, 1, 1, 4, 1, 2, 2, 0, 2, 1, 25
F minor (4b), 0, 1, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 1, 2, 1, 0, 8
C# minor (4#), 1, 1, 0, 3, 1, 4, 1, 1, 2, 6, 1, 3, 3, 0, 2, 1, 30
Db major (5b), 0, 1, 0, 1, 0, 1, 0, 0, 1, 3, 0, 1, 1, 0, 2, 0, 11
B major (5#), 0, 0, 1, 3, 0, 2, 0, 1, 1, 3, 1, 2, 2, 0, 1, 0, 17
Bb minor (5b), 0, 1, 0, 2, 0, 2, 1, 1, 1, 4, 1, 2, 1, 0, 1, 0, 17
G# minor (5#), 0, 0, 1, 1, 0, 1, 0, 1, 0, 3, 1, 1, 1, 1, 2, 0, 13
Gb major (6b), 0, 0, 1, 4, 0, 2, 0, 0, 2, 5, 0, 2, 2, 0, 2, 0, 20
F# major (6#), 0, 0, 1, 3, 0, 1, 0, 0, 1, 3, 0, 1, 1, 0, 1, 0, 12
Eb minor (6b), 0, 0, 1, 2, 0, 1, 0, 0, 1, 3, 0, 1, 1, 0, 0, 0, 10
D# minor (6#), 0, 0, 1, 3, 0, 2, 0, 0, 2, 5, 0, 2, 2, 0, 0, 0, 17
Cb major (7b), 0, 0, 2, 5, 0, 3, 0, 1, 2, 5, 1, 3, 3, 0, 2, 0, 27
C# major (7#), 0, 1, 0, 2, 0, 2, 0, 0, 2, 5, 0, 2, 2, 0, 1, 0, 17
Ab minor (7b), 0, 0, 1, 1, 0, 1, 0, 1, 0, 2, 1, 1, 1, 1, 1, 0, 11
A# minor (7#), 0, 1, 0, 3, 0, 3, 1, 1, 2, 6, 1, 3, 2, 0, 2, 0, 25
