 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, rowcost
C major (0), 0/0, 2/1, 5/2, 6/2, 2/0, 4/2, 4/2, 6/3, 6/3, 2/1, 6/5, 2/2, 0/0, 7/6, 3/3, 0/0, 0/0, 55/32
A minor (0), 0/0, 2/1, 5/4, 4/1, 2/0, 6/3, 2/0, 2/0, 2/0, 2/0, 2/3, 2/2, 0/0, 3/4, 3/3, 0/0, 0/0, 37/21
F major (1b), 0/0, 1/0, 4/1, 6/2, 2/0, 5/3, 6/4, 10/6, 10/6, 2/2, 6/5, 2/2, 0/0, 7/6, 3/3, 0/0, 0/0, 64/40
G major (1#), 0/0, 3/2, 6/3, 5/2, 1/0, 5/2, 1/2, 1/3, 1/3, 1/1, 6/5, 3/2, 1/0, 7/6, 4/3, 1/0, 1/0, 47/34
D minor (1b), 0/0, 1/0, 4/3, 6/2, 2/0, 6/2, 2/2, 2/3, 2/3, 2/1, 4/3, 2/2, 0/0, 5/4, 3/3, 0/0, 0/0, 41/28
E minor (1#), 0/0, 3/5, 6/6, 3/1, 1/0, 5/2, 1/0, 1/0, 1/0, 1/0, 2/5, 3/4, 1/2, 3/5, 4/5, 1/2, 1/2, 37/39
Bb major (2b), 0/0, 0/0, 3/1, 5/2, 1/0, 4/2, 6/4, 10/6, 10/6, 2/2, 5/2, 1/0, 0/0, 6/3, 3/2, 0/0, 0/0, 56/30
D major (2#), 1/0, 4/2, 7/4, 5/3, 1/1, 4/3, 0/0, 0/0, 0/0, 0/0, 4/5, 3/2, 1/0, 4/4, 5/3, 1/0, 1/0, 41/27
G minor (2b), 0/0, 0/0, 3/3, 5/4, 1/3, 5/2, 2/2, 2/3, 2/3, 2/1, 5/4, 1/0, 0/0, 6/3, 3/2, 0/0, 0/0, 37/30
B minor (2#), 1/1, 4/1, 6/2, 3/4, 1/0, 4/2, 0/0, 0/0, 0/0, 0/0, 2/5, 3/4, 1/0, 2/5, 4/2, 1/0, 1/0, 33/26
Eb major (3b), 0/0, 0/0, 2/1, 4/2, 1/0, 4/2, 6/4, 10/6, 10/6, 2/2, 3/2, 0/0, 0/0, 4/3, 2/1, 0/0, 0/0, 48/29
A major (3#), 2/2, 4/3, 6/6, 4/5, 1/0, 5/3, 1/2, 1/0, 1/0, 1/0, 3/3, 4/2, 1/0, 3/3, 6/5, 1/2, 1/2, 45/38
C minor (3b), 0/0, 0/0, 2/1, 5/3, 1/3, 4/4, 4/2, 6/3, 6/3, 2/1, 4/2, 0/0, 0/0, 5/3, 2/2, 0/0, 0/0, 41/27
F# minor (3#), 2/1, 4/1, 4/2, 4/2, 1/0, 5/2, 1/2, 1/0, 1/0, 1/0, 3/5, 4/4, 1/0, 3/5, 4/2, 1/0, 1/0, 41/26
Ab major (4b), 1/0, 0/0, 1/1, 4/2, 1/0, 5/2, 7/4, 11/6, 11/6, 3/2, 4/3, 1/0, 0/0, 5/4, 1/1, 0/0, 0/0, 55/31
E major (4#), 3/1, 3/4, 5/5, 3/2, 0/0, 3/3, 2/2, 2/3, 2/3, 2/1, 4/3, 5/2, 1/0, 4/3, 6/5, 1/2, 1/2, 47/41
F minor (4b), 1/0, 0/0, 1/1, 5/2, 1/0, 5/4, 7/4, 11/6, 11/6, 3/2, 5/2, 1/0, 0/0, 6/3, 1/1, 0/0, 0/0, 58/31
C# minor (4#), 4/5, 3/0, 3/0, 5/3, 0/0, 4/3, 7/4, 10/6, 10/6, 4/2, 4/7, 5/3, 1/0, 4/5, 5/3, 1/0, 1/0, 71/47
Db major (5b), 3/2, 0/0, 0/0, 3/2, 0/0, 5/4, 6/6, 8/9, 8/9, 4/4, 7/5, 4/2, 0/0, 7/6, 2/1, 0/0, 0/0, 57/50
B major (5#), 3/1, 2/1, 3/2, 3/2, 0/0, 2/2, 2/0, 2/0, 2/0, 2/0, 5/5, 5/4, 1/0, 5/5, 5/2, 1/0, 1/0, 44/24
Bb minor (5b), 2/0, 0/0, 0/1, 4/2, 0/0, 5/2, 8/4, 12/6, 12/6, 4/2, 6/2, 2/1, 0/0, 7/3, 2/1, 0/0, 0/0, 64/30
G# minor (5#), 5/7, 2/1, 2/0, 5/3, 0/0, 5/3, 12/8, 18/12, 18/12, 6/4, 5/9, 5/8, 1/0, 6/4, 5/5, 1/0, 1/0, 97/76
Gb major (6b), 5/6, 1/0, 1/0, 3/3, 0/0, 4/4, 4/8, 4/12, 4/12, 4/6, 9/7, 6/4, 0/0, 9/8, 4/3, 0/0, 0/0, 58/73
F# major (6#), 3/3, 1/0, 1/0, 2/2, 0/0, 3/2, 2/2, 2/3, 2/3, 2/1, 6/5, 4/2, 0/0, 6/4, 3/2, 0/0, 0/0, 37/29
Eb minor (6b), 3/0, 1/0, 1/1, 3/2, 0/0, 4/2, 8/4, 12/6, 12/6, 4/2, 5/2, 2/0, 0/0, 6/3, 3/2, 0/0, 0/0, 64/30
D# minor (6#), 5/5, 1/0, 1/1, 4/3, 0/0, 5/3, 12/8, 18/12, 18/12, 6/4, 8/4, 4/2, 0/0, 9/4, 4/5, 0/0, 0/0, 95/63
Cb major (7b), 6/8, 3/2, 4/4, 4/3, 0/0, 4/5, 4/8, 4/12, 4/12, 4/6, 8/7, 7/4, 1/0, 8/6, 7/5, 1/0, 1/0, 70/82
C# major (7#), 3/5, 0/0, 0/0, 4/3, 0/0, 4/2, 7/4, 10/6, 10/6, 4/2, 6/2, 4/3, 0/0, 6/5, 3/3, 0/0, 0/0, 61/41
Ab minor (7b), 3/0, 2/0, 2/1, 4/2, 0/0, 4/2, 8/4, 12/6, 12/6, 4/2, 4/3, 3/0, 1/0, 5/3, 4/1, 1/0, 1/0, 70/30
A# minor (7#), 4/5, 0/0, 0/0, 6/4, 0/0, 6/2, 12/8, 18/12, 18/12, 6/4, 10/6, 4/2, 0/0, 11/6, 3/5, 0/0, 0/0, 98/66
