 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, rowcost
C major (0), 1/0, 1/0, 3/2, 1/1, 2/2, 1/0, 4/2, 1/0, 4/2, 2/0, 1/2, 2/1, 2/1, 2/0, 1/2, 2/1, 1/0, 1/0, 3/2, 1/0, 2/1, 1/0, 4/2, 1/0, 4/2, 2/0, 1/2, 2/1, 2/1, 2/1, 3/1,  , 1/1, 2/1, 1/1, 2/2, 3/0, 3/2, 3/1, 3/0, 2/0, 80/37
A minor (0), 1/1, 1/2, 4/3, 1/0, 2/1, 1/2, 5/4, 1/0, 3/2, 2/3, 1/0, 3/2, 1/1, 2/1, 1/0, 3/2, 1/1, 1/2, 4/2, 1/0, 2/1, 1/2, 5/4, 1/0, 3/2, 2/3, 1/0, 3/2, 1/1, 2/1, 3/2,  , 1/0, 2/1, 1/1, 3/2, 4/1, 3/2, 3/2, 3/1, 2/1, 85/58
F major (1b), 0/0, 0/0, 2/1, 1/0, 2/1, 1/0, 3/2, 1/1, 4/2, 1/1, 2/2, 1/1, 2/1, 1/0, 2/2, 1/1, 0/0, 0/0, 2/1, 1/0, 2/1, 1/0, 3/2, 1/1, 4/2, 1/1, 2/2, 1/1, 2/1, 1/1, 2/1,  , 0/0, 1/1, 0/0, 1/1, 2/1, 2/2, 2/1, 2/1, 2/2, 59/38
G major (1#), 1/0, 1/0, 4/2, 1/0, 3/1, 2/2, 5/2, 0/0, 3/2, 2/0, 1/2, 2/1, 3/1, 2/0, 1/2, 2/1, 1/0, 1/0, 4/2, 1/0, 3/1, 2/2, 5/2, 0/0, 3/2, 2/0, 1/2, 2/1, 3/1, 2/1, 3/1,  , 1/0, 2/1, 2/1, 3/1, 2/0, 3/3, 4/3, 2/0, 1/0, 86/40
D minor (1b), 0/0, 0/0, 2/2, 1/0, 2/1, 1/2, 4/3, 1/0, 3/2, 1/1, 2/2, 2/1, 1/1, 1/0, 2/2, 2/1, 0/0, 0/0, 2/2, 1/0, 2/1, 1/2, 4/3, 1/0, 3/2, 1/1, 2/2, 2/1, 1/1, 1/1, 2/1,  , 0/0, 1/1, 0/0, 1/1, 2/0, 2/2, 2/2, 2/0, 2/0, 60/41
E minor (1#), 1/1, 1/2, 5/4, 1/0, 3/1, 2/2, 6/4, 0/0, 2/2, 2/1, 1/0, 3/2, 2/2, 2/2, 1/0, 3/2, 1/1, 1/2, 5/4, 1/0, 3/1, 2/2, 6/4, 0/0, 2/2, 2/1, 1/0, 3/2, 2/2, 1/2, 3/2,  , 1/1, 1/1, 2/1, 5/2, 3/2, 2/2, 4/2, 2/2, 1/1, 89/64
Bb major (2b), 0/0, 0/0, 1/1, 1/0, 1/1, 0/0, 2/1, 1/0, 4/2, 0/0, 3/1, 1/0, 2/1, 0/0, 3/1, 1/0, 0/0, 0/0, 1/1, 1/0, 1/1, 0/0, 2/1, 1/0, 4/2, 0/0, 3/1, 1/0, 2/1, 3/1, 1/1,  , 0/0, 2/1, 0/0, 0/0, 1/1, 3/2, 1/1, 1/1, 1/2, 49/25
D major (2#), 2/1, 2/2, 5/2, 0/0, 2/1, 2/2, 6/3, 0/0, 2/2, 2/1, 1/2, 4/2, 2/2, 2/1, 1/2, 4/2, 2/1, 2/2, 5/2, 0/0, 2/1, 2/2, 6/3, 0/0, 2/2, 2/1, 1/2, 4/2, 2/2, 3/3, 4/4,  , 2/2, 3/2, 3/1, 4/2, 3/0, 3/2, 5/2, 2/0, 1/0, 100/63
G minor (2b), 0/0, 0/0, 1/1, 1/1, 1/1, 0/0, 2/2, 1/0, 4/2, 0/0, 3/2, 1/1, 2/1, 0/0, 3/2, 1/1, 0/0, 0/0, 1/1, 1/1, 1/1, 0/0, 2/2, 1/0, 4/2, 0/0, 3/2, 1/1, 2/1, 2/1, 1/1,  , 0/0, 1/1, 0/0, 0/0, 1/0, 3/2, 1/1, 1/0, 1/0, 47/31
B minor (2#), 2/1, 2/2, 6/3, 0/0, 2/1, 2/4, 5/5, 0/0, 2/3, 2/1, 1/0, 4/2, 2/2, 2/3, 1/0, 4/2, 2/1, 2/2, 6/3, 0/0, 2/1, 2/4, 5/5, 0/0, 2/3, 2/1, 1/0, 4/2, 2/2, 2/1, 4/3,  , 2/1, 2/1, 3/2, 6/4, 4/2, 2/2, 5/3, 2/1, 1/0, 100/73
Eb major (3b), 0/0, 0/0, 1/1, 1/0, 1/0, 0/0, 1/1, 1/0, 3/2, 0/0, 2/1, 0/0, 1/1, 0/0, 2/1, 0/0, 0/0, 0/0, 1/1, 1/0, 1/0, 0/0, 1/1, 1/0, 3/2, 0/0, 2/1, 0/0, 1/1, 3/2, 0/1,  , 0/0, 2/1, 0/0, 1/0, 1/1, 2/2, 0/0, 1/0, 1/0, 35/20
A major (3#), 2/1, 2/2, 6/3, 0/0, 3/1, 3/2, 7/4, 0/0, 3/2, 3/1, 1/2, 3/2, 3/2, 3/1, 1/2, 3/2, 3/1, 2/2, 6/3, 0/0, 3/1, 3/2, 7/4, 0/0, 3/2, 3/1, 1/2, 3/2, 3/2, 4/2, 3/2,  , 2/1, 3/1, 3/1, 6/2, 4/2, 4/2, 4/2, 2/1, 1/0, 116/65
C minor (3b), 0/0, 0/0, 1/2, 1/1, 1/2, 0/0, 1/1, 1/1, 3/3, 0/0, 3/2, 0/0, 1/1, 0/0, 3/2, 0/0, 0/0, 0/0, 1/1, 1/0, 1/1, 0/0, 1/1, 1/1, 3/3, 0/0, 3/2, 0/0, 1/1, 2/1, 0/1,  , 0/0, 1/1, 0/1, 1/1, 1/0, 3/2, 0/1, 1/0, 1/0, 37/33
F# minor (3#), 2/1, 2/2, 5/3, 0/0, 3/1, 3/4, 6/3, 0/0, 3/1, 3/1, 1/0, 3/3, 3/3, 3/2, 1/0, 3/3, 3/1, 2/2, 5/3, 0/0, 3/1, 3/4, 6/3, 0/0, 3/1, 3/1, 1/0, 3/3, 3/3, 3/3, 3/3,  , 2/2, 2/2, 3/3, 7/5, 4/3, 3/1, 4/3, 2/0, 1/0, 110/74
