 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, rowcost
C major (0), 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 4
A minor (0), 0, 0, 0, 0, 1, 1, 0, 2, 0, 1, 0, 1, 6
A minor mel (0), 0, 0, 0, 0, 1, 1, 0, 2, 0, 1, 0, 1, 6
C major blues (0), 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 10
A minor blues (0), 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 10
C dorian (0), 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 4
C phrygian (0), 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 7
C lydian (0), 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 4
C mixolydian (0), 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 7
C aeolian (0), 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 4
C locrian (0), 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 7
F major (1b), 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 7
G major (1#), 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 4
D minor (1b), 1, 2, 2, 1, 1, 1, 1, 1, 0, 0, 1, 0, 11
E minor (1#), 1, 1, 1, 0, 2, 3, 0, 1, 0, 1, 0, 0, 10
D minor mel (1b), 0, 1, 1, 0, 2, 2, 0, 1, 0, 1, 0, 0, 8
E minor mel (1#), 1, 2, 2, 0, 3, 4, 0, 1, 0, 1, 0, 0, 14
F major blues (1b), 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 2, 1, 15
G major blues (1#), 1, 2, 2, 1, 2, 2, 1, 1, 0, 1, 1, 0, 14
D minor blues (1b), 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 2, 1, 15
E minor blues (1#), 1, 2, 2, 1, 2, 3, 1, 1, 0, 1, 1, 0, 15
F dorian (1b), 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 4
G dorian (1#), 0, 1, 1, 0, 2, 2, 0, 1, 0, 1, 0, 0, 8
F phrygian (1b), 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 7
G phrygian (1#), 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 4
F lydian (1b), 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 4
G lydian (1#), 0, 1, 1, 0, 2, 2, 0, 1, 0, 1, 0, 0, 8
F mixolydian (1b), 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 7
G mixolydian (1#), 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 4
F aeolian (1b), 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 7
G aeolian (1#), 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 4
F locrian (1b), 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 2, 1, 11
G locrian (1#), 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 7
Bb major (2b), 1, 3, 3, 1, 0, 0, 1, 1, 0, 0, 1, 0, 11
D major (2#), 0, 1, 1, 0, 2, 2, 0, 1, 0, 1, 0, 0, 8
