 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, rowcost
E minor blues (1#), 0, 1, 1, 2, 1, 1, 2, 2, 1, 2, 1, 1, 1, 0, 2, 1, 2, 2, 0, 0, 2, 3, 0, 1, 0, 1, 2, 2, 2, 1, 1, 1, 1, 0, 1, 2, 1, 0, 2, 3, 0, 0, 2, 2, 1, 3, 0, 57
F dorian (1b), 0, 0, 2, 1, 1, 0, 1, 1, 2, 2, 1, 1, 1, 0, 2, 2, 2, 1, 0, 0, 2, 3, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 36
G dorian (1#), 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 0, 2, 2, 0, 0, 2, 2, 1, 2, 0, 16
F phrygian (1b), 0, 1, 2, 3, 1, 1, 2, 2, 2, 1, 1, 2, 2, 1, 2, 2, 3, 3, 0, 0, 3, 4, 0, 1, 0, 1, 2, 2, 2, 1, 2, 2, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55
G phrygian (1#), 0, 0, 1, 1, 1, 0, 1, 1, 1, 2, 1, 1, 1, 0, 2, 1, 1, 1, 0, 0, 1, 2, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 30
F lydian (1b), 0, 0, 2, 1, 1, 0, 1, 1, 2, 2, 1, 1, 1, 0, 2, 2, 2, 1, 0, 0, 2, 3, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 36
G lydian (1#), 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 0, 2, 2, 0, 0, 2, 2, 1, 2, 0, 16
F mixolydian (1b), 0, 1, 2, 3, 1, 1, 2, 2, 2, 1, 1, 2, 2, 1, 2, 2, 3, 3, 0, 0, 3, 4, 0, 1, 0, 1, 2, 2, 2, 1, 2, 2, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55
G mixolydian (1#), 0, 0, 1, 1, 1, 0, 1, 1, 1, 2, 1, 1, 1, 0, 2, 1, 1, 1, 0, 0, 1, 2, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 30
F aeolian (1b), 0, 1, 2, 2, 1, 1, 2, 2, 2, 1, 1, 1, 1, 0, 2, 2, 3, 2, 0, 0, 3, 4, 0, 1, 0, 1, 2, 2, 2, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45
