 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, rowcost
C major (0), 3, 1, 2, 1, 0, 2, 3, 1, 3, 1, 2, 1, 0, 2, 3, 0, 2, 2, 0, 2, 2, 2, 1, 1, 3, 1, 2, 1, 0, 2, 3, 0, 3, 1, 0, 3, 3, 2, 1, 2, 2, 1, 2, 1, 0, 3, 1,  , 1, 4, 2, 0, 0, 3, 1, 1, 1, 1, 4, 6, 2, 3, 4, 3, 110
A minor (0), 3, 1, 2, 1, 0, 2, 2, 1, 3, 1, 2, 1, 0, 2, 2, 0, 2, 2, 0, 3, 1, 2, 1, 1, 3, 1, 2, 1, 0, 2, 2, 0, 3, 1, 0, 3, 4, 2, 3, 2, 2, 1, 3, 2, 0, 3, 1,  , 1, 4, 2, 0, 0, 1, 1, 1, 1, 1, 5, 7, 2, 3, 3, 4, 112
A minor mel (0), 3, 1, 2, 1, 0, 2, 2, 1, 3, 1, 2, 1, 0, 2, 2, 0, 2, 2, 0, 3, 1, 2, 1, 1, 3, 1, 2, 1, 0, 2, 2, 0, 3, 1, 0, 3, 4, 2, 3, 2, 2, 1, 3, 2, 0, 3, 1,  , 1, 4, 2, 0, 0, 1, 1, 1, 1, 1, 5, 7, 2, 3, 3, 4, 112
C major blues (0), 3, 1, 2, 1, 0, 2, 3, 1, 3, 1, 2, 1, 0, 2, 3, 0, 2, 2, 0, 2, 2, 2, 1, 1, 3, 1, 2, 1, 0, 2, 3, 0, 3, 1, 0, 3, 3, 2, 1, 2, 2, 1, 2, 1, 0, 3, 1,  , 1, 4, 2, 0, 0, 3, 1, 1, 1, 1, 4, 6, 2, 3, 4, 3, 110
A minor blues (0), 3, 1, 2, 1, 0, 2, 2, 1, 3, 1, 2, 1, 0, 2, 2, 0, 2, 2, 0, 3, 1, 2, 1, 1, 3, 1, 2, 1, 0, 2, 2, 0, 3, 1, 0, 3, 4, 2, 3, 2, 2, 1, 3, 2, 0, 3, 1,  , 1, 4, 2, 0, 0, 1, 1, 1, 1, 1, 5, 7, 2, 3, 3, 4, 112
C dorian (0), 3, 1, 2, 1, 0, 2, 3, 1, 3, 1, 2, 1, 0, 2, 3, 0, 2, 2, 0, 2, 2, 2, 1, 1, 3, 1, 2, 1, 0, 2, 3, 0, 3, 1, 0, 3, 3, 2, 1, 2, 2, 1, 2, 1, 0, 3, 1,  , 1, 4, 2, 0, 0, 3, 1, 1, 1, 1, 4, 6, 2, 3, 4, 3, 110
C phrygian (0), 3, 1, 2, 1, 0, 2, 3, 1, 3, 1, 2, 1, 0, 2, 3, 0, 2, 2, 0, 2, 2, 2, 1, 1, 3, 1, 2, 1, 0, 2, 3, 0, 3, 1, 0, 3, 3, 2, 1, 2, 2, 1, 2, 1, 0, 3, 1,  , 1, 4, 2, 0, 0, 3, 1, 1, 1, 1, 4, 6, 2, 3, 4, 3, 110
C lydian (0), 3, 1, 2, 1, 0, 2, 3, 1, 3, 1, 2, 1, 0, 2, 3, 0, 2, 2, 0, 2, 2, 2, 1, 1, 3, 1, 2, 1, 0, 2, 3, 0, 3, 1, 0, 3, 3, 2, 1, 2, 2, 1, 2, 1, 0, 3, 1,  , 1, 4, 2, 0, 0, 3, 1, 1, 1, 1, 4, 6, 2, 3, 4, 3, 110
C mixolydian (0), 3, 1, 2, 1, 0, 2, 3, 1, 3, 1, 2, 1, 0, 2, 3, 0, 2, 2, 0, 2, 2, 2, 1, 1, 3, 1, 2, 1, 0, 2, 3, 0, 3, 1, 0, 3, 3, 2, 1, 2, 2, 1, 2, 1, 0, 3, 1,  , 1, 4, 2, 0, 0, 3, 1, 1, 1, 1, 4, 6, 2, 3, 4, 3, 110
C aeolian (0), 3, 1, 2, 1, 0, 2, 3, 1, 3, 1, 2, 1, 0, 2, 3, 0, 2, 2, 0, 2, 2, 2, 1, 1, 3, 1, 2, 1, 0, 2, 3, 0, 3, 1, 0, 3, 3, 2, 1, 2, 2, 1, 2, 1, 0, 3, 1,  , 1, 4, 2, 0, 0, 3, 1, 1, 1, 1, 4, 6, 2, 3, 4, 3, 110
C locrian (0), 3, 1, 2, 1, 0, 2, 3, 1, 3, 1, 2, 1, 0, 2, 3, 0, 2, 2, 0, 2, 2, 2, 1, 1, 3, 1, 2, 1, 0, 2, 3, 0, 3, 1, 0, 3, 3, 2, 1, 2, 2, 1, 2, 1, 0, 3, 1,  , 1, 4, 2, 0, 0, 3, 1, 1, 1, 1, 4, 6, 2, 3, 4, 3, 110
F major (1b), 2, 0, 1, 0, 0, 1, 2, 0, 2, 0, 1, 0, 0, 1, 2, 0, 4, 3, 1, 3, 3, 2, 0, 0, 2, 0, 1, 0, 0, 1, 2, 0, 2, 0, 0, 2, 2, 1, 1, 1, 2, 0, 1, 1, 0, 2, 0,  , 2, 4, 3, 0, 0, 3, 0, 0, 0, 0, 5, 5, 1, 2, 3, 2, 79
G major (1#), 2, 1, 3, 1, 1, 2, 3, 1, 2, 1, 3, 1, 1, 2, 3, 1, 1, 1, 0, 2, 2, 1, 2, 1, 2, 1, 3, 1, 1, 2, 3, 1, 2, 2, 1, 4, 5, 3, 2, 3, 1, 2, 4, 2, 0, 3, 2,  , 1, 3, 2, 0, 1, 2, 2, 2, 2, 1, 4, 5, 3, 4, 5, 2, 127
D minor (1b), 2, 0, 1, 0, 0, 1, 1, 0, 2, 0, 1, 0, 0, 1, 1, 0, 2, 3, 1, 4, 2, 1, 0, 0, 2, 0, 1, 0, 0, 1, 1, 0, 2, 0, 0, 2, 3, 1, 3, 1, 1, 0, 2, 1, 0, 2, 0,  , 2, 5, 3, 0, 0, 1, 0, 0, 0, 0, 6, 6, 1, 2, 2, 2, 76
E minor (1#), 3, 2, 4, 2, 1, 1, 3, 1, 3, 2, 4, 2, 1, 1, 3, 1, 1, 1, 0, 2, 2, 1, 4, 1, 3, 2, 4, 2, 1, 1, 3, 1, 2, 3, 1, 4, 5, 3, 4, 3, 1, 4, 5, 3, 0, 2, 3,  , 1, 3, 2, 0, 1, 2, 4, 3, 2, 1, 4, 6, 4, 3, 5, 4, 151
D minor mel (1b), 3, 1, 2, 1, 0, 2, 3, 1, 3, 1, 2, 1, 0, 2, 3, 0, 2, 2, 0, 2, 2, 2, 1, 1, 3, 1, 2, 1, 0, 2, 3, 0, 3, 1, 0, 3, 3, 2, 1, 2, 2, 1, 2, 1, 0, 3, 1,  , 1, 4, 2, 0, 0, 3, 1, 1, 1, 1, 4, 6, 2, 3, 4, 3, 110
E minor mel (1#), 3, 1, 2, 1, 0, 2, 2, 1, 3, 1, 2, 1, 0, 2, 2, 0, 2, 2, 0, 3, 1, 2, 1, 1, 3, 1, 2, 1, 0, 2, 2, 0, 3, 1, 0, 3, 4, 2, 3, 2, 2, 1, 3, 2, 0, 3, 1,  , 1, 4, 2, 0, 0, 1, 1, 1, 1, 1, 5, 7, 2, 3, 3, 4, 112
F major blues (1b), 3, 1, 2, 1, 0, 2, 2, 1, 3, 1, 2, 1, 0, 2, 2, 0, 2, 2, 0, 3, 1, 2, 1, 1, 3, 1, 2, 1, 0, 2, 2, 0, 3, 1, 0, 3, 4, 2, 3, 2, 2, 1, 3, 2, 0, 3, 1,  , 1, 4, 2, 0, 0, 1, 1, 1, 1, 1, 5, 7, 2, 3, 3, 4, 112
G major blues (1#), 3, 1, 2, 1, 0, 2, 3, 1, 3, 1, 2, 1, 0, 2, 3, 0, 2, 2, 0, 2, 2, 2, 1, 1, 3, 1, 2, 1, 0, 2, 3, 0, 3, 1, 0, 3, 3, 2, 1, 2, 2, 1, 2, 1, 0, 3, 1,  , 1, 4, 2, 0, 0, 3, 1, 1, 1, 1, 4, 6, 2, 3, 4, 3, 110
D minor blues (1b), 3, 1, 2, 1, 0, 2, 2, 1, 3, 1, 2, 1, 0, 2, 2, 0, 2, 2, 0, 3, 1, 2, 1, 1, 3, 1, 2, 1, 0, 2, 2, 0, 3, 1, 0, 3, 4, 2, 3, 2, 2, 1, 3, 2, 0, 3, 1,  , 1, 4, 2, 0, 0, 1, 1, 1, 1, 1, 5, 7, 2, 3, 3, 4, 112
E minor blues (1#), 3, 1, 2, 1, 0, 2, 3, 1, 3, 1, 2, 1, 0, 2, 3, 0, 2, 2, 0, 2, 2, 2, 1, 1, 3, 1, 2, 1, 0, 2, 3, 0, 3, 1, 0, 3, 3, 2, 1, 2, 2, 1, 2, 1, 0, 3, 1,  , 1, 4, 2, 0, 0, 3, 1, 1, 1, 1, 4, 6, 2, 3, 4, 3, 110
F dorian (1b), 3, 1, 2, 1, 0, 2, 3, 1, 3, 1, 2, 1, 0, 2, 3, 0, 2, 2, 0, 2, 2, 2, 1, 1, 3, 1, 2, 1, 0, 2, 3, 0, 3, 1, 0, 3, 3, 2, 1, 2, 2, 1, 2, 1, 0, 3, 1,  , 1, 4, 2, 0, 0, 3, 1, 1, 1, 1, 4, 6, 2, 3, 4, 3, 110
G dorian (1#), 3, 1, 2, 1, 0, 2, 3, 1, 3, 1, 2, 1, 0, 2, 3, 0, 2, 2, 0, 2, 2, 2, 1, 1, 3, 1, 2, 1, 0, 2, 3, 0, 3, 1, 0, 3, 3, 2, 1, 2, 2, 1, 2, 1, 0, 3, 1,  , 1, 4, 2, 0, 0, 3, 1, 1, 1, 1, 4, 6, 2, 3, 4, 3, 110
F phrygian (1b), 3, 1, 2, 1, 0, 2, 3, 1, 3, 1, 2, 1, 0, 2, 3, 0, 2, 2, 0, 2, 2, 2, 1, 1, 3, 1, 2, 1, 0, 2, 3, 0, 3, 1, 0, 3, 3, 2, 1, 2, 2, 1, 2, 1, 0, 3, 1,  , 1, 4, 2, 0, 0, 3, 1, 1, 1, 1, 4, 6, 2, 3, 4, 3, 110
G phrygian (1#), 3, 1, 2, 1, 0, 2, 3, 1, 3, 1, 2, 1, 0, 2, 3, 0, 2, 2, 0, 2, 2, 2, 1, 1, 3, 1, 2, 1, 0, 2, 3, 0, 3, 1, 0, 3, 3, 2, 1, 2, 2, 1, 2, 1, 0, 3, 1,  , 1, 4, 2, 0, 0, 3, 1, 1, 1, 1, 4, 6, 2, 3, 4, 3, 110
F lydian (1b), 3, 1, 2, 1, 0, 2, 3, 1, 3, 1, 2, 1, 0, 2, 3, 0, 2, 2, 0, 2, 2, 2, 1, 1, 3, 1, 2, 1, 0, 2, 3, 0, 3, 1, 0, 3, 3, 2, 1, 2, 2, 1, 2, 1, 0, 3, 1,  , 1, 4, 2, 0, 0, 3, 1, 1, 1, 1, 4, 6, 2, 3, 4, 3, 110
G lydian (1#), 2, 0, 1, 0, 0, 1, 2, 0, 2, 0, 1, 0, 0, 1, 2, 0, 4, 3, 1, 3, 3, 2, 0, 0, 2, 0, 1, 0, 0, 1, 2, 0, 2, 0, 0, 2, 2, 1, 1, 1, 2, 0, 1, 1, 0, 2, 0,  , 2, 4, 3, 0, 0, 3, 0, 0, 0, 0, 5, 5, 1, 2, 3, 2, 79
F mixolydian (1b), 2, 1, 3, 1, 1, 2, 3, 1, 2, 1, 3, 1, 1, 2, 3, 1, 1, 1, 0, 2, 2, 1, 2, 1, 2, 1, 3, 1, 1, 2, 3, 1, 2, 2, 1, 4, 5, 3, 2, 3, 1, 2, 4, 2, 0, 3, 2,  , 1, 3, 2, 0, 1, 2, 2, 2, 2, 1, 4, 5, 3, 4, 5, 2, 127
G mixolydian (1#), 2, 0, 1, 0, 0, 1, 1, 0, 2, 0, 1, 0, 0, 1, 1, 0, 2, 3, 1, 4, 2, 1, 0, 0, 2, 0, 1, 0, 0, 1, 1, 0, 2, 0, 0, 2, 3, 1, 3, 1, 1, 0, 2, 1, 0, 2, 0,  , 2, 5, 3, 0, 0, 1, 0, 0, 0, 0, 6, 6, 1, 2, 2, 2, 76
F aeolian (1b), 3, 2, 4, 2, 1, 1, 3, 1, 3, 2, 4, 2, 1, 1, 3, 1, 1, 1, 0, 2, 2, 1, 4, 1, 3, 2, 4, 2, 1, 1, 3, 1, 2, 3, 1, 4, 5, 3, 4, 3, 1, 4, 5, 3, 0, 2, 3,  , 1, 3, 2, 0, 1, 2, 4, 3, 2, 1, 4, 6, 4, 3, 5, 4, 151
G aeolian (1#), 3, 1, 2, 1, 0, 2, 3, 1, 3, 1, 2, 1, 0, 2, 3, 0, 2, 2, 0, 2, 2, 2, 1, 1, 3, 1, 2, 1, 0, 2, 3, 0, 3, 1, 0, 3, 3, 2, 1, 2, 2, 1, 2, 1, 0, 3, 1,  , 1, 4, 2, 0, 0, 3, 1, 1, 1, 1, 4, 6, 2, 3, 4, 3, 110
F locrian (1b), 3, 1, 2, 1, 0, 2, 2, 1, 3, 1, 2, 1, 0, 2, 2, 0, 2, 2, 0, 3, 1, 2, 1, 1, 3, 1, 2, 1, 0, 2, 2, 0, 3, 1, 0, 3, 4, 2, 3, 2, 2, 1, 3, 2, 0, 3, 1,  , 1, 4, 2, 0, 0, 1, 1, 1, 1, 1, 5, 7, 2, 3, 3, 4, 112
G locrian (1#), 3, 1, 2, 1, 0, 2, 2, 1, 3, 1, 2, 1, 0, 2, 2, 0, 2, 2, 0, 3, 1, 2, 1, 1, 3, 1, 2, 1, 0, 2, 2, 0, 3, 1, 0, 3, 4, 2, 3, 2, 2, 1, 3, 2, 0, 3, 1,  , 1, 4, 2, 0, 0, 1, 1, 1, 1, 1, 5, 7, 2, 3, 3, 4, 112
Bb major (2b), 3, 1, 2, 1, 0, 2, 3, 1, 3, 1, 2, 1, 0, 2, 3, 0, 2, 2, 0, 2, 2, 2, 1, 1, 3, 1, 2, 1, 0, 2, 3, 0, 3, 1, 0, 3, 3, 2, 1, 2, 2, 1, 2, 1, 0, 3, 1,  , 1, 4, 2, 0, 0, 3, 1, 1, 1, 1, 4, 6, 2, 3, 4, 3, 110
D major (2#), 3, 1, 2, 1, 0, 2, 2, 1, 3, 1, 2, 1, 0, 2, 2, 0, 2, 2, 0, 3, 1, 2, 1, 1, 3, 1, 2, 1, 0, 2, 2, 0, 3, 1, 0, 3, 4, 2, 3, 2, 2, 1, 3, 2, 0, 3, 1,  , 1, 4, 2, 0, 0, 1, 1, 1, 1, 1, 5, 7, 2, 3, 3, 4, 112
G minor (2b), 3, 1, 2, 1, 0, 2, 3, 1, 3, 1, 2, 1, 0, 2, 3, 0, 2, 2, 0, 2, 2, 2, 1, 1, 3, 1, 2, 1, 0, 2, 3, 0, 3, 1, 0, 3, 3, 2, 1, 2, 2, 1, 2, 1, 0, 3, 1,  , 1, 4, 2, 0, 0, 3, 1, 1, 1, 1, 4, 6, 2, 3, 4, 3, 110
B minor (2#), 3, 1, 2, 1, 0, 2, 3, 1, 3, 1, 2, 1, 0, 2, 3, 0, 2, 2, 0, 2, 2, 2, 1, 1, 3, 1, 2, 1, 0, 2, 3, 0, 3, 1, 0, 3, 3, 2, 1, 2, 2, 1, 2, 1, 0, 3, 1,  , 1, 4, 2, 0, 0, 3, 1, 1, 1, 1, 4, 6, 2, 3, 4, 3, 110
G minor mel (2b), 3, 1, 2, 1, 0, 2, 3, 1, 3, 1, 2, 1, 0, 2, 3, 0, 2, 2, 0, 2, 2, 2, 1, 1, 3, 1, 2, 1, 0, 2, 3, 0, 3, 1, 0, 3, 3, 2, 1, 2, 2, 1, 2, 1, 0, 3, 1,  , 1, 4, 2, 0, 0, 3, 1, 1, 1, 1, 4, 6, 2, 3, 4, 3, 110
B minor mel (2#), 3, 1, 2, 1, 0, 2, 3, 1, 3, 1, 2, 1, 0, 2, 3, 0, 2, 2, 0, 2, 2, 2, 1, 1, 3, 1, 2, 1, 0, 2, 3, 0, 3, 1, 0, 3, 3, 2, 1, 2, 2, 1, 2, 1, 0, 3, 1,  , 1, 4, 2, 0, 0, 3, 1, 1, 1, 1, 4, 6, 2, 3, 4, 3, 110
