 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, rowcost
C major (0), 0, 2, 1, 1, 1, 1, 0, 1, 1, 4, 2, 2, 0, 0, 3, 2, 1,  , 2, 3, 1, 6, 1, 0, 0, 5, 3, 0, 4, 4, 1, 4, 1, 0, 0, 0, 1, 2, 1, 4, 2,  , 2, 3, 3, 3, 1, 2, 0, 81
A minor (0), 1, 3, 2, 1, 1, 2, 0, 2, 1, 3, 2, 2, 1, 0, 3, 3, 1,  , 3, 1, 2, 7, 2, 0, 1, 5, 3, 0, 3, 5, 2, 5, 1, 0, 0, 0, 0, 3, 1, 7, 3,  , 3, 1, 4, 3, 1, 3, 0, 97
A minor mel (0), 2, 4, 3, 2, 2, 3, 1, 3, 2, 3, 3, 2, 2, 0, 3, 4, 1,  , 4, 1, 2, 8, 2, 0, 2, 6, 3, 1, 4, 6, 2, 5, 1, 1, 1, 1, 1, 3, 2, 7, 4,  , 4, 1, 3, 4, 2, 4, 1, 126
C major blues (0), 1, 4, 2, 2, 3, 2, 2, 3, 2, 4, 4, 2, 1, 0, 3, 3, 1,  , 4, 5, 2, 7, 1, 1, 3, 6, 3, 1, 6, 5, 2, 4, 1, 1, 2, 2, 3, 3, 2, 4, 3,  , 4, 5, 3, 4, 2, 3, 2, 133
A minor blues (0), 1, 4, 2, 2, 3, 2, 2, 3, 2, 2, 3, 2, 1, 0, 3, 3, 1,  , 5, 4, 2, 8, 1, 1, 3, 6, 2, 1, 6, 7, 2, 4, 1, 1, 2, 2, 3, 3, 2, 6, 3,  , 4, 4, 3, 4, 2, 3, 2, 133
C dorian (0), 1, 3, 2, 2, 2, 2, 1, 2, 2, 4, 3, 2, 1, 0, 3, 3, 1,  , 3, 3, 1, 7, 1, 0, 1, 6, 3, 1, 5, 5, 1, 4, 1, 1, 1, 1, 2, 2, 2, 4, 3,  , 3, 3, 2, 4, 2, 3, 1, 110
C phrygian (0), 0, 1, 0, 1, 2, 0, 0, 1, 0, 3, 2, 1, 0, 0, 2, 2, 0,  , 2, 4, 0, 5, 1, 0, 1, 4, 2, 0, 5, 3, 0, 3, 0, 0, 1, 0, 2, 1, 1, 3, 1,  , 2, 4, 2, 2, 0, 1, 0, 65
C lydian (0), 1, 3, 2, 2, 2, 2, 1, 2, 2, 4, 3, 2, 1, 0, 3, 3, 1,  , 3, 3, 1, 7, 1, 0, 1, 6, 3, 1, 5, 5, 1, 4, 1, 1, 1, 1, 2, 2, 2, 4, 3,  , 3, 3, 2, 4, 2, 3, 1, 110
C mixolydian (0), 0, 1, 0, 1, 2, 0, 0, 1, 0, 3, 2, 1, 0, 0, 2, 2, 0,  , 2, 4, 0, 5, 1, 0, 1, 4, 2, 0, 5, 3, 0, 3, 0, 0, 1, 0, 2, 1, 1, 3, 1,  , 2, 4, 2, 2, 0, 1, 0, 65
C aeolian (0), 0, 2, 1, 1, 1, 1, 0, 1, 1, 4, 2, 2, 0, 0, 3, 2, 1,  , 2, 3, 1, 6, 1, 0, 0, 5, 3, 0, 4, 4, 1, 4, 1, 0, 0, 0, 1, 2, 1, 4, 2,  , 2, 3, 3, 3, 1, 2, 0, 81
C locrian (0), 0, 2, 0, 0, 2, 0, 1, 2, 0, 3, 3, 0, 0, 0, 2, 1, 0,  , 3, 5, 1, 4, 0, 1, 2, 4, 2, 0, 5, 2, 1, 3, 0, 0, 1, 1, 2, 2, 1, 2, 1,  , 3, 5, 2, 2, 0, 1, 1, 73
F major (1b), 0, 1, 0, 1, 2, 0, 0, 1, 0, 3, 2, 1, 0, 0, 2, 2, 0,  , 2, 4, 0, 5, 1, 0, 1, 4, 2, 0, 5, 3, 0, 3, 0, 0, 1, 0, 2, 1, 1, 3, 1,  , 3, 4, 2, 2, 0, 1, 0, 66
G major (1#), 1, 3, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 1, 0, 3, 3, 1,  , 3, 3, 1, 7, 1, 0, 1, 6, 3, 1, 5, 5, 1, 4, 1, 1, 1, 1, 2, 2, 2, 5, 3,  , 3, 3, 2, 4, 2, 3, 1, 108
D minor (1b), 1, 0, 1, 2, 2, 1, 1, 2, 1, 0, 0, 2, 1, 1, 3, 3, 1,  , 3, 4, 1, 6, 2, 0, 2, 3, 2, 0, 5, 3, 1, 2, 0, 0, 2, 0, 3, 0, 0, 5, 1,  , 3, 4, 2, 1, 1, 2, 1, 81
E minor (1#), 2, 4, 3, 3, 3, 3, 1, 3, 3, 4, 3, 2, 1, 0, 3, 2, 3,  , 3, 1, 2, 10, 0, 1, 1, 6, 3, 1, 3, 6, 2, 7, 1, 1, 1, 1, 2, 3, 3, 4, 3,  , 3, 1, 3, 5, 4, 4, 2, 130
D minor mel (1b), 1, 1, 2, 2, 1, 2, 1, 2, 2, 1, 0, 3, 1, 1, 4, 3, 2,  , 3, 3, 2, 7, 2, 0, 1, 4, 3, 0, 4, 4, 2, 3, 1, 0, 1, 0, 2, 1, 0, 6, 2,  , 3, 3, 3, 2, 2, 3, 1, 97
E minor mel (1#), 3, 3, 4, 4, 3, 4, 2, 4, 4, 3, 2, 3, 2, 1, 4, 3, 4,  , 4, 2, 3, 11, 1, 1, 2, 5, 4, 1, 3, 5, 3, 6, 1, 1, 2, 1, 3, 2, 2, 5, 3,  , 4, 2, 3, 4, 5, 5, 3, 150
F major blues (1b), 0, 4, 2, 2, 2, 2, 2, 3, 2, 5, 4, 3, 1, 1, 4, 3, 2,  , 4, 6, 2, 7, 2, 1, 2, 6, 3, 0, 5, 4, 3, 5, 1, 0, 1, 1, 3, 4, 2, 4, 2,  , 5, 6, 3, 4, 2, 2, 1, 133
G major blues (1#), 2, 3, 3, 3, 3, 3, 2, 3, 3, 2, 2, 3, 2, 1, 4, 4, 2,  , 4, 5, 2, 8, 2, 0, 3, 6, 4, 1, 6, 5, 2, 4, 1, 1, 3, 1, 4, 2, 2, 6, 3,  , 4, 5, 3, 4, 3, 4, 2, 145
D minor blues (1b), 0, 4, 2, 2, 2, 2, 2, 3, 2, 3, 3, 3, 1, 1, 4, 3, 2,  , 4, 5, 2, 7, 2, 1, 2, 6, 3, 0, 5, 5, 3, 5, 1, 0, 1, 1, 3, 4, 2, 5, 2,  , 4, 5, 3, 4, 2, 2, 1, 129
E minor blues (1#), 2, 4, 4, 3, 3, 4, 2, 3, 4, 3, 2, 4, 2, 1, 5, 4, 4,  , 5, 4, 2, 10, 2, 0, 3, 6, 4, 1, 4, 7, 3, 7, 1, 1, 3, 1, 4, 2, 2, 7, 3,  , 4, 4, 3, 4, 4, 4, 2, 161
F dorian (1b), 0, 2, 1, 1, 1, 1, 0, 1, 1, 4, 2, 2, 0, 0, 3, 2, 1,  , 2, 3, 1, 6, 1, 0, 0, 5, 3, 0, 4, 4, 1, 4, 1, 0, 0, 0, 1, 2, 1, 4, 2,  , 3, 3, 3, 3, 1, 2, 0, 82
G dorian (1#), 2, 2, 3, 3, 2, 3, 2, 3, 3, 1, 1, 3, 2, 1, 4, 4, 2,  , 4, 4, 2, 8, 2, 0, 2, 5, 4, 1, 5, 4, 2, 3, 1, 1, 2, 1, 3, 1, 1, 6, 3,  , 4, 4, 2, 3, 3, 4, 2, 128
F phrygian (1b), 0, 2, 0, 0, 2, 0, 1, 2, 0, 3, 3, 0, 0, 0, 2, 1, 0,  , 3, 5, 1, 4, 0, 1, 2, 4, 2, 0, 5, 2, 1, 3, 0, 0, 1, 1, 2, 2, 1, 2, 1,  , 4, 5, 2, 2, 0, 1, 1, 74
G phrygian (1#), 0, 2, 1, 1, 1, 1, 0, 1, 1, 2, 1, 2, 0, 0, 3, 2, 1,  , 2, 3, 1, 6, 1, 0, 0, 5, 3, 0, 4, 4, 1, 4, 1, 0, 0, 0, 1, 2, 1, 5, 2,  , 2, 3, 3, 3, 1, 2, 0, 79
F lydian (1b), 0, 2, 1, 1, 1, 1, 0, 1, 1, 4, 2, 2, 0, 0, 3, 2, 1,  , 2, 3, 1, 6, 1, 0, 0, 5, 3, 0, 4, 4, 1, 4, 1, 0, 0, 0, 1, 2, 1, 4, 2,  , 3, 3, 3, 3, 1, 2, 0, 82
G lydian (1#), 2, 2, 3, 3, 2, 3, 2, 3, 3, 1, 1, 3, 2, 1, 4, 4, 2,  , 4, 4, 2, 8, 2, 0, 2, 5, 4, 1, 5, 4, 2, 3, 1, 1, 2, 1, 3, 1, 1, 6, 3,  , 4, 4, 2, 3, 3, 4, 2, 128
F mixolydian (1b), 0, 2, 0, 0, 2, 0, 1, 2, 0, 3, 3, 0, 0, 0, 2, 1, 0,  , 3, 5, 1, 4, 0, 1, 2, 4, 2, 0, 5, 2, 1, 3, 0, 0, 1, 1, 2, 2, 1, 2, 1,  , 4, 5, 2, 2, 0, 1, 1, 74
G mixolydian (1#), 0, 2, 1, 1, 1, 1, 0, 1, 1, 2, 1, 2, 0, 0, 3, 2, 1,  , 2, 3, 1, 6, 1, 0, 0, 5, 3, 0, 4, 4, 1, 4, 1, 0, 0, 0, 1, 2, 1, 5, 2,  , 2, 3, 3, 3, 1, 2, 0, 79
F aeolian (1b), 0, 1, 0, 1, 2, 0, 0, 1, 0, 3, 2, 1, 0, 0, 2, 2, 0,  , 2, 4, 0, 5, 1, 0, 1, 4, 2, 0, 5, 3, 0, 3, 0, 0, 1, 0, 2, 1, 1, 3, 1,  , 3, 4, 2, 2, 0, 1, 0, 66
G aeolian (1#), 1, 3, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 1, 0, 3, 3, 1,  , 3, 3, 1, 7, 1, 0, 1, 6, 3, 1, 5, 5, 1, 4, 1, 1, 1, 1, 2, 2, 2, 5, 3,  , 3, 3, 2, 4, 2, 3, 1, 108
F locrian (1b), 0, 3, 1, 1, 2, 1, 2, 3, 1, 4, 4, 1, 1, 1, 3, 2, 1,  , 4, 6, 1, 5, 1, 1, 2, 5, 1, 0, 4, 1, 2, 4, 0, 0, 1, 1, 3, 3, 2, 2, 0,  , 5, 6, 2, 3, 1, 0, 1, 98
G locrian (1#), 0, 1, 0, 1, 2, 0, 0, 1, 0, 1, 1, 1, 0, 0, 2, 2, 0,  , 2, 4, 0, 5, 1, 0, 1, 4, 2, 0, 5, 3, 0, 3, 0, 0, 1, 0, 2, 1, 1, 4, 1,  , 2, 4, 2, 2, 0, 1, 0, 63
Bb major (2b), 0, 2, 0, 0, 1, 0, 1, 2, 0, 3, 3, 0, 0, 0, 2, 1, 0,  , 3, 5, 1, 4, 0, 1, 3, 4, 2, 0, 2, 2, 1, 4, 0, 0, 2, 1, 3, 2, 1, 2, 1,  , 4, 5, 2, 2, 0, 1, 1, 74
D major (2#), 2, 2, 3, 3, 2, 3, 2, 3, 3, 1, 1, 3, 2, 1, 4, 4, 2,  , 4, 3, 2, 8, 2, 0, 2, 5, 3, 1, 5, 5, 2, 3, 1, 1, 2, 1, 3, 1, 1, 6, 3,  , 4, 3, 2, 3, 3, 4, 2, 126
G minor (2b), 1, 3, 1, 1, 3, 1, 2, 3, 1, 1, 3, 0, 1, 0, 2, 2, 0,  , 4, 5, 1, 5, 0, 1, 3, 5, 2, 1, 6, 3, 1, 3, 0, 1, 2, 2, 3, 2, 2, 3, 2,  , 4, 5, 1, 3, 1, 2, 2, 100
B minor (2#), 2, 3, 5, 4, 1, 3, 5, 3, 3, 1, 2, 3, 3, 2, 5, 5, 3,  , 7, 4, 1, 12, 3, 0, 3, 5, 3, 1, 2, 5, 2, 4, 0, 1, 2, 2, 4, 2, 2, 5, 2,  , 5, 4, 1, 4, 5, 3, 3, 150
G minor mel (2b), 1, 2, 1, 2, 3, 1, 1, 2, 1, 1, 2, 1, 1, 0, 2, 3, 0,  , 3, 4, 0, 6, 1, 0, 2, 5, 2, 1, 6, 4, 0, 3, 0, 1, 2, 1, 3, 1, 2, 4, 2,  , 3, 4, 1, 3, 1, 2, 1, 92
B minor mel (2#), 3, 4, 6, 4, 1, 4, 5, 4, 3, 2, 3, 3, 4, 2, 5, 6, 3,  , 7, 3, 2, 13, 4, 0, 4, 5, 4, 1, 1, 4, 3, 5, 0, 1, 2, 2, 3, 3, 2, 6, 3,  , 6, 3, 2, 4, 5, 4, 3, 167
Bb major blues (2b), 1, 3, 1, 3, 2, 1, 2, 4, 1, 4, 4, 2, 1, 1, 3, 3, 1,  , 5, 6, 2, 7, 2, 2, 3, 5, 2, 0, 2, 4, 2, 5, 0, 0, 2, 1, 4, 4, 3, 4, 1,  , 5, 6, 3, 3, 2, 2, 2, 126
