 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, rowcost
C major (0), 0, 1, 6, 1, 3, 5, 3, 1, 6, 2, 6, 4, 0, 4, 3, 1, 3, 3, 2, 7, 8, 2, 4, 5, 1, 3, 1, 2, 9, 2, 1, 2, 5, 3, 3, 0, 1, 3, 3, 3, 2, 2, 5, 0, 6, 1, 2, 0, 5, 2, 147
A minor (0), 0, 1, 6, 1, 3, 4, 4, 1, 3, 3, 6, 4, 0, 4, 4, 2, 5, 4, 3, 8, 7, 3, 4, 5, 1, 3, 1, 3, 9, 3, 2, 4, 6, 5, 4, 0, 1, 5, 4, 5, 2, 2, 5, 0, 3, 1, 2, 0, 4, 3, 163
A minor mel (0), 0, 2, 5, 2, 4, 5, 4, 2, 2, 4, 5, 4, 1, 4, 3, 2, 4, 5, 3, 7, 6, 3, 4, 4, 2, 4, 1, 3, 8, 4, 3, 5, 7, 4, 5, 1, 1, 4, 3, 5, 1, 3, 6, 0, 2, 1, 2, 0, 5, 4, 169
C major blues (0), 0, 2, 6, 2, 4, 6, 4, 2, 7, 4, 6, 4, 1, 4, 4, 1, 3, 4, 2, 7, 10, 2, 4, 5, 2, 4, 1, 3, 10, 3, 2, 3, 8, 3, 4, 1, 1, 3, 3, 3, 2, 3, 6, 0, 8, 1, 2, 0, 8, 3, 181
A minor blues (0), 0, 2, 5, 2, 5, 6, 5, 2, 5, 4, 5, 4, 1, 5, 4, 1, 4, 4, 3, 7, 10, 2, 4, 5, 2, 5, 1, 4, 11, 3, 2, 4, 8, 4, 6, 1, 1, 4, 3, 4, 2, 3, 6, 0, 6, 1, 2, 0, 8, 3, 189
C dorian (0), 0, 2, 5, 2, 4, 6, 3, 2, 5, 3, 5, 4, 1, 4, 2, 1, 2, 4, 2, 6, 7, 2, 4, 4, 2, 4, 1, 2, 8, 3, 2, 3, 6, 2, 4, 1, 1, 2, 2, 3, 1, 3, 6, 0, 5, 1, 2, 0, 6, 3, 153
C phrygian (0), 0, 0, 5, 0, 2, 4, 2, 0, 5, 3, 5, 3, 0, 3, 3, 0, 2, 2, 2, 6, 9, 1, 3, 4, 0, 2, 1, 3, 8, 1, 0, 1, 6, 2, 2, 0, 0, 3, 2, 2, 1, 1, 4, 0, 7, 0, 1, 0, 6, 1, 118
C lydian (0), 0, 2, 5, 2, 4, 6, 3, 2, 5, 3, 5, 4, 1, 4, 2, 1, 2, 4, 2, 6, 7, 2, 4, 4, 2, 4, 1, 2, 8, 3, 2, 3, 6, 2, 4, 1, 1, 2, 2, 3, 1, 3, 6, 0, 5, 1, 2, 0, 6, 3, 153
C mixolydian (0), 0, 0, 5, 0, 2, 4, 2, 0, 5, 3, 5, 3, 0, 3, 3, 0, 2, 2, 2, 6, 9, 1, 3, 4, 0, 2, 1, 3, 8, 1, 0, 1, 6, 2, 2, 0, 0, 3, 2, 2, 1, 1, 4, 0, 7, 0, 1, 0, 6, 1, 118
C aeolian (0), 0, 1, 6, 1, 3, 5, 3, 1, 6, 2, 6, 4, 0, 4, 3, 1, 3, 3, 2, 7, 8, 2, 4, 5, 1, 3, 1, 2, 9, 2, 1, 2, 5, 3, 3, 0, 1, 3, 3, 3, 2, 2, 5, 0, 6, 1, 2, 0, 5, 2, 147
C locrian (0), 0, 0, 5, 0, 2, 3, 3, 0, 6, 2, 4, 2, 0, 2, 4, 0, 1, 1, 1, 5, 10, 0, 2, 3, 0, 1, 0, 2, 9, 0, 0, 0, 7, 1, 1, 0, 0, 2, 1, 1, 1, 0, 3, 0, 8, 0, 1, 0, 7, 0, 101
F major (1b), 0, 0, 5, 0, 2, 4, 2, 0, 5, 4, 5, 3, 0, 3, 3, 0, 2, 2, 2, 6, 8, 1, 3, 7, 0, 2, 1, 3, 9, 1, 0, 1, 5, 3, 2, 0, 0, 2, 2, 2, 1, 1, 3, 0, 7, 0, 1, 0, 6, 1, 120
G major (1#), 0, 2, 4, 2, 4, 6, 4, 2, 5, 3, 5, 3, 1, 4, 2, 1, 2, 4, 3, 6, 7, 2, 4, 4, 2, 4, 1, 2, 6, 3, 2, 3, 6, 2, 4, 1, 1, 2, 2, 3, 1, 3, 6, 0, 5, 1, 2, 0, 6, 3, 151
D minor (1b), 0, 0, 5, 0, 4, 3, 2, 0, 3, 4, 5, 3, 0, 4, 4, 1, 3, 1, 2, 6, 10, 2, 4, 5, 1, 3, 1, 4, 10, 1, 1, 2, 7, 3, 2, 0, 0, 3, 3, 4, 1, 1, 3, 1, 4, 1, 2, 0, 7, 2, 138
E minor (1#), 1, 3, 6, 3, 6, 4, 3, 6, 3, 4, 3, 3, 1, 3, 1, 3, 2, 3, 2, 8, 8, 4, 3, 4, 5, 7, 0, 5, 8, 2, 2, 5, 8, 3, 7, 2, 1, 4, 4, 5, 1, 2, 5, 1, 2, 1, 2, 1, 7, 3, 180
D minor mel (1b), 0, 1, 6, 1, 5, 4, 3, 1, 4, 3, 6, 4, 0, 5, 4, 2, 4, 2, 2, 7, 9, 3, 5, 6, 2, 4, 1, 3, 11, 2, 2, 3, 6, 4, 3, 0, 1, 3, 4, 5, 2, 2, 4, 1, 3, 2, 3, 0, 6, 3, 167
E minor mel (1#), 1, 3, 7, 3, 7, 3, 2, 6, 3, 5, 4, 4, 1, 4, 2, 4, 3, 2, 1, 9, 9, 5, 4, 5, 6, 8, 0, 6, 9, 2, 3, 6, 9, 4, 7, 2, 1, 4, 5, 6, 1, 2, 4, 2, 1, 2, 3, 1, 8, 4, 203
F major blues (1b), 0, 1, 7, 1, 3, 5, 4, 2, 7, 4, 6, 4, 0, 5, 4, 2, 3, 3, 2, 8, 10, 3, 5, 9, 2, 4, 2, 4, 11, 2, 1, 3, 7, 5, 3, 0, 1, 2, 4, 3, 2, 2, 4, 1, 8, 1, 2, 1, 8, 3, 184
G major blues (1#), 0, 2, 6, 2, 5, 6, 4, 2, 6, 5, 7, 4, 1, 5, 4, 2, 4, 4, 3, 8, 10, 3, 5, 6, 3, 5, 1, 4, 8, 3, 3, 4, 8, 4, 4, 1, 1, 3, 4, 4, 2, 3, 6, 1, 7, 2, 3, 0, 8, 4, 200
D minor blues (1b), 0, 1, 6, 1, 4, 5, 5, 2, 6, 3, 6, 3, 0, 5, 4, 2, 3, 3, 3, 7, 11, 3, 5, 6, 2, 4, 2, 4, 11, 2, 1, 3, 8, 4, 3, 0, 1, 3, 4, 4, 2, 2, 5, 1, 7, 1, 2, 1, 8, 3, 182
E minor blues (1#), 0, 2, 7, 2, 6, 6, 4, 5, 4, 5, 7, 5, 1, 6, 4, 3, 5, 4, 3, 11, 12, 4, 5, 7, 5, 7, 1, 6, 10, 3, 3, 7, 9, 6, 6, 1, 1, 4, 5, 5, 2, 3, 6, 1, 5, 2, 3, 0, 10, 5, 234
F dorian (1b), 0, 1, 6, 1, 3, 5, 3, 1, 6, 3, 6, 4, 0, 4, 3, 1, 3, 3, 2, 7, 7, 2, 4, 8, 1, 3, 1, 2, 10, 2, 1, 2, 4, 4, 3, 0, 1, 2, 3, 3, 2, 2, 4, 0, 6, 1, 2, 0, 5, 2, 149
G dorian (1#), 0, 2, 5, 2, 5, 5, 3, 2, 5, 4, 6, 4, 1, 5, 3, 2, 3, 3, 2, 7, 8, 3, 5, 5, 3, 5, 1, 3, 7, 3, 3, 4, 7, 3, 4, 1, 1, 2, 3, 4, 1, 3, 5, 1, 4, 2, 3, 0, 7, 4, 174
F phrygian (1b), 0, 0, 5, 0, 2, 3, 3, 0, 6, 3, 4, 2, 0, 2, 4, 0, 1, 1, 1, 5, 9, 0, 2, 6, 0, 1, 0, 2, 10, 0, 0, 0, 6, 2, 1, 0, 0, 1, 1, 1, 1, 0, 2, 0, 8, 0, 1, 0, 7, 0, 103
G phrygian (1#), 0, 1, 5, 1, 3, 5, 4, 1, 6, 2, 6, 3, 0, 4, 3, 1, 3, 3, 3, 7, 8, 2, 4, 5, 1, 3, 1, 2, 7, 2, 1, 2, 5, 3, 3, 0, 1, 3, 3, 3, 2, 2, 5, 0, 6, 1, 2, 0, 5, 2, 145
F lydian (1b), 0, 1, 6, 1, 3, 5, 3, 1, 6, 3, 6, 4, 0, 4, 3, 1, 3, 3, 2, 7, 7, 2, 4, 8, 1, 3, 1, 2, 10, 2, 1, 2, 4, 4, 3, 0, 1, 2, 3, 3, 2, 2, 4, 0, 6, 1, 2, 0, 5, 2, 149
