 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, rowcost
C major (0), 2, 4, 1, 2, 2, 2, 1, 2, 1, 2, 1, 2, 1, 4, 2,  , 2, 1, 1, 33
A minor (0), 4, 3, 2, 3, 2, 2, 2, 4, 1, 1, 1, 3, 1, 3, 2,  , 1, 1, 1, 37
A minor mel (0), 4, 2, 2, 3, 2, 1, 2, 5, 2, 2, 2, 4, 2, 2, 1,  , 2, 1, 1, 40
C major blues (0), 2, 4, 1, 2, 2, 2, 1, 3, 2, 3, 2, 3, 2, 4, 2,  , 3, 1, 1, 40
A minor blues (0), 3, 4, 1, 3, 2, 2, 1, 4, 2, 3, 2, 3, 2, 4, 2,  , 3, 1, 1, 43
C dorian (0), 2, 3, 1, 2, 2, 1, 1, 3, 2, 3, 2, 3, 2, 3, 1,  , 3, 1, 1, 36
C phrygian (0), 2, 3, 1, 2, 1, 1, 1, 2, 0, 2, 1, 1, 0, 3, 2,  , 2, 1, 1, 26
C lydian (0), 2, 3, 1, 2, 2, 1, 1, 3, 2, 3, 2, 3, 2, 3, 1,  , 3, 1, 1, 36
C mixolydian (0), 2, 3, 1, 2, 1, 1, 1, 2, 0, 2, 1, 1, 0, 3, 2,  , 2, 1, 1, 26
C aeolian (0), 2, 4, 1, 2, 2, 2, 1, 2, 1, 2, 1, 2, 1, 4, 2,  , 2, 1, 1, 33
C locrian (0), 1, 2, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 2, 1,  , 1, 0, 0, 12
F major (1b), 2, 3, 1, 2, 1, 1, 1, 2, 0, 2, 1, 1, 0, 3, 2,  , 2, 1, 1, 26
G major (1#), 3, 3, 1, 2, 2, 1, 1, 3, 2, 3, 2, 3, 2, 3, 1,  , 3, 1, 1, 37
D minor (1b), 2, 4, 1, 1, 2, 2, 1, 1, 1, 3, 2, 1, 1, 4, 2,  , 3, 1, 1, 33
E minor (1#), 2, 2, 0, 2, 1, 1, 0, 3, 3, 2, 1, 3, 3, 2, 0,  , 2, 0, 0, 27
D minor mel (1b), 2, 5, 1, 1, 3, 3, 1, 1, 2, 3, 2, 2, 2, 5, 2,  , 3, 1, 1, 40
E minor mel (1#), 1, 3, 0, 1, 2, 2, 0, 2, 4, 3, 2, 3, 4, 3, 0,  , 3, 0, 0, 33
F major blues (1b), 2, 4, 1, 2, 2, 2, 1, 2, 1, 2, 1, 2, 1, 4, 2,  , 2, 1, 1, 33
G major blues (1#), 3, 5, 1, 2, 3, 3, 1, 3, 3, 4, 3, 3, 3, 5, 2,  , 4, 1, 1, 50
D minor blues (1b), 3, 4, 1, 2, 2, 2, 1, 2, 1, 2, 1, 2, 1, 4, 2,  , 2, 1, 1, 34
E minor blues (1#), 3, 5, 1, 3, 3, 3, 1, 4, 3, 4, 3, 3, 3, 5, 2,  , 4, 1, 1, 52
F dorian (1b), 2, 4, 1, 2, 2, 2, 1, 2, 1, 2, 1, 2, 1, 4, 2,  , 2, 1, 1, 33
G dorian (1#), 2, 4, 1, 1, 3, 2, 1, 2, 3, 4, 3, 3, 3, 4, 1,  , 4, 1, 1, 43
F phrygian (1b), 1, 2, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 2, 1,  , 1, 0, 0, 12
G phrygian (1#), 3, 4, 1, 2, 2, 2, 1, 2, 1, 2, 1, 2, 1, 4, 2,  , 2, 1, 1, 34
F lydian (1b), 2, 4, 1, 2, 2, 2, 1, 2, 1, 2, 1, 2, 1, 4, 2,  , 2, 1, 1, 33
G lydian (1#), 2, 4, 1, 1, 3, 2, 1, 2, 3, 4, 3, 3, 3, 4, 1,  , 4, 1, 1, 43
F mixolydian (1b), 1, 2, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 2, 1,  , 1, 0, 0, 12
G mixolydian (1#), 3, 4, 1, 2, 2, 2, 1, 2, 1, 2, 1, 2, 1, 4, 2,  , 2, 1, 1, 34
F aeolian (1b), 2, 3, 1, 2, 1, 1, 1, 2, 0, 2, 1, 1, 0, 3, 2,  , 2, 1, 1, 26
G aeolian (1#), 3, 3, 1, 2, 2, 1, 1, 3, 2, 3, 2, 3, 2, 3, 1,  , 3, 1, 1, 37
F locrian (1b), 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1,  , 0, 0, 0, 7
G locrian (1#), 3, 3, 1, 2, 1, 1, 1, 2, 0, 2, 1, 1, 0, 3, 2,  , 2, 1, 1, 27
Bb major (2b), 1, 2, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 2, 1,  , 1, 0, 0, 12
D major (2#), 2, 4, 1, 1, 3, 2, 1, 2, 3, 4, 3, 3, 3, 4, 1,  , 4, 1, 1, 43
G minor (2b), 2, 1, 0, 1, 0, 0, 0, 2, 1, 2, 1, 2, 1, 1, 0,  , 2, 0, 0, 16
B minor (2#), 2, 3, 1, 2, 2, 1, 1, 3, 2, 4, 3, 2, 2, 3, 1,  , 4, 1, 1, 38
G minor mel (2b), 3, 2, 1, 2, 1, 0, 1, 3, 1, 3, 2, 2, 1, 2, 1,  , 3, 1, 1, 30
B minor mel (2#), 3, 2, 2, 2, 2, 1, 2, 4, 2, 3, 3, 3, 2, 2, 1,  , 3, 1, 1, 39
Bb major blues (2b), 2, 3, 1, 3, 1, 1, 1, 3, 1, 2, 1, 1, 1, 3, 2,  , 2, 1, 1, 30
D major blues (2#), 4, 5, 2, 2, 3, 3, 2, 4, 3, 4, 3, 4, 3, 5, 2,  , 4, 1, 1, 55
G minor blues (2b), 3, 3, 1, 3, 1, 1, 1, 3, 1, 2, 1, 1, 1, 3, 2,  , 2, 1, 1, 31
B minor blues (2#), 4, 5, 2, 3, 3, 3, 2, 5, 3, 4, 3, 4, 3, 5, 2,  , 4, 1, 1, 57
Bb dorian (2b), 2, 3, 1, 2, 1, 1, 1, 2, 0, 2, 1, 1, 0, 3, 2,  , 2, 1, 1, 26
D dorian (2#), 3, 3, 2, 1, 3, 2, 2, 3, 3, 3, 3, 4, 3, 3, 1,  , 3, 1, 1, 44
Bb phrygian (2b), 4, 3, 2, 3, 2, 2, 2, 4, 1, 1, 1, 3, 1, 3, 2,  , 1, 1, 1, 37
D phrygian (2#), 4, 2, 2, 3, 2, 1, 2, 5, 2, 2, 2, 4, 2, 2, 1,  , 2, 1, 1, 40
Bb lydian (2b), 2, 4, 1, 2, 2, 2, 1, 3, 2, 3, 2, 3, 2, 4, 2,  , 3, 1, 1, 40
D lydian (2#), 3, 4, 1, 3, 2, 2, 1, 4, 2, 3, 2, 3, 2, 4, 2,  , 3, 1, 1, 43
Bb mixolydian (2b), 2, 3, 1, 2, 2, 1, 1, 3, 2, 3, 2, 3, 2, 3, 1,  , 3, 1, 1, 36
D mixolydian (2#), 2, 3, 1, 2, 1, 1, 1, 2, 0, 2, 1, 1, 0, 3, 2,  , 2, 1, 1, 26
Bb aeolian (2b), 2, 3, 1, 2, 2, 1, 1, 3, 2, 3, 2, 3, 2, 3, 1,  , 3, 1, 1, 36
D aeolian (2#), 2, 3, 1, 2, 1, 1, 1, 2, 0, 2, 1, 1, 0, 3, 2,  , 2, 1, 1, 26
Bb locrian (2b), 2, 4, 1, 2, 2, 2, 1, 2, 1, 2, 1, 2, 1, 4, 2,  , 2, 1, 1, 33
D locrian (2#), 1, 2, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 2, 1,  , 1, 0, 0, 12
Eb major (3b), 2, 3, 1, 2, 1, 1, 1, 2, 0, 2, 1, 1, 0, 3, 2,  , 2, 1, 1, 26
