 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, rowcost
C major (0), 0, 1, 1, 1, 2, 0, 1, 2, 2, 2, 0, 4, 3, 0, 0, 1, 0, 20
A minor (0), 1, 2, 2, 2, 4, 1, 1, 3, 4, 4, 1, 3, 4, 0, 0, 2, 0, 34
F major (1b), 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 5, 2, 0, 0, 1, 0, 15
G major (1#), 0, 1, 1, 2, 3, 0, 1, 3, 3, 3, 0, 3, 4, 1, 1, 1, 0, 27
D minor (1b), 0, 2, 2, 1, 3, 1, 3, 2, 2, 3, 1, 6, 3, 1, 1, 2, 1, 34
E minor (1#), 0, 0, 0, 3, 6, 1, 3, 4, 5, 6, 1, 4, 5, 1, 1, 0, 0, 40
Bb major (2b), 0, 0, 0, 1, 2, 0, 1, 1, 0, 2, 0, 7, 2, 0, 0, 0, 0, 16
D major (2#), 0, 2, 2, 3, 5, 1, 3, 4, 4, 5, 1, 4, 5, 2, 2, 2, 1, 46
G minor (2b), 0, 0, 0, 2, 3, 0, 1, 2, 1, 3, 0, 4, 3, 1, 1, 0, 0, 21
B minor (2#), 0, 2, 2, 4, 7, 2, 3, 3, 6, 7, 2, 5, 3, 2, 2, 2, 1, 53
Eb major (3b), 0, 0, 0, 2, 4, 1, 0, 0, 1, 4, 1, 6, 2, 0, 0, 0, 0, 21
A major (3#), 1, 3, 3, 4, 6, 2, 2, 5, 6, 6, 2, 3, 6, 2, 2, 3, 1, 57
C minor (3b), 0, 0, 0, 3, 4, 1, 0, 1, 2, 4, 1, 3, 3, 0, 0, 0, 0, 22
F# minor (3#), 1, 3, 3, 5, 8, 2, 2, 4, 7, 8, 2, 3, 3, 1, 1, 3, 1, 57
Ab major (4b), 0, 0, 0, 3, 5, 3, 1, 1, 4, 5, 3, 8, 3, 0, 0, 0, 0, 36
E major (4#), 1, 2, 2, 5, 8, 3, 3, 6, 7, 8, 3, 4, 7, 2, 2, 2, 1, 66
F minor (4b), 0, 1, 1, 1, 3, 2, 1, 1, 3, 3, 2, 5, 3, 0, 0, 1, 0, 27
C# minor (4#), 2, 2, 2, 6, 8, 3, 3, 5, 7, 8, 3, 7, 6, 1, 1, 2, 0, 66
Db major (5b), 1, 1, 1, 4, 7, 5, 3, 3, 6, 7, 5, 8, 4, 0, 0, 1, 0, 56
B major (5#), 1, 2, 2, 5, 9, 4, 3, 5, 6, 9, 4, 5, 5, 2, 2, 2, 1, 67
Bb minor (5b), 1, 1, 1, 2, 4, 2, 3, 3, 2, 4, 2, 7, 4, 0, 0, 1, 0, 37
G# minor (5#), 0, 1, 1, 4, 7, 4, 3, 4, 6, 7, 4, 9, 6, 2, 2, 1, 1, 62
Gb major (6b), 2, 3, 3, 6, 12, 7, 5, 6, 8, 12, 7, 8, 5, 1, 1, 3, 1, 90
F# major (6#), 1, 2, 2, 4, 8, 4, 3, 4, 5, 8, 4, 5, 3, 1, 1, 2, 1, 58
Eb minor (6b), 1, 2, 2, 4, 6, 3, 2, 2, 3, 6, 3, 4, 4, 1, 1, 2, 1, 47
D# minor (6#), 2, 3, 3, 6, 8, 5, 3, 3, 5, 8, 5, 6, 5, 1, 1, 3, 1, 68
Cb major (7b), 2, 4, 4, 8, 14, 8, 6, 8, 10, 14, 8, 9, 8, 3, 3, 4, 2, 115
C# major (7#), 2, 2, 2, 4, 6, 4, 3, 3, 5, 6, 4, 7, 4, 0, 0, 2, 0, 54
Ab minor (7b), 0, 1, 1, 5, 7, 4, 2, 3, 6, 7, 4, 8, 5, 2, 2, 1, 1, 59
A# minor (7#), 2, 2, 2, 4, 7, 4, 5, 5, 4, 7, 4, 10, 6, 0, 0, 2, 0, 64
