 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, rowcost
C major (0), 0/0, 1/0, 1/0, 1/4, 2/2, 0/0, 1/0, 2/4, 2/3, 2/2, 0/0, 4/5, 3/3, 0/0, 0/0, 1/0, 0/0, 20/23
A minor (0), 0/0, 1/2, 1/2, 1/4, 3/2, 0/0, 2/2, 2/1, 3/1, 3/2, 0/0, 4/4, 3/3, 0/0, 0/0, 1/2, 0/0, 24/25
F major (1b), 0/0, 1/0, 1/0, 0/0, 1/1, 0/0, 1/2, 1/1, 1/1, 1/1, 0/0, 5/4, 2/2, 0/0, 0/0, 1/0, 0/0, 15/12
G major (1#), 0/0, 1/2, 1/2, 2/8, 3/2, 0/0, 1/2, 3/1, 3/0, 3/4, 0/0, 3/2, 4/3, 1/0, 1/0, 1/0, 0/0, 27/26
D minor (1b), 0/0, 1/0, 1/0, 0/2, 2/1, 0/0, 2/2, 1/1, 1/1, 2/1, 0/0, 5/4, 2/2, 0/0, 0/0, 1/2, 0/0, 18/16
E minor (1#), 0/0, 1/0, 1/0, 3/6, 5/2, 0/0, 2/2, 3/9, 6/5, 5/4, 0/0, 3/2, 4/3, 1/0, 1/0, 1/0, 0/0, 36/33
Bb major (2b), 0/0, 0/0, 0/0, 1/1, 2/2, 0/0, 1/0, 1/0, 0/0, 2/2, 0/0, 7/9, 2/2, 0/0, 0/0, 0/0, 0/0, 16/16
D major (2#), 0/0, 2/2, 2/2, 3/2, 5/3, 1/0, 3/2, 4/1, 4/1, 5/1, 1/0, 4/2, 5/3, 2/0, 2/0, 2/2, 1/0, 46/21
G minor (2b), 0/0, 0/0, 0/0, 1/2, 2/3, 0/0, 1/0, 1/4, 0/2, 2/2, 0/0, 5/2, 2/2, 0/0, 0/0, 0/0, 0/0, 14/17
B minor (2#), 0/0, 2/0, 2/0, 5/10, 8/6, 1/1, 3/2, 4/9, 7/5, 8/4, 1/0, 4/2, 4/2, 2/1, 2/1, 2/0, 1/0, 56/43
Eb major (3b), 0/0, 0/0, 0/0, 2/1, 4/2, 1/0, 0/0, 0/0, 1/1, 4/2, 1/0, 6/9, 2/2, 0/0, 0/0, 0/0, 0/0, 21/17
A major (3#), 1/0, 3/0, 3/0, 4/6, 6/2, 2/0, 2/1, 5/6, 6/3, 6/2, 2/0, 3/4, 6/3, 2/0, 2/0, 3/0, 1/0, 57/27
C minor (3b), 0/0, 0/0, 0/0, 2/4, 3/2, 1/0, 0/0, 0/4, 1/2, 3/4, 1/0, 4/5, 2/2, 0/0, 0/0, 0/0, 0/0, 17/23
F# minor (3#), 1/0, 3/2, 3/2, 6/12, 9/7, 2/2, 2/2, 5/12, 8/9, 9/7, 2/2, 4/3, 4/5, 2/2, 2/2, 3/2, 1/1, 66/72
Ab major (4b), 0/0, 0/0, 0/0, 3/3, 5/5, 3/4, 1/2, 1/1, 4/3, 5/4, 3/4, 8/11, 3/2, 0/0, 0/0, 0/0, 0/0, 36/39
E major (4#), 1/0, 2/0, 2/0, 5/6, 8/3, 3/2, 3/1, 6/6, 7/5, 8/3, 3/2, 4/4, 7/2, 2/0, 2/0, 2/0, 1/0, 66/34
F minor (4b), 0/0, 0/0, 0/0, 2/1, 4/1, 2/0, 1/2, 1/1, 2/1, 4/1, 2/0, 5/5, 3/3, 0/0, 0/0, 0/0, 0/0, 26/15
C# minor (4#), 2/0, 3/2, 3/2, 7/7, 9/8, 4/3, 4/3, 6/11, 8/12, 9/10, 4/5, 6/3, 7/8, 2/0, 2/0, 3/2, 1/0, 80/76
Db major (5b), 1/0, 1/0, 1/0, 4/3, 7/7, 5/8, 3/4, 3/2, 6/6, 7/8, 5/8, 8/12, 4/6, 0/0, 0/0, 1/0, 0/0, 56/64
B major (5#), 1/0, 2/0, 2/0, 5/8, 9/4, 4/2, 3/1, 5/7, 6/7, 9/4, 4/2, 5/6, 5/2, 2/1, 2/1, 2/0, 1/0, 67/45
