 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, rowcost
C major (0), 0/0, 0/0, 1/1, 0/0, 1/1, 1/0, 1/0, 1/2, 1/2, 1/1, 3/1, 2/1, 3/2, 0/0, 2/1, 0/0, 0/0, 17/12
A minor (0), 0/0, 0/0, 1/0, 0/0, 2/1, 1/0, 1/0, 1/1, 1/2, 2/3, 5/2, 2/1, 3/2, 0/0, 2/1, 0/0, 0/0, 21/13
F major (1b), 0/0, 0/0, 1/1, 0/0, 1/1, 0/0, 1/1, 0/0, 0/0, 2/1, 2/2, 1/1, 3/2, 0/0, 2/1, 0/0, 0/0, 13/10
G major (1#), 0/0, 1/0, 1/0, 1/2, 2/3, 1/0, 0/0, 1/2, 1/0, 2/1, 4/3, 3/1, 3/2, 1/0, 3/1, 0/0, 0/0, 24/15
D minor (1b), 0/0, 0/0, 1/0, 0/0, 1/1, 0/0, 1/0, 0/1, 0/0, 3/3, 3/2, 1/1, 3/2, 0/0, 2/1, 0/0, 0/0, 15/11
E minor (1#), 0/0, 1/0, 1/0, 1/0, 3/1, 1/1, 0/0, 1/2, 4/2, 2/1, 6/5, 3/3, 3/2, 1/3, 3/1, 0/0, 0/0, 30/21
Bb major (2b), 0/0, 0/0, 2/1, 0/0, 2/1, 0/0, 1/1, 0/0, 0/0, 4/3, 1/1, 1/1, 4/2, 0/0, 2/1, 0/0, 0/0, 17/11
D major (2#), 0/0, 1/0, 0/0, 1/0, 2/1, 1/0, 0/0, 2/2, 2/2, 1/1, 6/2, 4/1, 4/2, 1/0, 2/1, 1/0, 0/0, 28/12
G minor (2b), 0/0, 0/0, 2/0, 0/0, 2/1, 0/0, 1/0, 0/0, 0/0, 4/1, 1/3, 1/1, 4/2, 0/0, 2/1, 0/0, 0/0, 17/9
B minor (2#), 0/0, 1/1, 0/0, 1/2, 6/3, 1/1, 0/0, 2/1, 5/4, 1/1, 7/5, 4/3, 4/2, 1/3, 2/2, 1/0, 0/0, 36/28
Eb major (3b), 1/0, 1/0, 3/2, 1/0, 3/2, 0/0, 2/1, 0/0, 1/0, 5/4, 0/1, 0/0, 3/4, 1/0, 3/1, 1/0, 1/0, 26/15
A major (3#), 0/0, 1/0, 0/0, 2/1, 4/1, 2/0, 0/0, 3/2, 3/2, 1/1, 6/3, 5/2, 5/2, 2/0, 3/1, 2/0, 0/0, 39/15
C minor (3b), 1/0, 1/0, 3/1, 1/0, 2/1, 0/0, 2/0, 0/0, 1/0, 4/1, 0/1, 0/1, 5/2, 1/0, 3/1, 1/0, 1/0, 26/8
F# minor (3#), 0/0, 1/0, 0/0, 2/1, 7/3, 2/0, 0/0, 3/1, 6/4, 1/1, 6/3, 5/4, 4/2, 2/1, 3/2, 2/2, 0/0, 44/24
Ab major (4b), 2/2, 3/6, 3/7, 3/6, 4/3, 1/0, 4/3, 1/0, 5/6, 7/6, 1/0, 1/0, 5/5, 3/4, 3/3, 3/4, 3/4, 52/59
E major (4#), 0/0, 2/1, 0/0, 3/1, 3/3, 3/0, 1/0, 4/2, 6/2, 2/1, 5/5, 6/3, 4/2, 3/1, 4/3, 3/0, 1/0, 50/24
F minor (4b), 1/0, 2/0, 2/1, 2/0, 3/1, 1/0, 3/1, 1/0, 1/0, 5/3, 1/2, 1/1, 6/2, 2/0, 2/1, 2/0, 2/0, 37/12
C# minor (4#), 0/0, 2/0, 0/0, 4/2, 7/7, 4/2, 1/0, 5/3, 7/6, 2/2, 6/3, 6/5, 4/3, 4/2, 5/3, 4/3, 1/0, 62/41
Db major (5b), 2/2, 4/8, 3/7, 5/8, 6/4, 3/6, 4/8, 3/6, 6/6, 7/8, 3/3, 3/2, 6/7, 5/8, 5/7, 5/8, 4/6, 74/104
B major (5#), 1/0, 3/0, 1/0, 4/2, 6/3, 2/0, 2/0, 3/1, 5/4, 3/1, 4/5, 5/3, 5/2, 4/5, 5/2, 4/1, 2/0, 59/29
Bb minor (5b), 1/0, 2/0, 2/1, 3/0, 4/2, 2/0, 2/1, 2/0, 2/0, 6/3, 2/1, 2/1, 7/2, 3/0, 3/1, 3/0, 2/0, 48/12
