 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, rowcost
C major (0), 0, 3, 2, 3, 2, 3, 4, 2, 2, 1, 5, 1, 3, 0, 31
A minor (0), 0, 2, 1, 2, 1, 2, 2, 2, 1, 0, 4, 0, 2, 0, 19
A minor mel (0), 0, 3, 2, 3, 2, 3, 3, 3, 2, 1, 5, 1, 3, 1, 32
C major blues (0), 0, 4, 3, 5, 3, 4, 5, 5, 4, 2, 6, 2, 4, 1, 48
A minor blues (0), 0, 4, 3, 5, 3, 4, 5, 6, 4, 2, 6, 2, 4, 1, 49
C dorian (0), 0, 4, 3, 4, 3, 4, 5, 3, 3, 2, 6, 2, 4, 1, 44
C phrygian (0), 0, 2, 2, 4, 2, 2, 4, 3, 3, 1, 4, 1, 2, 0, 30
C lydian (0), 0, 4, 3, 4, 3, 4, 5, 3, 3, 2, 6, 2, 4, 1, 44
C mixolydian (0), 0, 2, 2, 4, 2, 2, 4, 3, 3, 1, 4, 1, 2, 0, 30
C aeolian (0), 0, 3, 2, 3, 2, 3, 4, 2, 2, 1, 5, 1, 3, 0, 31
C locrian (0), 0, 1, 1, 3, 1, 1, 3, 4, 3, 1, 3, 1, 1, 0, 23
F major (1b), 0, 2, 2, 4, 2, 2, 4, 3, 3, 1, 4, 1, 2, 0, 30
G major (1#), 0, 4, 3, 4, 3, 4, 5, 3, 3, 2, 6, 2, 4, 1, 44
D minor (1b), 1, 2, 3, 4, 2, 3, 5, 4, 3, 1, 4, 1, 3, 0, 36
E minor (1#), 0, 3, 2, 3, 2, 3, 3, 4, 3, 2, 3, 2, 3, 1, 34
D minor mel (1b), 1, 3, 3, 3, 2, 4, 5, 3, 2, 1, 5, 1, 4, 0, 37
E minor mel (1#), 1, 3, 3, 3, 2, 4, 4, 4, 3, 2, 3, 2, 4, 1, 39
F major blues (1b), 0, 3, 2, 4, 2, 3, 4, 4, 3, 1, 5, 1, 3, 0, 35
G major blues (1#), 1, 4, 4, 5, 3, 5, 6, 4, 4, 2, 6, 2, 5, 1, 52
D minor blues (1b), 0, 3, 2, 4, 2, 3, 4, 5, 3, 1, 5, 1, 3, 0, 36
E minor blues (1#), 1, 4, 4, 5, 3, 5, 5, 5, 4, 2, 5, 2, 5, 1, 51
F dorian (1b), 0, 3, 2, 3, 2, 3, 4, 2, 2, 1, 5, 1, 3, 0, 31
G dorian (1#), 1, 4, 4, 4, 3, 5, 6, 3, 3, 2, 6, 2, 5, 1, 49
F phrygian (1b), 0, 1, 1, 3, 1, 1, 3, 4, 3, 1, 3, 1, 1, 0, 23
G phrygian (1#), 0, 3, 2, 3, 2, 3, 4, 2, 2, 1, 5, 1, 3, 0, 31
F lydian (1b), 0, 3, 2, 3, 2, 3, 4, 2, 2, 1, 5, 1, 3, 0, 31
G lydian (1#), 1, 4, 4, 4, 3, 5, 6, 3, 3, 2, 6, 2, 5, 1, 49
F mixolydian (1b), 0, 1, 1, 3, 1, 1, 3, 4, 3, 1, 3, 1, 1, 0, 23
G mixolydian (1#), 0, 3, 2, 3, 2, 3, 4, 2, 2, 1, 5, 1, 3, 0, 31
F aeolian (1b), 0, 2, 2, 4, 2, 2, 4, 3, 3, 1, 4, 1, 2, 0, 30
G aeolian (1#), 0, 4, 3, 4, 3, 4, 5, 3, 3, 2, 6, 2, 4, 1, 44
F locrian (1b), 0, 0, 0, 2, 0, 0, 2, 3, 2, 0, 2, 0, 0, 0, 11
G locrian (1#), 0, 2, 2, 4, 2, 2, 4, 3, 3, 1, 4, 1, 2, 0, 30
Bb major (2b), 0, 1, 1, 2, 1, 1, 3, 3, 2, 1, 2, 1, 1, 0, 19
D major (2#), 1, 4, 4, 4, 3, 5, 6, 4, 3, 2, 6, 2, 5, 1, 50
G minor (2b), 0, 2, 2, 4, 2, 2, 4, 5, 4, 2, 4, 2, 2, 1, 36
B minor (2#), 1, 3, 4, 3, 3, 4, 6, 4, 2, 2, 3, 2, 4, 1, 42
G minor mel (2b), 0, 3, 3, 5, 3, 3, 5, 4, 4, 2, 5, 2, 3, 1, 43
