 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, rowcost
C major (0), 1, 0, 1, 1, 2, 2, 2, 2, 1, 1, 0, 0, 0, 1, 1, 1, 2, 0, 0, 1, 1, 2, 1, 1, 1, 0, 1, 0, 1, 1, 2, 2, 2, 2, 1, 0, 37
A minor (0), 0, 1, 1, 1, 2, 4, 3, 2, 2, 2, 0, 0, 0, 1, 1, 1, 2, 0, 0, 1, 1, 1, 0, 0, 1, 1, 2, 1, 1, 1, 2, 4, 3, 2, 2, 0, 46
A minor mel (0), 0, 2, 2, 1, 2, 4, 4, 3, 2, 2, 1, 1, 1, 2, 1, 1, 2, 0, 0, 1, 1, 1, 1, 0, 2, 1, 2, 2, 2, 1, 2, 4, 4, 2, 2, 1, 60
C major blues (0), 3, 1, 3, 1, 2, 2, 3, 3, 3, 1, 1, 1, 1, 2, 1, 1, 2, 0, 0, 1, 1, 2, 2, 1, 2, 0, 3, 1, 3, 1, 2, 2, 3, 2, 1, 1, 59
A minor blues (0), 3, 1, 3, 1, 2, 3, 3, 4, 3, 1, 1, 1, 1, 2, 1, 1, 2, 0, 0, 1, 1, 2, 2, 1, 3, 0, 3, 1, 3, 1, 2, 3, 3, 2, 1, 1, 63
C dorian (0), 1, 1, 2, 1, 2, 2, 3, 3, 1, 1, 1, 1, 1, 2, 1, 1, 2, 0, 0, 1, 1, 2, 2, 1, 2, 0, 1, 1, 2, 1, 2, 2, 3, 2, 1, 1, 51
C phrygian (0), 2, 0, 1, 0, 1, 2, 1, 1, 2, 1, 0, 0, 0, 1, 1, 1, 2, 0, 0, 0, 0, 1, 1, 1, 1, 0, 2, 0, 1, 0, 1, 2, 1, 2, 1, 0, 30
C lydian (0), 1, 1, 2, 1, 2, 2, 3, 3, 1, 1, 1, 1, 1, 2, 1, 1, 2, 0, 0, 1, 1, 2, 2, 1, 2, 0, 1, 1, 2, 1, 2, 2, 3, 2, 1, 1, 51
C mixolydian (0), 2, 0, 1, 0, 1, 2, 1, 1, 2, 1, 0, 0, 0, 1, 1, 1, 2, 0, 0, 0, 0, 1, 1, 1, 1, 0, 2, 0, 1, 0, 1, 2, 1, 2, 1, 0, 30
C aeolian (0), 1, 0, 1, 1, 2, 2, 2, 2, 1, 1, 0, 0, 0, 1, 1, 1, 2, 0, 0, 1, 1, 2, 1, 1, 1, 0, 1, 0, 1, 1, 2, 2, 2, 2, 1, 0, 37
